recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.993924199952744,,no flicker,Wissen,2,1,611796.4503762,612494.9626839
1,1.07206969999243,unrelated,,Erinnern,2,2,611806.9319215,612503.1004639
0,1.36361210001633,unrelated,,Vergessen,2,1,611817.8933018,612463.6750873
0,1.46849800006021,,no flicker,Wissen,1,2,611828.292893,612620.9868172
0,1.12557030003518,,no flicker,Vergessen,2,2,611839.077117,612425.52167
1,0.854699000017717,unrelated,,Erinnern,2,1,611849.388561,612382.6914538
1,0.970638599945232,,no flicker,Erinnern,2,2,611859.4769336,612433.2431668
1,0.823354199994355,,no flicker,Erinnern,1,1,611869.2615498,612511.1473058
0,1.36292929993942,unrelated,,Vergessen,1,2,611879.939923,612589.4430361
0,2.0936623000307,unrelated,,Vergessen,1,2,611890.3329254,612573.571531
1,1.89491000003181,unrelated,,Vergessen,1,1,611901.1803443,612471.9473521
1,1.75810500001535,,no flicker,Wissen,1,1,611911.7884283,612408.084242
1,0.520525799947791,,no flicker,Erinnern,1,2,611922.1957621,612558.5877227
0,1.25554390007164,unrelated,,Vergessen,1,1,611932.1164988,612666.3471813
1,0.553664499893785,unrelated,,Erinnern,2,2,611943.0596436,612734.6915533
1,0.432356999954209,,no flicker,Erinnern,2,1,611954.6841545,612480.5317037
1,1.5143543999875,,no flicker,Vergessen,2,1,611965.1722315,612597.602852
NaN,NaN,,no flicker,Vergessen,2,1,611976.131707,612372.3078707
1,0.712077799951658,unrelated,,Wissen,2,1,611987.5557951,612712.4352219
0,2.46665630000643,,flicker seen,Vergessen,1,2,611997.7167266,612398.7958743
NaN,NaN,unrelated,,Erinnern,1,2,612008.1393823,612416.9868213
0,0.625984300044365,unrelated,,Vergessen,1,2,612019.4592881,612652.3474007
1,0.397816100041382,,flicker seen,Vergessen,1,1,612029.9805923,612659.554976
1,0.745416199904867,unrelated,,Wissen,1,1,612040.02744,612542.0032803
0,1.76849899999797,,flicker seen,Vergessen,1,1,612050.4916166,612644.3237544
0,1.47643810010049,unrelated,,Vergessen,2,2,612060.81152,612674.0671948
1,0.279132400057279,unrelated,,Erinnern,2,2,612072.1074943,612681.8033477
1,0.449822099995799,unrelated,,Erinnern,2,2,612083.7634153,612727.3627571
0,2.17459469998721,,no flicker,Vergessen,2,2,612094.8265697,612549.8521203
1,1.02038530004211,,no flicker,Erinnern,1,2,612105.3882306,612456.0119191
1,0.559680599952117,,no flicker,Erinnern,2,1,612115.6912556,612606.5951827
1,0.508826200035401,unrelated,,Erinnern,1,1,612125.9323309,612705.5548329
0,1.39642420003656,,flicker seen,Vergessen,1,1,612136.7712101,612533.6354398
0,0.760924500063993,unrelated,,Vergessen,2,2,612148.1398934,612518.6033587
1,0.303324399981648,,no flicker,Erinnern,2,2,612158.7394456,612582.4182295
1,0.285665900097229,,no flicker,Erinnern,2,1,612169.6590163,612526.451349
1,0.9214846000541,unrelated,,Erinnern,1,2,612179.9631281,612565.7159965
1,0.384796300088055,,,Erinnern,1,1,612191.4919211,612637.4422655
1,0.420784399961121,,no flicker,Erinnern,1,1,612202.9555974,612613.8915978
1,0.908514400012791,,no flicker,Wissen,1,1,612213.068043,612390.7476237
0,1.47228139999788,unrelated,,Vergessen,1,2,612223.0356184,612696.8919177
1,0.294594200095162,unrelated,,Erinnern,2,1,612233.4113315,612719.7701998
1,1.89410339994356,unrelated,,Wissen,2,2,612244.1792352,612688.5866467
1,0.342361600021832,unrelated,,Erinnern,1,2,612254.4271478,612487.9068512
1,2.13683919992764,unrelated,,Erinnern,2,1,612265.0186443,612361.7185753
1,0.479733600048348,,no flicker,Wissen,2,2,612274.9474737,612629.5313182
1,1.52128859993536,,no flicker,Erinnern,2,1,612284.8511351,612440.972203
1,0.537185899913311,,no flicker,Erinnern,1,2,612294.9471202,612449.003898
1,0.591820599976927,,no flicker,Wissen,2,2,612749.7034151,613580.4345134
1,0.287647599936463,,no flicker,Erinnern,2,1,612760.0836063,613559.0748781
0,2.07034809992183,unrelated,,Vergessen,2,1,612769.8596977,613462.6898956
1,0.810348799917847,,no flicker,Erinnern,1,1,612780.5789087,613522.4029628
1,0.451210299972445,unrelated,,Erinnern,1,1,612790.4674061,613386.3069096
0,2.70142339996528,,no flicker,Vergessen,1,1,612801.0108154,613431.3384588
1,0.294840199989267,unrelated,,Erinnern,2,1,612811.1385168,613370.4342114
1,0.314671600004658,,no flicker,Erinnern,2,2,612822.1859963,613334.3067965
1,0.298728700028732,unrelated,,Erinnern,1,2,612832.2509789,613515.5147653
1,2.0357890999876,unrelated,,Wissen,1,2,612842.0834371,613377.1070695
1,0.846088199992664,unrelated,,Wissen,2,2,612852.2906184,613393.562118
1,0.405317799886689,unrelated,,Erinnern,2,1,612862.7074248,613355.8745183
0,0.442134099896066,,no flicker,Wissen,2,2,612873.050444,613617.890876
1,0.311237099929713,,flicker seen,Wissen,1,2,612882.9072043,613471.3148791
1,0.3598697000416,,flicker seen,Wissen,1,2,612893.9873241,613494.4257845
1,0.250921100028791,unrelated,,Erinnern,1,1,612904.0588433,613566.1542456
1,0.68415639991872,,no flicker,Wissen,1,2,612914.5074399,613529.5146974
