recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.448636899993289,,no flicker,Erinnern,2,1,101225.6515297,101925.5966585
1,0.526319299999159,,,Erinnern,2,2,101237.0353536,101932.9073217
1,0.96650189999491,unrelated,,Erinnern,2,1,101248.5228785,101894.5806958
1,0.9890335000091,,no flicker,Erinnern,1,2,101259.4282854,102057.2441284
0,2.88938909998978,,no flicker,Vergessen,2,2,101269.7951097,101853.9000909
0,2.06758740000078,unrelated,,Vergessen,2,1,101279.9653757,101812.6677041
0,0.555859400003101,,flicker seen,Vergessen,2,2,101290.3325177,101863.5236127
1,0.862505800003419,,flicker seen,Erinnern,1,1,101300.0279166,101939.9642082
1,1.49851779999153,unrelated,,Erinnern,1,2,101309.844151,102023.6928414
1,0.320292100004735,unrelated,,Erinnern,1,2,101321.3239714,102009.4997053
1,0.937836099998094,unrelated,,Erinnern,1,1,101332.7885999,101902.0842618
1,0.911977600000682,,flicker seen,Wissen,1,1,101343.4689108,101838.0282003
1,2.47516919999907,,flicker seen,Vergessen,1,2,101353.8121901,101991.5158683
1,0.62818949999928,unrelated,,Erinnern,1,1,101364.9244738,102106.1558503
0,1.65615740000794,unrelated,,Vergessen,2,2,101376.3324869,102179.2848063
1,1.02980609999213,,no flicker,Erinnern,2,1,101386.6362773,101909.7237896
NaN,NaN,,flicker seen,Vergessen,2,1,101396.9804166,102031.6758394
0,1.47128710000834,,no flicker,Vergessen,2,1,101407.4612397,101803.117005
1,1.02747469999304,unrelated,,Wissen,2,1,101417.4043379,102155.396788
0,2.12416399999347,,no flicker,Vergessen,1,2,101427.7709394,101829.4692868
0,1.95267670000612,unrelated,,Vergessen,1,2,101437.9719285,101845.6279643
NaN,NaN,unrelated,,Vergessen,1,2,101447.9394828,102088.028226
NaN,NaN,,no flicker,Vergessen,1,1,101458.4674627,102097.2770236
NaN,NaN,unrelated,,Vergessen,1,1,101468.7003156,101975.1000158
1,0.594656100001885,,no flicker,Vergessen,1,1,101478.6839959,102080.4372346
NaN,NaN,,,Vergessen,2,2,101488.8842722,102113.1717621
1,0.502609800008941,related,,Erinnern,2,2,101500.3596608,102121.8521514
1,1.5846823000029,unrelated,,Erinnern,2,2,101510.3883742,102171.0122085
1,0.4005121000082,,no flicker,Erinnern,2,2,101521.6441221,101984.5887125
1,2.66954729999998,,no flicker,Wissen,1,2,101532.2994085,101884.6692784
1,0.902294900006382,,no flicker,Erinnern,2,1,101542.3885559,102041.0279292
NaN,NaN,unrelated,,Vergessen,1,1,101553.3318128,102146.1566699
0,1.63969290000387,,no flicker,Vergessen,1,1,101564.6844668,101966.3486046
NaN,NaN,related,,Vergessen,2,2,101574.307885,101947.3726542
1,0.419608199998038,,no flicker,Erinnern,2,2,101584.6354804,102016.6199472
NaN,NaN,,flicker seen,Vergessen,2,1,101596.5241663,101956.9556824
0,2.68819060000533,unrelated,,Vergessen,1,2,101607.7716043,102000.3247916
1,0.660210999994888,unrelated,,Wissen,1,1,101618.3630281,102072.9958772
1,1.85780220000015,,no flicker,Wissen,1,1,101629.2121981,102048.7084172
1,1.34524720000627,,,Erinnern,1,1,101639.2845149,101821.5563297
0,2.39947180000308,unrelated,,Vergessen,1,2,101650.6667234,102136.3322166
1,0.894574499994633,unrelated,,Erinnern,2,1,101661.2123934,102163.6361022
1,0.85852330000489,related,,Erinnern,2,2,101670.8669562,102128.9888282
1,1.12773420001031,unrelated,,Erinnern,1,2,101680.7241554,101917.7967691
NaN,NaN,related,,,2,1,101690.5868502,101792.0481146
1,1.13653990000603,,no flicker,Erinnern,2,2,101700.9880442,102065.4126523
1,0.304491400005645,,no flicker,Erinnern,2,1,101711.0124944,101870.412959
0,0.771317499995348,,no flicker,Wissen,1,2,101720.8202343,101877.3159408
1,0.532450500002597,,no flicker,Erinnern,2,2,102195.538243,103048.6130823
NaN,NaN,,no flicker,Vergessen,2,1,102205.6044359,103026.2365184
1,0.8428530000092,unrelated,,Erinnern,2,1,102216.084765,102927.9007063
1,0.818652999994811,,no flicker,Erinnern,1,1,102227.1638854,102987.0369722
1,0.446949499993934,unrelated,,Erinnern,1,1,102237.3805954,102849.6363782
0,0.890275099998689,,flicker seen,Wissen,1,1,102248.4848572,102898.1086314
1,2.26613049999287,related,,Wissen,2,1,102258.9246991,102833.5731532
1,0.574941499988199,,no flicker,Erinnern,2,2,102269.7007678,102798.2698163
1,0.247707900009118,unrelated,,Erinnern,1,2,102279.7482422,102980.2692634
1,0.326508600002853,related,,Erinnern,1,2,102290.8844877,102842.836624
1,0.503982299997006,related,,Erinnern,2,2,102300.8358636,102856.6763016
1,0.541957100009313,related,,Erinnern,2,1,102311.156784,102819.3490931
1,0.473126400000183,,flicker seen,Erinnern,2,2,102322.1887536,103083.5243433
0,0.770367899996927,,flicker seen,Wissen,1,2,102332.268879,102935.3013266
1,0.718427699990571,,no flicker,Erinnern,1,2,102343.6682246,102958.8447369
1,0.24868809999316,unrelated,,Erinnern,1,1,102353.6047327,103035.1891243
1,0.44368029999896,,no flicker,Erinnern,1,2,102363.6521228,102994.3812821
1,0.62169780000113,unrelated,,Erinnern,1,1,102373.7726474,102805.420845
1,0.506375900004059,unrelated,,Erinnern,2,1,102383.8926314,102874.4690678
1,0.388871999995899,unrelated,,Erinnern,2,2,102393.9246813,103001.3809624
NaN,NaN,,no flicker,Vergessen,2,2,102404.5480201,102942.9474783
NaN,NaN,,no flicker,Vergessen,2,2,102415.0601209,103008.4836606
1,0.401978800000506,unrelated,,Erinnern,2,1,102426.6447506,102891.1088219
0,2.95970940000552,,no flicker,Vergessen,2,2,102436.5320813,102864.0033661
0,0.758193700006814,unrelated,,Wissen,2,1,102446.8287344,102919.6354508
1,0.653155899999547,unrelated,,Erinnern,1,1,102457.1318599,103090.5081761
1,0.41463400000066,,flicker seen,Erinnern,1,2,102467.125126,102812.564102
0,0.499713400000473,unrelated,,Erinnern,1,2,102477.6680134,103069.9007196
1,1.02880610000284,unrelated,,Erinnern,1,2,102489.4445471,103017.9319767
0,1.36683430000267,,no flicker,Wissen,1,1,102499.516031,103112.1397237
1,1.09278010000708,,no flicker,Erinnern,2,1,102509.6761109,103104.4611573
1,1.0134626999934,,no flicker,Erinnern,1,1,102521.1003215,102776.5556237
1,0.444104700000025,,no flicker,Erinnern,2,1,102530.4048138,103076.7401501
1,0.828669499998796,,no flicker,Erinnern,1,2,102540.2205742,102790.8924353
0,0.318616699994891,unrelated,,Erinnern,1,2,102550.3153897,102951.9170027
1,0.325306900005671,,no flicker,Erinnern,1,1,102560.4923635,102966.2132823
1,0.546478300006129,related,,Erinnern,2,2,102570.4773385,102783.9243067
1,0.598321099998429,,flicker seen,Erinnern,2,2,102580.6204494,102973.0692516
1,0.424491099998704,unrelated,,Erinnern,2,2,102591.6839392,103062.7562013
