recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.945021599996835,unrelated,,Erinnern,1,1,1794915.8754149,1795605.1326354
NaN,NaN,,no flicker,Vergessen,2,2,1794926.3419541,1795542.2291523
1,0.944554900052026,unrelated,,Erinnern,1,2,1794936.0216623,1795692.0460326
1,0.89792100014165,unrelated,,Erinnern,2,1,1794945.8936948,1795589.6529043
1,0.75002139993012,related,,Erinnern,2,2,1794956.413964,1795561.8538426
NaN,NaN,,no flicker,Vergessen,1,1,1794966.1496964,1795699.6771095
1,2.76323299994692,,no flicker,Wissen,2,2,1794976.1738787,1795665.3251708
1,0.693004900123924,,no flicker,Erinnern,1,1,1794986.0625637,1795684.6210513
NaN,NaN,unrelated,,Vergessen,2,1,1794995.629579,1795675.0927402
1,0.567229399923235,related,,Erinnern,1,1,1795005.8448185,1795518.6134966
0,2.41737710009329,unrelated,,Vergessen,2,1,1795015.4287811,1795801.7809784
1,1.30512410006486,,no flicker,Wissen,2,1,1795025.7259897,1795502.1974758
1,1.32431309996173,,no flicker,Wissen,1,2,1795035.5016862,1795492.309041
1,2.5842685000971,,no flicker,Wissen,1,2,1795046.1654814,1795811.3568492
0,1.56140629993752,,no flicker,Vergessen,2,2,1795056.2455366,1795785.220497
1,1.95078479987569,unrelated,,Wissen,1,2,1795065.936915,1795724.3736584
1,1.21638729982078,,no flicker,Erinnern,1,1,1795075.8859789,1795734.1649326
1,0.567486400017515,unrelated,,Erinnern,1,2,1795086.0939971,1795838.4455628
1,1.49904290004633,unrelated,,Erinnern,2,1,1795095.9424741,1795510.6780039
NaN,NaN,related,,Vergessen,2,2,1795105.7492581,1795828.9250642
1,0.998380899894983,,no flicker,Erinnern,2,1,1795115.3588418,1795484.7888623
1,1.5314116999507,,no flicker,Wissen,2,2,1795125.0785743,1795630.6529581
1,2.68899980001152,,no flicker,Wissen,2,2,1795135.6533729,1795552.7253373
1,0.737529899924994,unrelated,,Erinnern,2,1,1795146.1177008,1795867.0699545
1,1.91682570008561,unrelated,,Erinnern,1,1,1795156.6131161,1795475.8530639
1,0.586729600094259,,no flicker,Erinnern,1,2,1795166.1890968,1795860.0287664
1,0.704569299938157,,no flicker,Erinnern,2,2,1795176.0215367,1795845.7886357
0,2.67499199998565,related,,Vergessen,1,1,1795185.5491599,1795708.2703916
0,2.95355620002374,,flicker seen,Vergessen,1,2,1795196.4137658,1795465.0444089
0,1.30066350009292,unrelated,,Vergessen,1,2,1795206.3906673,1795656.0608927
1,1.24388679978438,unrelated,,Erinnern,2,1,1795217.1897701,1795793.9990601
1,0.812005500076339,,no flicker,Erinnern,1,1,1795227.0293771,1795760.8935474
1,0.666544200154021,,no flicker,Erinnern,2,2,1795236.9895183,1795821.0120335
1,2.10267399996519,,no flicker,Wissen,1,1,1795246.9737142,1795612.2604068
1,0.53541519981809,related,,Erinnern,2,2,1795256.9095284,1795853.3015016
1,1.15861639985815,,no flicker,Erinnern,1,2,1795266.6132376,1795776.9811462
NaN,NaN,,,Vergessen,2,1,1795276.7572457,1795620.9734359
1,1.45740090007894,unrelated,,Erinnern,1,2,1795288.202151,1795569.7815909
1,1.08912399993278,unrelated,,Erinnern,2,2,1795298.3252897,1795526.0290359
1,1.38431879994459,unrelated,,Erinnern,1,1,1795308.8293384,1795639.6768228
1,0.927662000060081,,no flicker,Erinnern,1,1,1795319.6862598,1795647.4608387
1,1.14002399984747,,,Erinnern,1,2,1795329.5894635,1795597.4534264
1,0.467222900129855,related,,Erinnern,2,2,1795341.1017462,1795717.6287924
1,1.75372859998606,,no flicker,Wissen,2,1,1795351.3412441,1795752.0697421
1,2.40920119988732,unrelated,,Wissen,1,1,1795361.5805995,1795743.109197
1,1.57825040002353,unrelated,,Erinnern,1,2,1795371.692419,1795533.8862773
1,1.14999870001338,,no flicker,Wissen,2,1,1795382.8931817,1795769.2451294
NaN,NaN,unrelated,,Wissen,2,1,1795392.9096975,1795578.5645744
1,0.442674800055102,unrelated,,Erinnern,1,2,1795942.9716236,1796638.0518867
1,0.305276399943978,,no flicker,Erinnern,2,2,1795954.477451,1796670.011958
1,2.17622160003521,unrelated,,Erinnern,2,1,1795964.4288943,1796824.508086
1,1.99932459997945,unrelated,,Erinnern,2,1,1795974.4366453,1796529.2922812
1,0.882324600126594,,no flicker,Erinnern,2,1,1795984.524527,1796816.9882303
1,2.64812929998152,,no flicker,Wissen,2,2,1795994.4921794,1796784.8750692
1,0.632163600064814,,flicker seen,Erinnern,2,2,1796004.9808507,1796770.3719575
1,1.0905840001069,unrelated,,Erinnern,2,1,1796014.8927832,1796602.6119897
1,1.00492810015567,,no flicker,Wissen,1,1,1796024.796625,1796742.1082021
1,0.475790499942377,unrelated,,Erinnern,1,1,1796035.4444921,1796856.9956887
