recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
0,1.81593929999508,,,Erinnern,1,1,149517.0685057,150274.0159701
0,2.19121210000594,,no flicker,Vergessen,2,2,149528.7372626,150206.4868953
1,2.04457239998737,unrelated,,Wissen,1,2,149540.1186855,150366.2558568
1,1.26066569998511,related,,Wissen,2,1,149552.063093,150255.054876
1,1.3768529999943,related,,Wissen,2,2,149562.4153648,150227.6239935
1,0.935145900002681,,no flicker,Wissen,1,1,149571.990533,150375.7915492
NaN,NaN,,no flicker,Vergessen,2,2,149583.3586105,150339.0472585
1,1.11182960000588,,no flicker,Wissen,1,1,149594.2134787,150358.3915662
1,1.1902887999895,related,,Wissen,2,1,149604.8624892,150349.5035131
1,0.875818200001959,unrelated,,Wissen,1,1,149615.6392022,150181.414782
0,1.36897789998329,related,,Erinnern,2,1,149627.102933,150479.2715428
0,2.01211849998799,,no flicker,Erinnern,2,1,149638.3107799,150163.9912881
1,1.880047499988,,no flicker,Erinnern,1,2,149650.213845,150154.5029712
0,1.85512129997369,,no flicker,Erinnern,1,2,149661.8225972,150487.8482134
1,0.403966499987291,,no flicker,Erinnern,2,2,149672.0628519,150462.4234
0,2.63639339999645,unrelated,,Erinnern,1,2,149683.0073956,150403.4061248
1,0.960099299991271,,no flicker,Wissen,1,1,149694.4142873,150412.4719138
0,2.83198380001704,unrelated,,Erinnern,1,2,149704.4553902,150512.1843432
1,1.23709760000929,related,,Wissen,2,1,149715.8143327,150172.6069256
0,0.568236500024796,related,,Wissen,2,2,149725.9268158,150505.1443116
0,2.27399429999059,,no flicker,Erinnern,2,1,149735.5185472,150143.9989064
0,2.20792250000522,,no flicker,,2,2,149745.4222587,150301.0313521
0,2.4066755999811,,no flicker,Vergessen,2,2,149756.581799,150217.1670192
1,0.999684500013245,related,,Wissen,2,1,149766.3105974,150546.695558
0,2.8682417999953,,,Erinnern,1,1,149777.9269607,150133.541722
1,0.86325249998481,,no flicker,Erinnern,1,2,149789.4794126,150539.2081584
1,1.30826289998367,,no flicker,Erinnern,2,2,149799.1836559,150521.6081633
1,2.30659839999862,related,,Erinnern,1,1,149808.8636455,150382.9985028
0,1.56068939997931,,no flicker,,1,2,149819.3986178,150123.3118568
1,2.82419750001281,unrelated,,Erinnern,1,2,149829.1508205,150328.7914124
0,2.33010469999863,unrelated,,Erinnern,2,1,149839.5357931,150469.6634978
1,1.83559109998168,,no flicker,Wissen,1,1,149850.9107216,150436.7920841
1,1.18372900001123,,no flicker,Wissen,2,2,149862.2711187,150496.8562066
1,2.00065800000448,,no flicker,Erinnern,1,1,149871.878952,150283.6309826
1,2.71305809999467,,,Erinnern,2,2,149881.5266729,150529.623211
1,0.338462999992771,,no flicker,Wissen,1,2,149893.1187078,150455.8081032
1,0.491396100027487,,no flicker,Erinnern,2,1,149903.1345975,150294.0317024
1,1.69311429999652,related,,Erinnern,1,2,149913.575627,150236.3430154
1,2.21067319999565,unrelated,,Erinnern,2,2,149924.5902695,150188.9439453
1,1.17392329999711,unrelated,,Wissen,1,1,149934.8470738,150311.8918636
1,1.28865110001061,,no flicker,Wissen,1,1,149945.9827652,150320.0223651
1,1.49999750001007,,no flicker,Wissen,1,2,149957.046402,150264.7505365
NaN,NaN,unrelated,,,2,2,149966.9261119,150392.4398896
0,2.438003999996,,no flicker,Erinnern,2,1,149977.686656,150427.2799533
1,1.24081570000271,related,,Erinnern,1,1,149988.543334,150419.8225441
1,1.52818419999676,related,,Erinnern,1,2,149999.2869954,150197.9430821
1,2.96629100001883,,no flicker,Erinnern,2,1,150010.0871865,150446.5673469
1,1.50260100001469,related,,Wissen,2,1,150020.5263525,150246.1285994
1,0.448025799996685,unrelated,,Wissen,1,2,150568.9593561,151292.4885069
0,1.03353129999596,,no flicker,Erinnern,2,2,150580.8795022,151323.8962841
1,0.410370199999306,,,Wissen,2,1,150591.6877804,151485.4805192
1,1.24685719999252,unrelated,,Wissen,2,1,150603.1734526,151174.0079571
1,0.416797500016401,,no flicker,Wissen,2,1,150614.6553114,151478.6575493
1,0.727835099998629,,no flicker,Wissen,2,2,150624.774808,151447.1612406
1,0.276648500002921,,no flicker,Wissen,2,2,150634.9111308,151431.5607461
1,0.312209700001404,related,,Wissen,2,1,150646.5599266,151253.8234607
1,1.4622803000093,,no flicker,Erinnern,1,1,150657.2322503,151402.041232
0,2.15633860000526,unrelated,,Erinnern,1,1,150667.0476082,151514.9050011
1,1.48416340001859,,no flicker,Wissen,1,2,150677.9116324,151438.2247557
0,2.27332589999423,unrelated,,Erinnern,2,2,150687.8869719,151461.8966882
0,1.16495830001077,,no flicker,Erinnern,1,1,150699.4154787,151246.4730159
1,2.10232150001684,,no flicker,Erinnern,1,2,150710.0323242,151354.425118
1,1.71906079998007,related,,Erinnern,1,1,150721.9599874,151393.3998361
1,0.994078399991849,unrelated,,Wissen,1,2,150732.5920226,151363.6887696
NaN,NaN,unrelated,,Vergessen,2,1,150743.9522783,151260.7927883
1,0.456609699991532,related,,Wissen,1,2,150754.6236588,151508.0967353
1,0.908802300022217,,no flicker,Wissen,1,2,150766.3431567,151523.4644394
1,1.12982539998484,related,,Wissen,1,1,150776.7117309,151215.127987
1,0.616193199995905,,no flicker,Wissen,1,1,150787.4645929,151198.2571516
1,0.446705100010149,,no flicker,Wissen,1,2,150798.2878134,151331.2571108
0,2.66535369999474,unrelated,,Vergessen,1,1,150808.9751306,151236.695945
1,0.623971100023482,related,,Wissen,1,1,150821.0801645,151229.5051647
1,0.558191700023599,,no flicker,Wissen,2,1,150831.767465,151379.1284789
1,0.579793000011705,,no flicker,Wissen,1,2,150842.4955344,151454.1124002
1,1.41551120000076,,no flicker,Wissen,2,2,150852.400077,151165.9761784
0,1.34953029997996,unrelated,,Erinnern,2,1,150861.9193845,151492.2493266
1,1.8496235999919,unrelated,,Erinnern,2,2,150873.5845279,151157.7618513
1,1.1896728000138,,no flicker,Erinnern,2,1,150884.6897821,151385.8656076
1,1.20063420000952,,no flicker,Wissen,2,2,150896.3514463,151371.22465
0,0.862302699999418,related,,Wissen,2,2,150907.5119621,151285.375658
1,0.858209500001976,unrelated,,Wissen,2,1,150919.0157482,151338.2156522
1,1.00191490002908,,no flicker,Erinnern,1,2,150929.304253,151181.8407193
1,1.57332209998276,related,,Wissen,2,2,150938.9281313,151270.3041871
1,1.36465069997939,,no flicker,Wissen,2,2,150950.7680463,151345.4490833
0,1.15871580000385,,no flicker,Erinnern,2,2,150960.8157826,151416.3366313
1,1.177917300025,,no flicker,Wissen,2,2,150972.1603201,151316.1281343
1,0.463524699996924,unrelated,,Wissen,1,2,150982.0158673,151501.3687514
1,0.700532699993346,unrelated,,Wissen,1,1,150992.4397027,151278.073026
1,0.272596199996769,unrelated,,Wissen,2,1,151004.0721807,151409.8170673
1,1.03471630002605,,no flicker,Wissen,1,1,151015.3838686,151299.4082777
1,0.408885100012412,,,Wissen,1,1,151025.584705,151222.8242558
1,0.865272600000026,related,,Wissen,1,2,151037.0641782,151471.3438614
0,2.26069049999933,,no flicker,Wissen,1,1,151046.656199,151306.8332028
1,0.261593200004427,,,Wissen,2,1,151056.1999471,151424.992931
1,2.34497450001072,related,,Erinnern,2,1,151067.843041,151205.7439973
1,2.64895770000294,unrelated,,Erinnern,1,2,151078.7512871,151189.0798672
NaN,NaN,,,Wissen,1,2,151553.0102688,152485.8169379
1,0.832073099998524,,no flicker,Wissen,1,2,151564.5585923,152193.2415391
1,1.02315409999574,,no flicker,Wissen,2,2,151575.6575138,152179.401589
1,2.29168860000209,unrelated,,Wissen,1,2,151586.0156767,152312.1693447
1,0.779507300001569,,no flicker,Vergessen,1,1,151596.9446121,152242.9374057
1,0.385889900004258,,no flicker,Wissen,2,2,151607.3367907,152149.4187738
1,1.85673589998623,related,,Erinnern,2,2,151617.4320516,152512.1535702
1,0.85318350000307,unrelated,,Wissen,1,2,151627.849498,152367.4903676
0,1.36389860001509,unrelated,,Erinnern,1,1,151639.8333824,152453.4577042
1,0.250104499980807,unrelated,,Wissen,2,1,151650.3767397,152396.113659
NaN,NaN,,no flicker,Vergessen,1,1,151661.3046411,152293.8342822
1,1.50484050001251,unrelated,,Wissen,2,1,151672.7840007,152494.5019533
1,0.267643900006078,,no flicker,Wissen,2,1,151683.9850188,152410.9854541
1,0.242837400001008,,no flicker,Wissen,2,2,151694.2807306,152249.9141332
1,0.361804900021525,,,Wissen,1,1,151704.5535572,152186.6891914
