,memory_change,outlier
0,0.03983228511530395,0
1,0.013116236996834013,0
2,0.05406162464985985,0
3,-0.11375661375661376,0
4,-0.07843137254901963,0
5,0.07462686567164181,0
6,0.20639680159920043,0
7,0.028468323977546086,0
8,0.3304347826086957,0
9,-0.04000000000000002,0
10,-0.0031249999999999668,3
11,0.125,0
12,0.2244514106583072,0
13,0.20193548387096774,0
14,0.049999999999999954,0
15,-0.4722222222222222,1
16,0.22282608695652184,0
17,-0.10553633217993079,0
18,0.17500000000000004,0
19,-0.029850746268656747,0
20,0.01851851851851848,0
21,0.12453416149068314,0
22,0.28315054835493525,0
23,-0.02636916835699796,3
24,0.3809523809523809,2
25,-0.07987866531850367,0
26,0.1219512195121951,0
27,0.08089368258859776,3
28,0.08426804716709801,3
29,-0.08016528925619841,3
30,0.19803921568627442,0
31,-0.21276595744680848,0
32,-0.0900791235544735,0
33,0.1607651607651607,0
34,0.1815856777493607,0
35,0.0605345911949685,0
