recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.466225099999065,,no flicker,Vergessen,2,1,9536.8438541,10194.6960617
1,0.548268200000166,unrelated,,Wissen,2,2,9547.2737237,10202.2886024
1,1.18459720000101,unrelated,,Vergessen,2,1,9557.7847658,10163.6886635
0,0.232235400000718,,no flicker,Erinnern,1,2,9567.7692302,10306.975935
1,0.983684400000129,,no flicker,Vergessen,2,2,9577.5857383,10123.7200663
1,0.947645399999601,unrelated,,Wissen,2,1,9587.1702698,10084.1458057
1,0.629917200001728,,no flicker,Vergessen,2,2,9597.0580586,10131.2085051
1,0.392366199999742,,no flicker,Wissen,1,1,9606.4646597,10209.2890654
0,0.891703399998732,unrelated,,Erinnern,1,2,9616.0727429,10277.5762128
0,0.323220099999162,related,,Erinnern,1,2,9625.7857416,10264.2256501
0,1.37553560000015,unrelated,,Erinnern,1,1,9635.4579626,10171.0890228
1,0.470346699999936,,no flicker,Wissen,1,1,9645.3306362,10109.0084816
1,0.979406000000381,,no flicker,Wissen,1,2,9654.7933905,10250.3842839
0,0.374170400000366,unrelated,,Erinnern,1,1,9664.2816801,10349.6239423
1,0.386980900000708,unrelated,,Wissen,2,2,9674.5127737,10410.0400025
1,1.31106689999979,,no flicker,Wissen,2,1,9684.3613596,10179.4077503
0,0.505791399998998,,no flicker,Vergessen,2,1,9694.064551,10284.7281286
0,2.49178810000012,,no flicker,Vergessen,2,1,9703.5127728,10074.2892255
1,0.243494700000156,unrelated,,Wissen,2,1,9713.1127274,10390.4248991
1,0.495408500000849,,no flicker,Wissen,1,2,9722.7850401,10101.6008006
1,0.955558399999063,unrelated,,Erinnern,1,2,9732.3923933,10115.9209015
1,0.194679999998698,unrelated,,Erinnern,1,2,9741.9839564,10336.3122755
0,0.359266900000875,,no flicker,Vergessen,1,1,9751.6324497,10342.7441257
1,0.390596999999616,unrelated,,Wissen,1,1,9760.9694046,10237.0240818
0,2.38424239999949,,no flicker,Erinnern,1,1,9770.5845708,10327.2006809
1,0.349246299998413,unrelated,,Wissen,2,2,9780.0574224,10356.2006637
1,0.344801799999914,unrelated,,Wissen,2,2,9789.641323,10362.7520718
1,0.254420900000696,unrelated,,Wissen,2,2,9799.0414194,10403.5841682
1,0.407951200000753,,no flicker,Erinnern,2,2,9808.4654052,10243.6410338
0,0.65736459999971,,no flicker,Wissen,1,2,9817.881324,10155.849017
0,0.550701600001048,,no flicker,Vergessen,2,1,9827.1923865,10292.3203188
1,0.198511799999324,unrelated,,Wissen,1,1,9836.7048191,10383.8886292
1,0.482179900000119,,no flicker,Erinnern,1,1,9846.8652444,10230.2888769
1,0.393806399999448,unrelated,,Erinnern,2,2,9856.536018,10216.1456832
1,0.373748199999682,,no flicker,Erinnern,2,2,9866.1595103,10270.9041272
1,0.575245500000165,,no flicker,Erinnern,2,1,9875.6163086,10223.1844498
1,0.29093069999908,unrelated,,Wissen,1,2,9885.1053791,10257.6490331
1,0.316927800000485,unrelated,,Wissen,1,1,9895.9524015,10320.4330629
1,0.506408100000044,,no flicker,Wissen,1,1,9905.9612013,10299.3770669
0,1.41682690000016,,no flicker,Erinnern,1,1,9915.4650214,10092.7694923
1,1.0993183999999,unrelated,,Erinnern,1,2,9925.0163392,10376.4730288
1,0.243083900000784,unrelated,,Erinnern,2,1,9935.0491928,10397.024946
0,0.402496900000187,related,,Erinnern,2,2,9944.736045,10369.4422057
1,0.601402299998881,unrelated,,Wissen,1,2,9954.3457803,10187.7203953
0,1.26214970000001,unrelated,,Vergessen,2,1,9964.2968568,10065.1672493
1,0.338628199999221,,no flicker,Vergessen,2,2,9973.8331477,10313.5360318
0,0.558672499999375,,no flicker,Vergessen,2,1,9983.920267,10138.3931195
0,1.84818799999994,,no flicker,Erinnern,1,2,9993.2008716,10147.2731011
1,0.168291400001181,,no flicker,Wissen,2,2,10425.8559364,11194.7836772
1,0.245460499998444,,no flicker,Wissen,2,1,10436.0329695,11174.9433249
1,0.24670949999927,unrelated,,Wissen,2,1,10445.920025,11090.2245737
1,0.285947000000306,,no flicker,Wissen,1,1,10455.5929311,11142.1842744
1,0.58975079999982,unrelated,,Wissen,1,1,10465.2965803,11023.6633612
0,0.227884100000665,,no flicker,Erinnern,1,1,10475.0637715,11064.2079505
0,0.312465000000884,related,,Erinnern,2,1,10485.2644473,11010.0156941
1,0.395469200000662,,no flicker,Wissen,2,2,10494.7921407,10977.0724814
1,0.29804360000162,unrelated,,Wissen,1,2,10504.104343,11135.6083545
1,0.338454799999454,unrelated,,Wissen,1,2,10513.5999579,11016.990926
1,0.358179999999265,unrelated,,Wissen,2,2,10523.0967778,11030.6881376
1,0.434470199999851,unrelated,,Wissen,2,1,10532.6728289,10996.7355826
1,0.189766400000735,,no flicker,Wissen,2,2,10542.3198148,11227.2724795
1,0.248693699999421,,no flicker,Wissen,1,2,10551.9125897,11096.6722062
1,0.276134199999433,,no flicker,Wissen,1,2,10561.5199674,11116.0565093
1,0.483087499998874,unrelated,,Wissen,1,1,10570.9689074,11181.4797788
1,0.230409699999655,,no flicker,Wissen,1,2,10580.4482927,11148.6873947
0,0.264205999999831,unrelated,,Erinnern,1,1,10589.9118159,10983.7355992
1,0.328403499999695,unrelated,,Wissen,2,1,10599.3842221,11043.7039761
0,0.246083399999407,unrelated,,Erinnern,2,2,10609.8247676,11155.2314752
1,0.232078100001672,,no flicker,Wissen,2,2,10619.240809,11103.14424
1,0.196612800000366,,no flicker,Erinnern,2,2,10628.5357058,11162.0155728
1,0.290829899999153,unrelated,,Erinnern,2,1,10638.0568813,11057.6079845
0,0.208688200000324,,no flicker,Wissen,2,2,10647.9997901,11037.3196897
1,0.222085800000059,unrelated,,Wissen,2,1,10657.2880781,11083.6882587
1,0.316049900000507,unrelated,,Wissen,1,1,10666.8807445,11233.7515397
1,0.236523499999748,,no flicker,Wissen,1,2,10676.3447347,10990.359524
1,0.223517100001118,unrelated,,Wissen,1,2,10686.0559444,11214.4234893
1,0.252576700000645,unrelated,,Wissen,1,2,10695.4246442,11168.5681784
