,65Hz_encoding,65Hz_retrieval,rt,enc_onset,ret_onset,intercept,outlier
0,1.6033114655882467e-12,-3.96042542021798e-12,9.117915817960037e-12,-3.2305273228291473e-12,-3.3823123832265763e-12,-7.24060843422719e-12,0.0
1,-1.4659896232955376e-11,-1.0549305929119554e-11,1.6893356153510638e-11,-1.1357028408537608e-11,-1.1684352976909745e-11,-3.346420694648091e-11,0.0
2,0.0196468603533696,0.0319612879490983,-0.04670383591464202,0.008570452649675878,0.008435513789888655,0.064330761700036,4
3,-1.7797601983667151e-12,-1.8907573857661204e-12,8.749353782760628e-12,-3.996089175319176e-12,-2.4621983454604974e-12,5.709685450856018e-12,0.0
4,-1.7229620577106893e-11,-2.328700497727418e-11,3.566330717801221e-11,-4.040319920591905e-12,-3.248432499822357e-12,-4.118351678724285e-11,0.0
5,0.0153572270481887,0.013418228997010104,-0.04103865992409746,0.004466299098739226,0.004149350516557011,0.03582992273140582,4
6,-7.630914317802877e-12,-4.38504706820274e-12,2.893067476823046e-11,-1.0464681872780733e-12,-1.7525826617830841e-12,-6.3340093300225276e-12,0.0
7,-0.1575922867975668,0.059524536414935575,-0.6877525421758672,-0.12851100390195658,-0.02361336090891138,1.4553508834045215,4
8,1.0841876700887616,0.3139024137631437,-2.5921631478496785,0.1271149475512086,-0.013513163236904513,1.6929764173328414,4
9,-2.3013135154216917e-11,-2.124677614455909e-11,1.2649474877649932e-11,-5.2452850963262915e-12,-5.629717857158596e-12,-4.5965992734266203e-11,0.0
10,-1.0902995160747948,0.1289935882079038,-3.1483830766389467,-0.1782059927837036,0.41915868815288887,4.288678861509893,3.0
11,0.0007176387150827662,0.002224681331097532,-0.006973331465421505,-6.631434223548607e-05,-2.7561348709691896e-05,0.004548637773922128,4
12,0.6298163879588367,0.5017273160469344,-1.5468444929687704,0.06396345581634465,0.053111424444785414,2.1370812322453996,4
13,0.9004030760713237,0.9107631428554636,-2.714724104989286,0.06042480793824021,0.06505805158520883,3.1260216468136846,4
14,-2.1131898123201453e-11,-1.7737062577834392e-11,5.210008313193228e-11,-7.046352814014335e-12,-7.464636451950285e-12,-4.544403850036888e-11,0.0
15,1.5385974423574207e-12,-1.503407008718354e-12,1.8381029381858205e-12,-1.2906202494098421e-12,-9.681209751232936e-13,2.332406436865415e-12,1.0
16,0.44364926822665457,0.4926873239339502,0.5119382612023224,0.05561881414616388,0.10575120611859787,0.8281510683424362,4
17,-1.7374171043656006e-11,-1.1833975989637382e-11,5.17851206914374e-11,-3.0120947597653165e-12,-2.0553952110219183e-12,-3.312425428822239e-11,0.0
18,0.04752247051420562,0.0534884734343678,-0.09008008097726135,0.008444629966365866,0.010477699441884643,0.13621701501067796,4
19,0.7353932816411288,0.6182685779543268,0.4158985978325519,0.11694951075614703,0.11901248058663849,1.3846583518583075,4
20,0.002810363808063409,0.002910321523053136,-6.036381483963472e-05,0.0022414206186026904,0.0016863731505883121,0.007339530364354485,4
21,-2.0605600515999764e-11,-2.3017544819734526e-11,3.973271352918932e-11,-1.6328826580498474e-12,-1.3725612684138297e-12,-4.5376233561826067e-11,0.0
22,-7.768779526552056e-12,-1.3272846565566167e-11,2.2326528276192318e-11,-2.946583988756858e-13,-3.185057026400215e-13,-1.5481045321150456e-11,0.0
23,-2.6311135227936836e-11,-2.3752090802835527e-11,2.9545730874266726e-11,-1.9579071283674297e-12,-9.702843631519466e-13,-5.0273623271896745e-11,3.0
24,1.072337274817046e-18,-4.939709572881175e-19,-8.055665489880525e-19,5.182516980937492e-20,-2.1612872759518177e-21,4.005500878155962e-18,2.0
25,-1.4297783130667629e-11,-1.2971016815946327e-11,1.2791392295008651e-11,-1.9404173502050414e-12,-1.5507632079132558e-12,-2.8873856853869226e-11,0.0
26,0.531574621353631,0.6710475015898437,-0.7091699985937907,-0.05513880766819205,-0.07389510238621713,1.7115391338517352,4
27,0.007725740256613515,0.008485800886837903,-0.014639746637055768,0.0013151485686258842,0.001380417124016256,0.017178361089520124,3.0
28,0.04638845028643356,0.08832282101118491,-2.1022055485648226,-0.10707103072347426,-0.057516911550084336,3.7360509847912056,3.0
29,1.6081232298066104,-2.397291232317211,0.6360527844679524,0.6429285641033501,-0.3932865240001458,7683929509390368.0,3.0
30,-1.1732631470456692e-11,-8.828385220667336e-12,2.5282564009726506e-11,-1.3525348739198549e-11,-1.4677846529293692e-11,-1.9925788617843845e-11,0.0
31,0.0004906589135585501,0.0007313437455882683,-0.006374917676523441,0.0010295021978030288,0.0009503085287229149,0.003308732211362163,4
32,-1.3648184271628603e-11,-1.4671416809857127e-11,5.500029017999658e-11,-5.8630266582030706e-12,-6.677080662498494e-12,-3.2648622723158836e-11,0.0
33,1.3848054013526905,0.7567523437340475,-1.5994932892260136,-0.07356403660800015,-0.06866698559848744,2.2645762036837125,4
34,0.11186138904921358,0.06787890246721191,-0.18844572255614012,0.01478076412981018,0.020609198914559982,0.1544094280230977,4
35,1.056025598246216,1.260925280606688,-1.895994977289401,-0.03250422988939202,0.038531990441271,3.0859096077202053,4
