recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,1.18194460007362,,no flicker,Erinnern,2,1,605179.172054,605914.7816218
0,1.71279969997704,unrelated,,Wissen,2,2,605190.1910094,605922.8137481
0,1.94813090004027,unrelated,,Erinnern,2,1,605201.6939149,605879.9731023
0,1.21212959999684,,flicker seen,Erinnern,1,2,605212.3820508,606047.8775038
NaN,NaN,,no flicker,Erinnern,2,2,605222.5428656,605830.3818028
0,2.38154219998978,unrelated,,Erinnern,2,1,605232.8465908,605777.5656196
0,1.26662560005207,,no flicker,Erinnern,2,2,605243.6783558,605840.5411898
1,1.35445250000339,,no flicker,Erinnern,1,1,605254.5497077,605933.1177357
0,1.05349479999859,unrelated,,Erinnern,1,2,605265.1663175,606016.1809876
0,0.91645779996179,related,,Vergessen,1,2,605275.4538511,606001.2203279
NaN,NaN,unrelated,,Erinnern,1,1,605285.7825887,605889.0538485
NaN,NaN,,no flicker,Erinnern,1,1,605295.701476,605808.9227306
1,1.46965079999063,,no flicker,Wissen,1,2,605305.7980266,605983.9979648
1,0.912380299996585,unrelated,,Erinnern,1,1,605315.6063671,606095.4691416
0,0.607296799891628,related,,Wissen,2,2,605325.1986334,606161.7414076
1,0.284083600039594,,no flicker,Erinnern,2,1,605334.9728892,605899.1500285
1,1.61029380001128,,no flicker,Wissen,2,1,605344.9422589,606023.9328936
NaN,NaN,,no flicker,Erinnern,2,1,605354.7983131,605767.2690908
1,1.00022029993124,unrelated,,Erinnern,2,1,605364.4697423,606139.9251715
0,1.02330170001369,,no flicker,,1,2,605374.6696663,605799.4224618
0,2.90233020007145,unrelated,,Erinnern,1,2,605385.5166124,605819.9657376
0,0.921223100041971,unrelated,,Erinnern,1,2,605395.0777847,606079.8689424
1,0.857027299934998,,no flicker,Wissen,1,1,605404.6224225,606087.5639848
1,0.856836999999359,unrelated,,Erinnern,1,1,605414.3421714,605968.4529008
1,1.67586990003474,,no flicker,Erinnern,1,1,605423.82138,606071.116733
1,0.746474800049327,unrelated,,Wissen,2,2,605433.2695511,606102.7410879
1,0.250436900067143,related,,Erinnern,2,2,605442.7923833,606109.8216634
1,0.310589700005949,unrelated,,Erinnern,2,2,605452.3735656,606154.3729425
0,1.03029629995581,,no flicker,Wissen,2,2,605462.1106917,605976.1483284
1,0.987719799974002,,no flicker,Erinnern,1,2,605471.765846,605871.2934236
0,0.281699399929494,,no flicker,Wissen,2,1,605481.2452905,606031.9737048
0,0.980452200048603,unrelated,,Vergessen,1,1,605491.0304028,606131.6295753
0,1.76066090003587,,no flicker,Erinnern,1,1,605500.5577922,605958.0453436
0,1.1757753000129,unrelated,,Erinnern,2,2,605510.2222847,605941.6614205
0,0.290801600087434,,no flicker,Vergessen,2,2,605520.150355,606008.8057406
1,0.884438899927773,,no flicker,Erinnern,2,1,605529.83032,605949.925669
1,1.32038229994942,related,,Vergessen,1,2,605539.2222684,605992.5732588
0,1.05824869999196,related,,Erinnern,1,1,605550.0776966,606063.564696
1,1.21160219993908,,no flicker,Vergessen,1,1,605559.9261069,606039.5647401
0,2.58738430007361,,no flicker,Erinnern,1,1,605569.157201,605788.0222098
0,1.05458120000549,unrelated,,Erinnern,1,2,605578.5892007,606123.517579
1,0.356354699935764,unrelated,,Wissen,2,1,605587.918272,606147.6119588
1,0.352689600083977,related,,Wissen,2,2,605597.3726755,606116.765279
1,1.13178759999573,unrelated,,Erinnern,1,2,605608.5582515,605906.5568651
NaN,NaN,related,,,2,1,605618.3564442,605756.195824
1,0.860399600001983,,no flicker,Erinnern,2,2,605628.0291185,606055.7733924
0,2.43978350004181,,no flicker,Wissen,2,1,605637.6857187,605850.2140282
0,2.25130149989855,,no flicker,Wissen,1,2,605647.1495727,605861.3564627
1,0.321690500015393,,no flicker,Wissen,2,2,606178.28704,607016.212824
0,0.792238399968483,,no flicker,Wissen,2,1,606189.4926754,606995.4118265
0,1.04741900006775,unrelated,,Vergessen,2,1,606199.1168399,606901.6292946
1,0.432497099973261,,no flicker,Wissen,1,1,606209.1336264,606961.0527348
1,1.94689810008276,related,,,1,1,606218.6608744,606815.3969701
0,1.47928349999711,,no flicker,Wissen,1,1,606227.9481493,606868.0843145
0,2.34079970000312,unrelated,,Erinnern,2,1,606237.4771088,606796.8839492
1,0.891701699933037,,no flicker,Wissen,2,2,606247.1409546,606760.46073
0,0.603550600004382,unrelated,,Wissen,1,2,606256.7811957,606954.0112406
1,2.2757650000276,related,,Wissen,1,2,606266.9730746,606806.613317
1,1.616294400068,unrelated,,Wissen,2,2,606276.5329339,606825.9222426
0,1.40657739993185,unrelated,,Wissen,2,1,606286.0360994,606781.8041687
0,0.503632900072262,,no flicker,Wissen,2,2,606295.5250211,607050.8999063
1,1.02408889995422,,no flicker,Wissen,1,2,606304.9173464,606909.8443876
0,0.717210700036958,,no flicker,Vergessen,1,2,606314.5335235,606932.091952
0,0.296558100031689,unrelated,,Wissen,1,1,606324.1651497,607002.5950448
1,0.606073400005698,,no flicker,Wissen,1,2,606333.8213841,606967.6766446
1,0.780555699951947,unrelated,,Wissen,1,1,606343.3728184,606767.6291254
0,2.00670390005689,related,,Wissen,2,1,606353.3407644,606842.4128991
0,0.587066899985075,unrelated,,Wissen,2,2,606363.0055416,606974.972328
1,1.1465576000046,,no flicker,Wissen,2,2,606372.8295264,606917.595912
1,0.267058899975382,,no flicker,Wissen,2,2,606382.3883992,606982.1888688
1,1.56842519994825,unrelated,,Wissen,2,1,606392.1176351,606859.5089258
1,1.19262260000687,,no flicker,Wissen,2,2,606401.8295101,606834.4683912
0,0.946475100005046,related,,Vergessen,2,1,606411.1172748,606893.3805253
1,0.100873699993826,unrelated,,Wissen,1,1,606420.6847027,607058.0836316
1,0.963086699950509,,no flicker,Wissen,1,2,606430.1099366,606774.708134
0,0.422896699979901,unrelated,,Vergessen,1,2,606440.1563812,607036.7969407
0,0.314810500014573,unrelated,,Wissen,1,2,606450.4846912,606988.9402595
1,0.360229099984281,,no flicker,Wissen,1,1,606460.1014246,607078.4207985
0,0.461706200032495,,no flicker,Vergessen,2,1,606470.0292658,607071.4913936
1,1.26711469993461,,no flicker,Wissen,1,1,606479.6291756,606737.5488689
1,0.382914899964817,,no flicker,Vergessen,2,1,606489.3406397,607043.4523143
1,0.860339300008491,,no flicker,Wissen,1,2,606498.9726825,606753.3246631
0,0.746649899985641,related,,Wissen,1,2,606508.5004496,606925.0600351
1,0.753847300074995,,no flicker,Wissen,1,1,606519.0923134,606939.9646711
0,1.22378640004899,related,,Wissen,2,2,606528.6452015,606745.5096753
0,0.779432000010274,,no flicker,Wissen,2,2,606538.707948,606947.0603365
1,0.288341799983755,unrelated,,Wissen,2,2,606548.4053173,607030.2206863
0,0.464927399996668,related,,Vergessen,2,1,606558.0369284,607009.1722649
1,0.953435100032948,,no flicker,Wissen,2,2,606567.6449216,606789.4210636
0,1.04064950009342,unrelated,,Vergessen,1,1,606577.461375,606730.0289408
0,1.2240054999711,unrelated,,Wissen,1,1,606587.1247628,606876.9168937
0,1.75697139999829,unrelated,,Erinnern,2,1,606597.5324533,606850.9640755
0,0.958459499990568,,no flicker,Wissen,1,2,606607.2203614,607022.8681227
0,1.06592920003459,unrelated,,Vergessen,1,1,606617.0052102,606721.0206507
0,0.569749500020407,,no flicker,Wissen,1,2,606626.8925294,607064.4598893
0,1.46229699999094,,no flicker,Wissen,2,1,606636.5411137,606884.9951951
1,0.292588100070134,unrelated,,Wissen,2,2,607093.5739121,607892.5875786
1,0.287397700012662,,no flicker,Wissen,2,2,607104.8919484,607806.3322533
0,0.400107600027695,,no flicker,Wissen,1,1,607114.8127393,607671.9960772
1,0.742278899997473,related,,Wissen,1,2,607124.5479526,607939.3953063
1,0.386663099983707,,no flicker,Wissen,2,2,607134.1397063,607698.1319954
1,0.350876900018193,,no flicker,Wissen,1,1,607143.4918264,607738.2992346
1,0.45518719998654,unrelated,,Wissen,1,1,607152.9966963,607724.6918457
0,0.399358000024222,unrelated,,Wissen,2,2,607163.6836898,607905.6521676
1,0.32869509991724,unrelated,,Wissen,2,1,607173.3886185,607872.3237581
1,0.553125399979763,unrelated,,Wissen,1,2,607183.4036636,607799.4201878
1,0.61328210006468,,no flicker,Vergessen,2,1,607194.3409561,607623.2777849
1,0.545254600001499,,no flicker,Wissen,1,2,607203.5560258,607878.9871108
0,0.24111029994674,,no flicker,Wissen,1,2,607213.3396805,607704.5608118
0,0.763719799928367,,no flicker,Vergessen,2,1,607222.9478776,607785.7319354
0,0.569913499988616,unrelated,,Vergessen,2,1,607232.3956033,607711.060156
1,0.554811500012875,unrelated,,Wissen,1,1,607241.8196718,607658.298677
0,1.00769060000312,related,,Wissen,1,2,607251.7718594,607651.2504064
1,0.312998799956404,,no flicker,Wissen,2,1,607261.3563952,607932.8120354
1,0.386882400023751,,no flicker,Vergessen,2,2,607270.8196627,607825.5378739
0,0.529680600040592,related,,Vergessen,2,1,607280.1886898,607630.8352305
1,0.272973800078034,,no flicker,Vergessen,1,2,607289.4444717,607899.0990784
0,0.388527199975215,unrelated,,Wissen,2,2,607298.8606158,607751.5166368
