recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,1.36644869996235,unrelated,,Wissen,1,1,266358.969641,267102.5176731
1,1.34597689996008,,,Wissen,2,2,266370.0785467,267038.1272287
0,1.98435019998578,unrelated,,Wissen,1,2,266381.4847724,267189.5023855
1,1.18001409998396,unrelated,,Wissen,2,1,266392.9426617,267085.3991866
1,1.98122790001798,unrelated,,Erinnern,2,2,266404.1504778,267055.7184968
0,1.75450530002126,,no flicker,Erinnern,1,1,266415.9023584,267199.4718207
1,1.68519519997062,,no flicker,Wissen,2,2,266427.2946053,267162.2394398
1,1.29571489995578,,no flicker,Erinnern,1,1,266438.2141449,267180.7668506
1,2.05251439998392,unrelated,,Wissen,2,1,266449.3584281,267171.4547588
0,2.44682880002074,unrelated,,,1,1,266460.8223225,267009.6466014
1,0.968764999997802,related,,Wissen,2,1,266472.0543609,267310.2707181
1,1.5172634999617,,,Wissen,2,1,266482.6704188,266990.1919397
1,1.69084239995573,,no flicker,Wissen,1,2,266494.0762662,266980.7515419
1,1.61888650001492,,no flicker,Erinnern,1,2,266505.1751434,267318.7107194
1,1.60307389998343,,no flicker,Wissen,2,2,266515.4062032,267292.1752211
1,2.40612940001301,unrelated,,Erinnern,1,2,266525.8151206,267225.6634637
1,1.8267927999841,,no flicker,Vergessen,1,1,266536.9104137,267234.6948709
1,1.41787659999682,unrelated,,Wissen,1,2,266548.2384692,267345.2226446
1,1.63267729996005,unrelated,,Wissen,2,1,266558.8056485,267000.4947943
1,1.69546610000543,unrelated,,Wissen,2,2,266569.3432061,267335.9106404
1,1.37182480003685,,flicker seen,Erinnern,2,1,266580.1103026,266971.0022435
1,1.19621750002261,,no flicker,Wissen,2,2,266592.0225746,267128.5185144
1,1.43253319995711,,no flicker,Wissen,2,2,266603.4617651,267046.990422
1,1.67137509997701,unrelated,,Wissen,2,1,266614.4553959,267383.2468492
1,2.94401769997785,unrelated,,,1,1,266625.5183485,266959.6223114
1,1.69622140005231,,no flicker,Erinnern,1,2,266635.8233869,267373.6059399
NaN,NaN,,no flicker,Vergessen,2,2,266646.9258498,267353.599584
1,1.44428260001587,unrelated,,Wissen,1,1,266658.3024696,267208.2152011
0,1.81298139999853,,,Wissen,1,2,266668.5663067,266949.1585671
1,1.87244549999014,unrelated,,Wissen,1,2,266680.0829378,267153.3835794
1,1.79011649999302,unrelated,,Erinnern,2,1,266691.4226512,267301.1027652
1,0.929566200007685,,no flicker,Wissen,1,1,266701.8457561,267262.9498255
1,0.871719499991741,,no flicker,Wissen,2,2,266712.3027511,267327.6315141
1,1.09787430003053,,no flicker,Wissen,1,1,266722.5912669,267111.430352
1,1.58858179999515,unrelated,,Wissen,2,2,266733.4782328,267364.879569
NaN,NaN,,no flicker,Wissen,1,2,266745.0778429,267281.2387555
1,1.35309600003529,,no flicker,Wissen,2,1,266756.1420756,267120.1835383
1,2.3830393999815,unrelated,,Wissen,1,2,266766.7416594,267064.7827586
1,1.66424700000789,unrelated,,Erinnern,2,2,266778.7673216,267020.6603502
1,1.66104139998788,,,Wissen,1,1,266789.1584701,267136.254917
1,1.30430030002026,,no flicker,Wissen,1,1,266800.7232585,267145.5514932
1,1.75864089996321,,no flicker,Wissen,1,2,266811.6386518,267093.7609794
1,1.31332300003851,,,Wissen,2,2,266822.3105478,267217.4545503
0,2.35038649995113,,no flicker,Erinnern,2,1,266833.8080794,267253.0546804
1,1.50019509997219,unrelated,,Wissen,1,1,266844.4554383,267244.086875
1,1.20251319999807,unrelated,,Wissen,1,2,266855.2789771,267029.6143856
0,2.30067829997279,,no flicker,Erinnern,2,1,266865.7267573,267271.0949428
NaN,NaN,unrelated,,Vergessen,2,1,266876.9985284,267075.4304676
1,0.860569800017402,unrelated,,Wissen,1,2,267401.305016,268121.5999387
1,2.63498550001532,,no flicker,Erinnern,2,2,267412.8227944,268156.2873694
1,2.23145770002156,unrelated,,Wissen,2,1,267423.0546176,268341.4073266
1,1.97931919997791,unrelated,,Wissen,2,1,267434.3512647,267988.8941344
1,2.72000400000252,,no flicker,Wissen,2,1,267445.4147354,268331.0148856
1,1.13950979994843,,no flicker,Erinnern,2,2,267455.5108699,268296.2319563
1,0.449289499956649,,no flicker,Wissen,2,2,267466.6623254,268279.2789723
NaN,NaN,,,Vergessen,2,1,267477.1106688,268076.1352063
1,1.07241409999551,,flicker seen,Wissen,1,1,267488.6527863,268244.287054
1,1.33265240001492,unrelated,,Wissen,1,1,267499.4309722,268375.6785165
1,2.15463689999888,,no flicker,Wissen,1,2,267510.6627798,268286.7274395
1,2.0181970000267,unrelated,,Wissen,2,2,267521.1023897,268312.4878034
1,1.24815160001162,,no flicker,Wissen,1,1,267531.9187048,268067.7267241
1,1.52749409998069,,no flicker,Wissen,1,2,267543.0547189,268190.6231825
1,1.79152149998117,unrelated,,Wissen,1,1,267553.5836249,268234.7903687
1,1.37026290001813,unrelated,,Wissen,1,2,267564.9517638,268199.6313089
1,1.05795990000479,related,,Wissen,2,1,267576.006856,268086.647215
1,1.24839030002477,unrelated,,Wissen,1,2,267586.9607454,268367.7917748
1,1.33599140000297,,no flicker,Wissen,1,2,267596.8792929,268384.1582729
1,1.14764460001606,unrelated,,Wissen,1,1,267607.5424927,268032.5351053
1,1.2840312999906,,no flicker,Wissen,1,1,267619.2077211,268015.5350787
1,1.01854209997691,,no flicker,Wissen,1,2,267630.2870694,268166.5358283
1,2.98476090002805,related,,Wissen,1,1,267640.9675527,268057.2470562
1,1.60544479999226,unrelated,,Wissen,1,1,267651.8876715,268048.8158853
1,1.26672790001612,,,Wissen,2,1,267663.775569,268216.6078504
1,0.87057620001724,,no flicker,Wissen,1,2,267675.2601667,268304.9662954
0,2.76538629998686,,no flicker,Erinnern,2,2,267685.5347136,267978.6861308
1,0.650093500036746,,,Wissen,2,1,267696.358769,268351.1439435
0,2.00439659995027,unrelated,,Vergessen,2,2,267707.7783389,267968.621741
0,1.83786139998119,,no flicker,Erinnern,2,1,267717.8557398,268225.2390512
1,0.823992499965243,,no flicker,Wissen,2,2,267727.9836911,268208.3831365
1,1.1195194000029,unrelated,,Wissen,2,2,267739.0464954,268113.1598384
1,1.11147290002555,unrelated,,Wissen,2,1,267750.0469101,268174.5273794
1,1.19688609999139,,no flicker,Wissen,1,2,267759.615031,267998.2953596
NaN,NaN,unrelated,,Wissen,2,2,267769.9906977,268094.3350081
1,1.04994370002532,,no flicker,Wissen,2,2,267780.1274809,268182.7749396
1,1.43349319999106,,no flicker,Wissen,2,2,267791.1507778,268261.9989197
1,1.23901389999082,,no flicker,Wissen,2,2,267801.1671235,268147.6156799
1,2.01781399996253,unrelated,,Wissen,1,2,267810.9757722,268359.0078315
1,0.924579199985601,unrelated,,Wissen,1,1,267821.5668457,268105.2076494
1,1.49197089998052,,,Wissen,2,1,267832.1758071,268253.2630202
1,1.21553679998033,,no flicker,Wissen,1,1,267843.6846876,268129.6789293
1,0.89724489999935,,no flicker,Wissen,1,1,267854.2469635,268040.790813
1,2.59442670003045,related,,Erinnern,1,2,267864.4631052,268321.3353305
1,1.66617810004391,,no flicker,Wissen,1,1,267874.3589929,268138.3518248
1,1.92092020000564,,no flicker,Wissen,2,1,267884.5669311,268270.2787898
1,1.14949270000216,unrelated,,Wissen,2,1,267894.9109615,268024.4389592
1,1.84748779999791,unrelated,,Wissen,1,2,267905.2949085,268006.4155766
NaN,NaN,unrelated,,Vergessen,1,2,268400.042822,269348.3588423
1,0.474100399995223,,no flicker,Wissen,1,2,268410.8551912,269028.1188671
NaN,NaN,,no flicker,Erinnern,2,2,268421.3829583,269009.0233467
1,0.992008799978066,unrelated,,Wissen,1,2,268431.462934,269161.2878304
1,1.15928770002211,,no flicker,Wissen,1,1,268441.4786023,269090.7593448
1,1.39956490002805,,no flicker,Erinnern,2,2,268451.5510616,268973.1516042
0,2.37677160004387,unrelated,,Erinnern,2,2,268461.8871509,269376.1274006
0,2.79133699997328,unrelated,,Erinnern,1,2,268471.9112725,269215.9032898
0,1.95493609999539,unrelated,,Erinnern,1,1,268481.8630421,269315.9913788
NaN,NaN,unrelated,,Vergessen,2,1,268493.6714776,269249.5111193
1,1.17189270001836,,no flicker,Wissen,1,1,268504.0785672,269142.6319828
1,1.72066580003593,unrelated,,Erinnern,2,1,268514.5989055,269358.2473061
0,2.83111620001728,,no flicker,Erinnern,2,1,268525.4551494,269267.6392559
1,0.812009199988097,,no flicker,Wissen,2,2,268536.6071127,269099.2878801
NaN,NaN,,,Erinnern,1,1,268547.0074166,269019.4872222
1,0.365156600018963,unrelated,,Wissen,2,1,268558.4080285,269193.7357201
1,1.08331830002135,,,Wissen,1,2,268570.3992824,269284.07175
1,2.85686970001552,,no flicker,Wissen,1,1,268581.885431,269043.1837491
1,1.78735529998085,unrelated,,,1,1,268593.6551969,269072.2959708
1,0.8555249000201,,no flicker,Vergessen,1,1,268603.479869,269291.8476048
1,0.971196400001645,related,,Wissen,1,2,268614.3679108,269035.5992639
0,1.90871450002305,unrelated,,Erinnern,2,1,268625.3670695,268982.18256
1,0.310865000006743,,no flicker,Wissen,1,2,268636.6154885,269242.6317497
1,0.930508699966595,unrelated,,Wissen,1,1,268647.3680977,269225.9922271
NaN,NaN,unrelated,,Vergessen,2,2,268657.9037777,269132.9504868
1,1.7131896999781,,,Wissen,2,2,268668.7912594,269259.1843223
1,1.6891838000156,,no flicker,Wissen,2,1,268680.3774019,269000.3923443
1,0.432138900039718,,no flicker,Wissen,2,1,268690.9681346,269178.143299
0,1.12876180000603,,no flicker,Wissen,1,2,268701.7034895,269367.976085
0,2.31304949999321,,no flicker,Erinnern,2,2,268711.6714336,269298.9363666
1,0.843253999948502,,,Wissen,2,1,268722.0321957,269125.6394325
1,2.06375549995573,unrelated,,Wissen,2,2,268733.4854296,269168.8242205
1,0.830288400000427,unrelated,,Wissen,2,2,268743.6232804,269332.8804189
0,1.53543789999094,unrelated,,Wissen,1,2,268753.5590656,269200.7836896
1,0.540162299992517,,no flicker,Wissen,1,1,268763.3352074,269277.0715227
0,2.41844089998631,unrelated,,Vergessen,2,2,268774.0153837,269061.5842039
1,0.953614700003527,unrelated,,Wissen,1,2,268784.9285559,269185.5033531
1,0.463933200051542,,no flicker,Erinnern,2,1,268795.8880526,269208.8729405
1,0.661646299995482,,no flicker,Wissen,2,1,268807.3592919,269325.2242327
1,1.46398719999706,unrelated,,Wissen,2,1,268817.0963341,269082.7009073
1,1.26770650001708,unrelated,,Wissen,2,2,268827.094605,268991.7592533
1,1.27587749995291,,no flicker,Wissen,2,2,268837.0865963,269117.5996791
NaN,NaN,,no flicker,Vergessen,1,2,268848.0238896,269107.7844138
NaN,NaN,unrelated,,Wissen,1,1,268858.6832269,269151.4002322
1,1.71731470001396,,no flicker,Wissen,1,1,268868.4563175,269340.3198355
1,0.913190499995835,,no flicker,Wissen,1,2,268878.9119605,269308.3118961
0,1.84302080003545,unrelated,,Erinnern,1,1,268890.2159094,269233.8562411
1,0.432493900007103,,no flicker,Wissen,2,1,268899.960668,269054.3762622
