recalled,rt,semantics,flicker,confidence,enc_freq,ret_freq,enc_onset,ret_onset
0,0.8559497,unrelated,,Wissen,1,1,621643.1637,621951.1243
0,0.4533177,unrelated,,Wissen,2,1,621653.0288,621925.5483
0,2.8110809,,no flicker,Erinnern,1,2,621664.2918,622126.972
1,1.5614525,unrelated,,Wissen,1,1,621674.1245,621780.1805
0,0.850847,,no flicker,Erinnern,1,2,621684.5008,622179.4517
1,1.9537163,,no flicker,Erinnern,2,1,621694.3641,621959.4756
1,1.6875524,unrelated,,Wissen,2,2,622215.3286,623109.0022
0,0.4721995,,no flicker,Erinnern,2,2,622226.3555,623001.6982
NaN,NaN,,no flicker,Vergessen,1,1,622236.7709,622832.6112
1,1.1527204,unrelated,,Wissen,1,2,622246.7797,623166.8585
1,2.6359403,,no flicker,Wissen,2,2,622256.9546,622864.9399
1,0.3247091,,no flicker,Wissen,1,1,622267.4914,622917.0352
NaN,NaN,unrelated,,Erinnern,1,1,622277.6201,622898.9382
0,2.272258,unrelated,,Vergessen,2,2,622288.6129,623125.0429
1,1.0927183,unrelated,,Wissen,2,1,622298.3002,623083.827
0,0.2733577,unrelated,,Wissen,1,2,622308.3461,622994.9695
NaN,NaN,,no flicker,Wissen,2,1,622319.0907,622777.6964
0,0.481368,,no flicker,Erinnern,1,2,622329.1313,623091.5144
0,1.5473051,,no flicker,Vergessen,1,2,622339.1878,622874.1622
0,1.928279,,no flicker,Vergessen,2,1,622349.0988,622976.7869
0,1.1279217,unrelated,,Erinnern,2,1,622359.2914,622882.7695
1,1.3596171,unrelated,,Erinnern,1,1,622369.6193,622815.1626
1,0.4967162,unrelated,,Wissen,1,2,622379.8903,622808.2588
1,0.5853629,,no flicker,Wissen,2,1,622391.163,623159.3622
1,1.8712245,,no flicker,Erinnern,2,2,622401.9796,623025.0109
1,0.5362139,unrelated,,Wissen,2,1,622412.3001,622786.9303
1,0.8979201,,no flicker,Vergessen,1,2,622422.5074,623117.4764
0,1.7032251,related,,Vergessen,2,2,622432.3621,622931.5302
1,0.3919028,,no flicker,Wissen,1,1,622442.4436,623018.1943
1,0.7800528,related,,Wissen,1,2,622452.7234,623151.6268
1,1.9229573,unrelated,,Erinnern,2,1,622464.3231,623074.8506
1,0.3294371,,no flicker,Wissen,1,1,622475.5835,623043.0106
1,0.5241759,,no flicker,Wissen,2,1,622485.6904,623050.0588
1,0.8080278,unrelated,,Wissen,2,2,622495.4826,622793.8349
1,1.2074495,,no flicker,Erinnern,2,2,622505.499,622923.6982
1,0.4139901,unrelated,,Wissen,1,1,622515.8748,622801.2265
1,0.2903692,,no flicker,Erinnern,1,2,622526.3231,622891.7869
1,1.5306206,unrelated,,Wissen,1,1,622535.9792,622986.3708
1,0.2878087,unrelated,,Wissen,1,1,622546.0991,623143.9148
0,2.179082,,no flicker,Vergessen,1,1,622556.3386,622950.2821
1,0.6014373,related,,Erinnern,1,2,622566.0278,622909.7878
1,1.2859719,unrelated,,Vergessen,2,2,622576.0197,623008.9072
0,2.1846081,,no flicker,Vergessen,1,2,622586.5873,622940.515
1,1.1870235,,no flicker,Wissen,1,1,622596.9627,622857.1063
0,1.8315318,,no flicker,Vergessen,1,2,622607.1474,623065.8192
1,0.7624124,unrelated,,Erinnern,2,1,622618.2351,623057.802
1,0.267353,unrelated,,Wissen,1,1,622628.5318,622842.3224
0,0.8838697,,no flicker,Vergessen,2,2,622638.7247,623100.3228
1,1.5626686,,no flicker,Erinnern,2,1,622648.6194,622967.8906
1,1.1127889,,no flicker,Wissen,2,2,622658.7322,622959.2904
0,2.0666241,unrelated,,Vergessen,1,2,622668.8827,623033.3859
1,1.1913368,unrelated,,Wissen,2,1,622678.8756,622849.3311
0,2.1955723,,no flicker,Vergessen,2,2,622688.9308,623134.2421
0,2.7194261,unrelated,,Vergessen,2,1,622699.0999,622823.0117
