screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,1,15203.2370086
1,1,3,15208.2074463
1,1,2,15211.775736
0,0,4,15215.3845473
0,0,4,15218.9683211
1,1,3,15222.4093813
1,1,2,15225.9355692
1,0,1,15229.303312
1,1,3,15232.864388
1,1,2,15236.5683197
1,0,1,15240.0878009
1,0,1,15243.6324087
1,1,2,15247.1748097
0,0,4,15250.6792274
1,1,3,15254.1120596
0,0,4,15257.5909002
1,0,1,15261.1432575
0,0,4,15264.6948925
1,0,1,15268.2392244
1,1,3,15271.999604
1,1,3,15275.4234207
1,1,2,15278.8950801
1,1,2,15282.3589033
0,0,4,15285.8159704
1,0,1,15289.2878489
0,0,4,15292.7445408
1,1,2,15296.2952304
1,0,1,15299.8715802
0,0,4,15303.4319486
1,1,2,15306.9034717
1,1,3,15310.4635928
1,1,3,15313.8468325
1,1,2,15317.2229326
0,0,4,15320.646804
1,1,2,15324.2469177
1,1,3,15327.6707644
1,0,1,15331.0873611
0,0,4,15334.4716116
1,0,1,15338.0146356
1,1,3,15341.6312963
0,0,4,15351.5684643
1,1,2,15355.1834834
0,0,4,15358.7110444
1,0,1,15362.2631659
1,1,3,15365.7823482
1,0,1,15369.2871458
1,1,3,15372.7750826
1,1,2,15376.20758
0,0,4,15379.4560478
1,1,3,15382.9359393
1,0,1,15386.3429323
1,0,1,15389.8385966
0,0,4,15393.3510438
1,1,3,15396.7280297
1,1,2,15400.22399
1,1,2,15403.7519601
1,1,2,15407.1911064
1,0,1,15410.7265906
0,0,4,15414.3426539
1,1,3,15417.855685
0,0,4,15421.3590162
1,1,3,15424.7679406
1,0,1,15428.1912882
1,1,2,15431.7031847
1,1,3,15435.1353622
1,1,3,15438.6318329
0,0,4,15442.1275328
1,0,1,15445.8397808
1,1,2,15449.3674194
0,0,4,15452.8714947
1,1,2,15456.3190349
1,0,1,15459.8160966
1,0,1,15463.4153003
1,1,3,15466.9105121
1,1,3,15470.2793663
1,1,2,15473.6714965
1,1,2,15477.0304185
0,0,4,15480.5022781
0,0,4,15483.9189585
1,0,1,15487.1989248
1,1,2,15496.9029287
1,0,1,15500.5196394
1,1,3,15503.9989542
1,1,2,15507.5343051
1,1,3,15511.0946196
1,0,1,15514.5672094
0,0,4,15518.0070713
0,0,4,15521.3760298
0,0,4,15524.9342773
1,1,2,15528.4559768
0,0,4,15531.8464853
1,0,1,15535.3276486
1,0,1,15538.8556859
1,1,3,15542.3427464
1,1,2,15545.8160229
1,1,3,15549.1744868
0,0,4,15552.5518884
1,0,1,15555.9509871
1,1,3,15559.391895
1,1,3,15562.616002
1,0,1,15566.0553198
1,1,2,15569.5674686
0,0,4,15572.8635168
1,1,2,15576.3744924
1,0,1,15579.7122492
1,1,3,15583.1830743
1,0,1,15586.6082706
0,0,4,15589.9902355
0,0,4,15593.463162
1,1,2,15596.8470261
1,1,3,15600.2717873
1,1,2,15603.7197457
1,0,1,15607.0559898
1,1,2,15610.5514678
1,1,3,15613.815779
0,0,4,15617.0385181
1,0,1,15620.440044
1,1,2,15623.9627825
0,0,4,15627.2398358
1,1,3,15630.6714895
