,65Hz_encoding,65Hz_retrieval,43Hz_encoding,43Hz_retrieval,33Hz_encoding,33Hz_retrieval,rt,enc_onset,ret_onset,intercept,outlier
0,0.028826066720201486,0.03775528801949843,0.07445446781355412,0.07061971034272693,0.036172354546493576,0.029871672155748957,-0.2059788410804253,-0.0004329124511423022,0.0002874270195308599,0.16844251984858888,4
1,0.30044967434522335,0.23249485597416214,0.13041514534557763,0.30025680720164255,0.15079622623566669,0.08714617428314514,-1.04273217315826,0.030559157465375283,0.06039277841994697,0.9932415889155628,4
2,-3.887300559493774e-12,-4.161309541925515e-12,2.1340370102698536e-12,4.116097412791009e-13,4.3270831180130715e-13,-1.882830921725531e-12,2.8741986824874658e-11,-5.901667880852944e-12,-6.867340265650055e-12,8.912531888535551e-13,0.0
3,0.0027542837427013056,0.0016726767335356895,0.0030194369978092934,0.0034565604274125607,0.0032757239799765035,0.004806287450402585,-0.02225513080152316,0.005246300655928828,0.005332074372102693,0.013648554848338691,0.0
4,0.016910296828551778,0.01458293767206273,0.017018378190227643,0.015569840121565303,0.01301931190490457,0.014366217756493568,-0.06268043657566312,0.0066797577793894876,0.005826597330023693,0.05493247814577473,4
5,0.0029076920239814326,0.0058709671583409935,0.007205771560595073,0.0016889469903087196,0.0060613408632925565,0.010941875601302838,-0.0676329433522646,-0.0030719446084612446,-0.0030202960889258246,0.020671778350545247,0.0
6,3.2162794367777826e-27,-1.2395200320628382e-12,-2.252999863954121e-12,-2.2478204668230045e-12,0.0,3.796991873915943e-12,-1.267884111407665e-11,-8.338402896820978e-13,-1.2436897111655195e-12,-5.548703832479781e-13,0.0
7,9.690037656951962e-05,0.0004097049267910894,0.00048660502865590516,0.00021763713464174227,0.00015390185202243174,0.0001953827913898168,-0.0037854458403487013,-0.000700752269660276,-0.0008360053338981325,0.0014182127020565078,0.0
8,0.02128906242709523,0.01643280810900375,0.020410331362647006,0.025606187083869913,0.017181061759810153,0.017882696515753204,-0.1028094520174297,-0.0023154921646716506,-0.0019166265890291731,0.0779669606807989,4
9,5.494875704484287e-13,-2.1060325148462876e-12,1.0496387769893886e-12,-9.96332550090764e-13,2.7265951173604266e-12,4.199720398527951e-12,3.206181541167558e-12,4.484288142693451e-12,4.4296512901554805e-12,3.140875920551518e-12,0.0
10,0.0064012660478227415,0.007038623989443627,0.002577686774574285,0.004205452207683999,0.010498281718046242,0.008688325626240547,-0.0404786505523721,0.003886082322117596,0.0038876474294213047,0.028405269240496345,0.0
11,0.008827892069586656,0.021758432471834302,0.026297058313559815,0.04171095716420878,0.03721413440587844,0.022168579505390546,-0.14971662195902605,-0.02102840418288671,-0.0249667931119311,0.10918103436107437,4
