screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,1,3,716462.5423506
1,1,2,716466.9325284
0,0,4,716470.6369303
1,1,2,716474.1730895
1,1,3,716477.9731902
1,0,1,716481.5883034
0,0,4,716485.1009162
1,0,1,716488.7085444
1,1,2,716492.3078255
1,1,3,716495.9318662
0,0,4,716499.5318658
1,0,1,716503.2132049
1,1,3,716506.7971489
1,1,2,716510.4049803
1,0,1,716513.9248941
0,0,4,716517.47635
0,0,4,716521.0533231
1,1,2,716524.6446158
0,0,4,716528.1572973
1,0,1,716531.6697812
1,1,3,716535.1812025
1,0,1,716538.7248221
1,1,3,716542.2760334
1,1,2,716545.8446717
1,1,2,716549.3325018
0,0,4,716552.941109
1,1,2,716556.3569422
1,1,3,716559.8610869
1,0,1,716563.4918228
1,1,3,716566.9974652
0,0,4,716570.5970973
1,0,1,716573.9006556
1,0,1,716577.3486917
0,0,4,716580.9156419
0,0,4,716584.6037289
1,1,2,716588.1731999
1,1,2,716591.7969641
1,1,3,716595.3247711
1,0,1,716599.0441812
1,1,3,716602.6518449
0,0,4,716612.9133049
1,1,3,716616.4365874
1,1,3,716619.852436
1,0,1,716623.5236295
1,0,1,716626.9475663
1,1,2,716630.45287
1,1,2,716633.7477009
0,0,4,716637.2211106
1,1,2,716640.7973686
1,1,2,716644.0203163
0,0,4,716647.5403791
0,0,4,716651.1716405
1,1,3,716654.6928221
1,1,3,716658.3003652
1,0,1,716661.7732928
1,0,1,716665.2440931
0,0,4,716668.8840916
1,0,1,716672.5406531
1,1,2,716676.0132645
1,1,3,716679.6214981
1,0,1,716683.1649513
1,1,3,716686.4201644
0,0,4,716690.0204191
1,1,2,716693.4678276
0,0,4,716696.8375639
1,1,2,716700.3085761
1,1,2,716703.8693177
1,0,1,716707.2045818
1,1,3,716710.7156864
1,0,1,716714.2440794
0,0,4,716717.6687323
1,1,3,716721.1805271
1,1,3,716724.6124416
1,0,1,716727.9734219
1,0,1,716731.4696067
1,1,2,716735.0130727
0,0,4,716738.4037515
1,1,3,716741.7717858
1,1,2,716745.1811025
0,0,4,716748.652491
0,0,4,716758.5817972
1,1,3,716762.0044659
0,0,4,716765.460209
1,1,2,716768.8524927
1,1,2,716772.6687392
1,0,1,716776.1727614
1,1,3,716779.7409411
1,0,1,716783.316396
0,0,4,716786.7485062
0,0,4,716790.308683
1,1,2,716793.9733426
1,1,3,716797.3321663
1,1,2,716800.8528121
1,0,1,716804.3006792
1,1,3,716807.7643854
1,0,1,716811.355595
1,0,1,716814.8917113
0,0,4,716818.5008153
1,1,2,716821.956426
1,1,3,716825.4444654
1,0,1,716829.0681839
1,1,2,716832.7009046
0,0,4,716836.1485404
1,1,3,716839.7827985
1,1,2,716843.3176184
1,1,3,716846.8933536
1,1,2,716850.5004778
1,0,1,716854.0052174
0,0,4,716857.4851796
0,0,4,716861.0687257
1,1,3,716864.5099588
1,0,1,716868.1328239
0,0,4,716871.5804373
0,0,4,716875.0523034
1,0,1,716878.5644226
1,1,2,716882.1254366
1,1,3,716885.9807121
1,0,1,716889.5490053
1,1,3,716893.1406827
1,1,2,716896.5575022
