screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,NaN,1,25196.3377739
1,0,3,25202.1139003
1,0,2,25206.0946607
0,0,4,25209.7984712
0,1,4,25213.4466924
1,1,3,25217.1816183
1,1,2,25221.2854746
1,0,1,25225.1179273
1,1,3,25228.8217379
1,1,2,25232.4773639
1,0,1,25235.9742272
1,0,1,25239.4374513
1,1,2,25243.005056
0,0,4,25246.4932919
1,1,3,25249.9969743
0,0,4,25253.4455191
1,0,1,25257.4535957
0,0,4,25260.9648335
1,0,1,25264.4130287
1,1,3,25267.9657219
1,1,3,25271.5017677
1,1,2,25275.0136086
1,1,2,25278.6293408
0,0,4,25282.1969583
1,0,1,25285.6933226
0,0,4,25289.2217726
1,1,2,25293.0127086
1,0,1,25296.6532326
0,0,4,25300.2618273
1,1,2,25303.7812966
1,1,3,25307.1888313
1,1,3,25310.6611977
1,1,2,25314.1649244
0,0,4,25317.6301602
1,1,2,25321.1338117
1,1,3,25324.4851195
1,0,1,25328.0378691
0,0,4,25331.27806
1,0,1,25334.8369957
1,1,3,25338.3258234
0,0,4,25348.2522911
1,1,2,25352.1258105
0,0,4,25355.6697353
1,0,1,25359.3243707
1,1,3,25362.6119838
1,0,1,25366.0293274
1,1,3,25369.3332777
1,1,2,25372.9092801
0,0,4,25376.5577071
1,1,3,25380.0450154
1,0,1,25383.3571464
1,0,1,25386.868664
0,0,4,25390.7651809
1,1,3,25394.2293379
1,1,2,25397.8132006
1,1,2,25401.2860718
1,1,2,25404.8047986
1,0,1,25408.3643622
0,0,4,25412.7330062
1,1,3,25416.5169167
0,0,4,25420.3973284
1,1,3,25424.2855865
1,0,1,25428.0211829
1,1,2,25432.004992
1,1,3,25435.701771
1,1,3,25439.4368052
0,0,4,25443.0770432
1,0,1,25446.8938765
1,1,2,25450.5722687
0,0,4,25454.3894764
1,1,2,25457.9895525
1,0,1,25461.5897791
1,0,1,25465.2213308
1,1,3,25468.9102062
1,1,3,25472.6371297
1,1,2,25476.2934502
1,1,2,25479.8211467
0,0,4,25483.4460543
0,0,4,25487.0934309
1,0,1,25490.6060137
1,1,2,25502.4029594
1,0,1,25506.9810712
1,1,3,25510.9089948
1,1,2,25514.6379968
1,1,3,25518.1173961
1,0,1,25521.5731803
0,0,4,25525.1251013
0,0,4,25528.7094481
0,0,4,25532.4699051
1,1,2,25536.0536898
0,0,4,25539.6603706
1,0,1,25543.1179057
1,0,1,25546.741081
1,1,3,25550.3501619
1,1,2,25553.9244139
1,1,3,25557.1176091
0,0,4,25560.686288
1,0,1,25565.2936355
1,1,3,25569.4372145
1,1,3,25573.0459509
1,0,1,25576.5425132
1,1,2,25580.8213259
0,0,4,25584.4849717
1,1,2,25588.1973864
1,0,1,25591.8535074
1,1,3,25595.5166134
1,0,1,25599.1816815
0,0,4,25602.8611274
0,0,4,25606.485094
1,1,2,25610.0770927
1,1,3,25613.6688375
1,1,2,25617.2446586
1,0,1,25620.7490051
1,1,2,25624.2524338
1,1,3,25627.6932519
0,0,4,25631.36592
1,0,1,25634.8844519
1,1,2,25638.7566608
0,0,4,25642.3411058
1,1,3,25645.8928982
