screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,1,2,1135833.4118953
1,1,3,1135837.8384761
1,0,1,1135841.6618636
1,0,1,1135845.4948293
0,0,4,1135849.4391006
0,0,4,1135853.2780576
1,1,2,1135856.7655847
1,1,3,1135860.5174688
1,1,3,1135864.1417518
1,1,3,1135867.8063938
1,0,1,1135871.317451
1,1,2,1135874.9425842
0,0,4,1135878.5737216
1,0,1,1135882.0855768
1,1,2,1135885.6142109
0,0,4,1135889.2140516
1,1,2,1135892.8213089
0,0,4,1135896.3823576
1,0,1,1135900.1020603
1,1,3,1135903.6451078
1,1,2,1135907.1974032
1,1,3,1135910.8221115
0,0,4,1135914.6380599
1,0,1,1135918.2938567
1,1,3,1135921.75656
1,1,2,1135925.3174608
1,0,1,1135928.8771207
0,0,4,1135932.4293022
1,1,3,1135935.9409637
0,0,4,1135939.5973571
1,0,1,1135943.1107329
1,1,2,1135946.6294488
0,0,4,1135950.1728307
1,1,3,1135953.7563601
0,0,4,1135957.1180644
1,1,3,1135960.7092038
1,0,1,1135964.2691476
1,1,2,1135967.8134248
1,0,1,1135971.3731855
1,1,2,1135974.9644177
1,1,3,1135985.6866651
0,0,4,1135989.3091219
1,1,2,1135992.9170466
1,0,1,1135996.6122374
1,0,1,1136000.0928613
0,0,4,1136003.5250667
1,1,2,1136007.0059622
1,1,3,1136010.5563477
0,0,4,1136014.1016416
1,1,3,1136017.7731571
1,1,3,1136021.2381514
1,0,1,1136025.1003668
0,0,4,1136028.5490695
1,1,2,1136032.0446705
1,1,2,1136035.6122281
1,0,1,1136039.294016
1,1,3,1136042.9245472
1,1,2,1136046.5419909
0,0,4,1136050.0215827
1,1,3,1136053.5641705
1,0,1,1136057.1096478
1,1,2,1136060.6290969
1,0,1,1136064.1737504
0,0,4,1136067.7253221
1,1,2,1136071.1803573
1,1,2,1136074.8368651
1,1,3,1136078.332976
1,1,3,1136081.8450909
1,0,1,1136085.5406716
1,0,1,1136089.3088994
0,0,4,1136092.9336671
0,0,4,1136096.557397
1,0,1,1136100.196738
0,0,4,1136103.8039319
1,1,2,1136107.3487412
0,0,4,1136110.884027
1,0,1,1136114.6455639
1,1,3,1136118.2938444
1,1,2,1136121.9417113
1,1,3,1136125.5417234
1,0,1,1136135.7873763
1,1,3,1136139.660861
1,1,2,1136143.3724525
1,1,3,1136146.9558647
1,0,1,1136150.5321239
1,1,2,1136154.3246604
0,0,4,1136157.9088081
0,0,4,1136161.516424
0,0,4,1136165.1960988
1,0,1,1136168.7488117
1,1,2,1136172.3570696
0,0,4,1136175.9254167
1,1,3,1136179.4285827
1,0,1,1136182.9319715
1,1,2,1136186.4759172
1,1,3,1136189.9565054
1,0,1,1136193.5644157
1,0,1,1136197.1647612
0,0,4,1136200.7164113
1,1,3,1136204.412547
1,1,2,1136207.9644546
0,0,4,1136211.5569206
1,1,3,1136215.2118074
1,1,2,1136218.8207981
1,1,3,1136222.3487033
1,1,2,1136226.0128495
1,1,3,1136229.8997822
0,0,4,1136233.5164348
1,1,2,1136237.0203466
0,0,4,1136240.5662932
1,0,1,1136244.196503
1,0,1,1136247.7975241
1,1,2,1136251.2687531
0,0,4,1136254.7644201
1,1,3,1136258.3811356
1,0,1,1136261.8518834
1,1,2,1136265.4288989
0,0,4,1136268.859915
1,1,3,1136272.4602159
1,0,1,1136275.9401341
