screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,NaN,1,6481.4585811
1,1,3,6487.2182689
1,1,2,6490.881728
0,0,4,6494.641939
0,0,4,6499.1963586
1,1,3,6502.9532531
1,1,2,6506.4911322
1,0,1,6510.0169648
1,1,3,6513.7300626
1,1,2,6517.3778941
1,0,1,6520.9774525
1,1,1,6524.4335585
1,1,2,6528.0970507
0,0,4,6531.6249946
1,1,3,6535.120888
0,0,4,6538.6097831
1,0,1,6542.192118
0,0,4,6545.6569335
1,0,1,6549.114033
1,1,3,6552.5528105
1,1,3,6556.113137
1,1,2,6559.6655008
1,1,2,6563.2409749
0,0,4,6566.7839875
1,0,1,6570.2806149
0,0,4,6573.824794
1,1,2,6577.3047955
1,0,1,6580.9365866
0,0,4,6584.504846
1,1,2,6587.8968988
1,1,3,6591.5206024
1,1,3,6595.0334242
1,1,2,6598.4729791
0,0,4,6601.9840882
1,1,2,6605.4329539
1,1,3,6608.9284537
1,0,1,6612.4170488
0,0,4,6615.8329563
1,0,1,6619.3842403
1,1,3,6622.904841
0,0,4,6632.7820548
1,1,2,6636.4400466
0,0,4,6640.0574642
1,0,1,6643.7044562
1,1,3,6647.2801286
1,0,1,6651.0164114
1,1,3,6654.6330787
1,1,2,6658.2727936
0,0,4,6661.7851811
1,1,3,6665.2645058
1,0,1,6668.8798977
1,0,1,6672.336733
0,0,4,6675.8968108
1,1,3,6679.392542
1,1,2,6682.9046945
1,1,2,6686.5047534
1,1,2,6689.9606325
1,0,1,6693.5200782
0,0,4,6697.1528859
1,1,3,6700.7045842
0,0,4,6704.6402747
1,1,3,6708.0965884
1,0,1,6711.6401864
1,1,2,6715.2408351
1,1,3,6718.7929172
1,1,3,6722.3445685
0,0,4,6725.8971577
1,0,1,6729.441015
1,1,2,6733.0882461
0,0,4,6736.545304
1,1,2,6740.0493809
1,0,1,6743.583923
1,0,1,6747.1922276
1,1,3,6750.7283374
1,1,3,6754.2639482
1,1,2,6757.5933493
1,1,2,6760.9840405
0,0,4,6764.240385
0,0,4,6767.8165786
1,0,1,6771.3117482
1,1,2,6781.0837852
1,0,1,6784.6796637
1,1,3,6788.1840797
1,1,2,6791.8890774
1,1,3,6795.5203769
1,0,1,6799.0490741
0,0,4,6802.5447268
0,0,4,6806.0252777
0,0,4,6809.561265
1,1,2,6813.0085201
0,0,4,6816.5612597
1,0,1,6820.1290153
1,0,1,6823.6812818
1,1,3,6827.2812951
1,1,2,6830.9119174
1,1,3,6834.3611292
0,0,4,6837.8333106
1,0,1,6841.4081843
1,1,3,6844.9372369
1,1,3,6848.4008287
1,0,1,6851.8403909
1,1,2,6855.3995656
0,0,4,6858.8400787
1,1,2,6862.37718
1,0,1,6865.7841145
1,1,3,6869.3210308
1,0,1,6872.8252799
0,0,4,6876.2483225
0,0,4,6879.881063
1,1,2,6883.3043531
1,1,3,6886.9117354
1,1,2,6890.4564874
1,0,1,6893.8649737
1,1,2,6897.2479346
1,1,3,6900.7282543
0,0,4,6904.199959
1,0,1,6907.7363076
1,1,2,6911.415412
0,0,4,6914.9369549
1,1,3,6918.4884432
