recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.492393900000025,unrelated,Erinnern,4,2,19704.6683632,20780.9748859
NaN,NaN,unrelated,Vergessen,3,3,19715.5065124,20919.9103103
0,2.10277049999786,unrelated,Wissen,2,2,19725.485557,20754.0696629
1,0.511312899998302,unrelated,Erinnern,1,3,19735.7851908,20954.7525556
1,0.70006260000082,unrelated,Erinnern,4,4,19746.6526036,20637.4644816
1,1.57347730000038,unrelated,Wissen,4,1,19757.0064922,20709.8583614
1,0.647096400000009,unrelated,Erinnern,2,3,19767.2239108,20989.3696836
NaN,NaN,unrelated,Vergessen,3,3,19777.7295692,20552.1646941
1,0.856524499999068,unrelated,Wissen,3,1,19789.0596208,20603.2212909
0,1.34274799999912,unrelated,Wissen,3,4,19799.9329759,20534.6259513
1,0.880125600000611,unrelated,Erinnern,2,2,19809.711029,20490.2493803
1,0.806417499999952,unrelated,Erinnern,3,1,19819.3614877,20701.9723572
1,1.24855640000169,unrelated,Vergessen,1,4,19829.2175098,20543.5928983
0,1.20095720000245,unrelated,Erinnern,1,4,19839.1093702,20561.8296369
0,2.40691940000033,unrelated,Wissen,4,4,19850.1620973,20516.6992657
1,0.648569900000439,unrelated,Erinnern,2,1,19860.6328168,20860.4493172
1,0.604825000002165,unrelated,Wissen,3,2,19871.3374315,20820.717257
1,2.16771359999984,unrelated,Wissen,3,1,19880.9262967,20644.740258
1,1.26451710000038,unrelated,Erinnern,4,2,19891.1136217,20961.8557991
0,2.53539799999999,unrelated,Wissen,2,2,19901.4182254,20673.8592781
1,0.487693499999295,unrelated,Wissen,3,2,19911.0024206,20763.4951064
NaN,NaN,unrelated,Vergessen,1,3,19920.8997522,20718.6098297
1,1.44477520000146,unrelated,Erinnern,2,4,19931.5572816,20498.1573779
1,0.827540600002976,unrelated,Erinnern,4,3,19942.2711087,20578.2721766
0,1.34465199999977,unrelated,Wissen,1,1,19952.977364,20728.6000298
0,0.306210999999166,unrelated,Vergessen,3,3,19962.762362,20970.963396
1,1.45582899999863,unrelated,Wissen,4,1,19972.8275083,20903.9016315
1,0.919939600000362,unrelated,Wissen,3,3,19982.6023845,20896.3545468
0,2.4794157000033,unrelated,Vergessen,3,1,19992.4519041,20654.0300472
1,0.535311600000568,unrelated,Erinnern,2,1,20002.5247425,20736.9709082
NaN,NaN,unrelated,Vergessen,4,3,20013.726875,20593.5066958
1,0.974210200001835,unrelated,Erinnern,2,3,20023.7617968,20570.3064025
1,0.681912399999419,unrelated,Erinnern,3,4,20033.4854395,20629.2697322
0,0.386939900003199,unrelated,Wissen,3,2,20043.3829425,20828.2014179
NaN,NaN,unrelated,Vergessen,2,3,20053.0150286,20506.6382049
1,0.762555900000734,unrelated,Erinnern,1,3,20062.5646328,20805.5856665
NaN,NaN,unrelated,Vergessen,2,1,20073.3605342,20868.097253
NaN,NaN,unrelated,Vergessen,1,2,20082.8593703,20744.3692289
1,0.979971700002352,unrelated,Erinnern,2,4,20093.5005898,20852.4327259
NaN,NaN,unrelated,Vergessen,1,3,20103.2599048,20843.1625954
1,1.6399949000006,unrelated,Erinnern,1,1,20113.8194798,20463.738013
1,0.554829200002132,unrelated,Erinnern,4,4,20124.7046258,20813.4530153
0,1.7802483000014,unrelated,Erinnern,3,2,20135.121902,20480.9998177
1,2.24382180000248,unrelated,Wissen,3,4,20145.0705724,20664.4182057
1,0.737773200002266,unrelated,Erinnern,4,1,20155.1142702,20683.4462777
1,1.22383189999891,unrelated,Erinnern,4,1,20165.6019196,20472.5913792
1,0.480624600000738,unrelated,Wissen,4,4,20175.7906982,20878.3486671
1,1.5851393999983,unrelated,Wissen,1,2,20185.552691,20886.8507407
NaN,NaN,unrelated,Vergessen,1,4,20195.5031777,20980.0843903
NaN,NaN,unrelated,Vergessen,1,4,20206.093262,20691.0324817
1,1.09449570000288,unrelated,Wissen,1,2,20217.1218774,20797.2324874
NaN,NaN,unrelated,Vergessen,1,1,20227.0404796,20945.1430274
1,2.27028489999793,unrelated,Vergessen,2,3,20238.321444,20771.3818094
1,1.07042379999984,unrelated,Erinnern,2,2,20249.041429,20526.4140449
1,2.00303279999935,unrelated,Erinnern,4,3,20259.3909823,20453.3861807
1,1.9152952000004,unrelated,Wissen,4,3,20269.9837399,20929.0272417
1,2.00248140000258,unrelated,Wissen,2,4,20280.2194012,20611.124249
1,0.431334999997489,unrelated,Erinnern,4,2,20289.9480606,20938.0638264
1,0.858155899997655,unrelated,Erinnern,2,1,20299.8057339,20585.7908784
1,0.908789900000556,unrelated,Erinnern,3,4,20310.2863388,20788.3272542
1,1.92487630000323,unrelated,Erinnern,4,2,20319.8746067,20443.5455461
1,0.527716199998395,unrelated,Erinnern,1,1,20330.3648969,20835.8874789
1,0.856930699999793,related,Erinnern,1,2,20340.4663685,20620.1544793
1,0.266880300001503,unrelated,Erinnern,2,4,20350.3350945,20912.9870261
1,1.18979749999926,unrelated,Wissen,2,4,21007.7902052,22270.6269096
1,0.582656999999017,unrelated,Wissen,1,4,21019.3901525,21969.5119673
1,1.15651660000003,unrelated,Wissen,3,1,21029.6636746,21857.541884
1,0.457474700000603,unrelated,Erinnern,4,1,21040.3101962,22034.5944185
1,0.576057500002207,unrelated,Wissen,1,4,21050.77033,22019.9636182
1,0.338078699998732,unrelated,Erinnern,3,1,21061.7574215,22207.4449662
NaN,NaN,unrelated,Vergessen,3,3,21072.6618385,22042.1181754
1,0.50236600000062,unrelated,Erinnern,2,3,21083.7378453,22161.3264817
1,0.418010999997932,unrelated,Erinnern,2,1,21094.4147888,22060.5879155
NaN,NaN,unrelated,Vergessen,3,4,21104.9806326,21771.2578712
0,0.830563999999868,unrelated,Wissen,3,1,21115.9041136,22168.5877135
NaN,NaN,unrelated,Vergessen,4,2,21126.4832165,22090.7838033
1,0.37285989999873,unrelated,Erinnern,4,2,21137.2838858,21983.7079298
0,2.05639249999876,unrelated,Wissen,4,1,21147.3969323,22176.0928915
1,0.631315499998891,unrelated,Erinnern,1,2,21157.9621878,21944.7963885
1,1.00341230000049,unrelated,Wissen,3,4,21168.1524149,21849.5881788
1,0.559966400000121,unrelated,Erinnern,1,3,21178.0414152,21952.2254942
1,0.400161699999444,unrelated,Erinnern,2,4,21187.758389,22256.4978029
1,0.650773299999855,unrelated,Erinnern,4,2,21197.577591,21833.9984121
1,0.465873099998134,unrelated,Erinnern,2,3,21208.2776629,22184.9870978
0,2.4113752000012,unrelated,Vergessen,4,4,21218.2196355,22215.0471968
0,1.34572800000024,unrelated,Vergessen,2,3,21228.6724573,22233.1493043
1,0.404992100000527,unrelated,Erinnern,1,2,21238.6843387,22263.5383792
NaN,NaN,unrelated,Vergessen,2,2,21249.4083832,22145.3573171
1,0.472007699998358,unrelated,Erinnern,3,1,21259.9353399,22138.1606626
1,0.379655699998693,unrelated,Erinnern,2,2,21269.4794979,22012.9361903
1,1.72619220000342,unrelated,Wissen,4,3,21280.2774578,21884.5088341
1,0.382008900000073,unrelated,Erinnern,1,3,21290.7891377,21976.7144092
1,1.44354200000089,unrelated,Erinnern,2,1,21301.308232,21791.197512
0,2.24034149999716,unrelated,Vergessen,2,4,21312.0104075,21874.3060866
1,0.932618000002549,unrelated,Erinnern,4,4,21322.6718796,22004.9506429
1,0.356900800001313,unrelated,Erinnern,1,1,21332.7892415,22109.2296606
NaN,NaN,unrelated,Vergessen,4,4,21342.471513,22051.5247979
NaN,NaN,unrelated,Vergessen,3,2,21352.9607918,22224.0640207
NaN,NaN,unrelated,Vergessen,2,2,21363.5767753,21935.6382032
1,0.977398099999846,unrelated,Erinnern,2,1,21374.551102,21900.5366118
NaN,NaN,unrelated,Vergessen,1,2,21384.5336341,21908.2071992
1,0.386849399998027,unrelated,Erinnern,1,1,21395.0852281,22249.292887
1,0.459384200003115,unrelated,Wissen,3,3,21405.669169,22123.310274
1,1.15045489999829,unrelated,Erinnern,1,3,21415.6451247,21782.256187
1,0.990211699998326,unrelated,Erinnern,2,2,21426.2130181,22241.0965675
NaN,NaN,unrelated,Vergessen,4,2,21437.0914778,22100.0790211
1,0.596553399998811,unrelated,Erinnern,1,1,21448.351155,22027.3500151
1,0.756803000000218,unrelated,Erinnern,3,2,21458.5179124,21841.7137317
1,0.433983399998397,unrelated,Erinnern,4,3,21468.7604752,21997.7139848
1,0.738822200000868,unrelated,Erinnern,3,4,21480.085812,21809.2445936
1,0.943572399999539,unrelated,Erinnern,2,1,21490.8624729,21763.1197516
1,1.30812560000049,unrelated,Wissen,3,4,21500.7268825,22082.4123206
1,0.764595900000131,unrelated,Erinnern,3,3,21510.7530405,21866.4090009
NaN,NaN,unrelated,Vergessen,1,1,21521.6237927,21799.631571
1,1.01030030000038,unrelated,Erinnern,4,3,21532.2082567,22130.5092614
1,0.397005000002537,related,Erinnern,1,2,21542.8168853,22200.364277
0,1.65415009999924,unrelated,Wissen,4,1,21552.4771416,21927.2988902
1,0.624653700000636,unrelated,Erinnern,1,4,21562.8460396,22075.1658269
1,0.739642600001389,unrelated,Erinnern,2,4,21573.516451,22067.6188763
1,0.372010299997783,unrelated,Erinnern,4,3,21584.1884466,22154.4431848
1,1.95142409999971,unrelated,Wissen,3,2,21593.9261741,22191.9443417
0,0.546398700000282,unrelated,Erinnern,1,3,21604.8006416,21919.7150485
NaN,NaN,unrelated,Vergessen,2,3,21615.2934924,21959.8887088
NaN,NaN,unrelated,Vergessen,3,2,21625.2341537,21824.925978
1,0.749757900000986,unrelated,Wissen,3,3,21636.1006491,21816.9627494
1,0.686777499999152,unrelated,Erinnern,4,1,21646.7637385,21892.9962101
1,0.398026799997751,unrelated,Erinnern,4,4,21656.6559222,22116.1285485
1,0.513525500002288,unrelated,Erinnern,1,4,21667.161438,21990.7169421
1,0.374610499999108,unrelated,Erinnern,2,3,22313.36112,23532.564602
1,0.602390200001537,unrelated,Erinnern,2,2,22324.9993517,23269.0425218
1,0.42538969999805,unrelated,Erinnern,3,1,22335.5807662,23131.0911883
NaN,NaN,unrelated,Vergessen,2,4,22346.2142866,23074.0310343
1,0.318710899999132,unrelated,Erinnern,1,3,22356.5800707,23489.0550792
1,0.438014300001669,unrelated,Erinnern,4,2,22366.3972971,23377.3852505
1,0.41185570000016,unrelated,Erinnern,1,4,22377.367842,23246.6004238
1,0.712068799999543,unrelated,Erinnern,4,1,22388.5808267,23329.0405912
NaN,NaN,unrelated,Vergessen,1,2,22398.787089,23064.82853
1,0.460745399999723,unrelated,Erinnern,1,3,22409.2815379,23261.9466713
1,0.443549899999198,unrelated,Erinnern,1,4,22419.8942563,23239.5883676
1,0.367063199999393,unrelated,Erinnern,4,3,22429.8797212,23298.7889259
1,0.246807799998351,unrelated,Erinnern,4,3,22440.2900875,23356.9898037
1,1.28562919999968,unrelated,Wissen,4,3,22450.5508964,23090.7630486
NaN,NaN,unrelated,Vergessen,3,1,22460.5677186,23391.3829777
1,0.432185800000298,unrelated,Erinnern,1,2,22470.3660317,23416.5764244
1,0.383558800000174,unrelated,Erinnern,2,1,22480.319423,23517.7327651
1,0.2635592000006,unrelated,Erinnern,4,1,22489.9666414,23442.1520008
1,2.0999688999982,unrelated,Wissen,1,4,22500.5797206,23145.3346119
NaN,NaN,unrelated,Vergessen,2,2,22510.5572031,23423.8601324
1,1.34613100000206,unrelated,Erinnern,2,1,22521.2925727,23193.7309295
1,1.23173300000053,unrelated,Wissen,3,3,22531.3674955,23106.6863537
1,0.899651899999299,unrelated,Erinnern,1,4,22541.7620632,23472.9835531
NaN,NaN,unrelated,Vergessen,3,2,22551.5595419,23305.8939207
1,0.703400200000033,unrelated,Erinnern,3,3,22561.9350349,23083.134167
1,0.536493700001301,unrelated,Erinnern,1,1,22572.3113132,23349.9711669
NaN,NaN,,Vergessen,1,1,22582.7604778,23400.8585938
1,0.680077199998777,unrelated,Erinnern,1,1,22594.6393273,23178.9091312
NaN,NaN,unrelated,Vergessen,2,4,22604.6914757,23154.7046335
NaN,NaN,unrelated,Vergessen,2,4,22614.7989915,23539.5349999
1,0.383397500001593,unrelated,Erinnern,2,1,22624.7409227,23363.7174037
1,0.175266099999135,unrelated,Erinnern,2,1,22635.1080321,23315.6363245
1,0.352286899997125,unrelated,Erinnern,2,3,22644.9389969,23370.5528266
1,0.941131999999925,unrelated,Erinnern,2,2,22654.7934065,23098.7241349
1,0.351382099997863,unrelated,Erinnern,3,2,22664.8610199,23218.3006487
1,0.650609899999836,unrelated,Erinnern,1,3,22674.5486437,23163.7615779
1,0.467937800000072,unrelated,Erinnern,4,1,22684.1454396,23276.7689445
1,0.231861699998262,unrelated,Erinnern,3,1,22693.820458,23409.9334491
1,1.68311520000134,unrelated,Wissen,3,3,22704.6398621,23480.5718484
1,0.389308699999674,unrelated,Erinnern,2,3,22714.3588706,23384.3258581
1,1.27433999999994,unrelated,Erinnern,3,4,22724.2383437,23524.6084531
0,1.7684577,unrelated,Wissen,4,4,22734.0971995,23433.0492018
1,0.282344999999623,unrelated,Erinnern,3,4,22743.6838621,23343.1969147
0,2.77191269999821,unrelated,Wissen,2,3,22753.2662886,23208.6043378
1,1.07471000000078,unrelated,Erinnern,4,2,22763.0504525,23232.0278899
1,0.502144199999748,unrelated,Erinnern,4,4,22772.6603094,23291.5659999
1,0.240932500000781,unrelated,Erinnern,3,2,22782.8038429,23225.3827745
1,0.287679900000512,unrelated,Erinnern,4,1,22792.7362878,23201.8113488
NaN,NaN,unrelated,Vergessen,1,1,22802.8980915,23463.9953384
1,0.580024099999719,unrelated,Erinnern,4,4,22813.8696544,23138.0965225
0,0.371621599999344,unrelated,Wissen,3,4,22824.5799056,23510.4204918
1,0.546538800001144,unrelated,Erinnern,2,4,22834.2020174,23448.8811818
1,0.281430300001375,unrelated,Erinnern,3,2,22843.8712549,23336.3328679
1,0.434280599998601,unrelated,Erinnern,4,3,22853.6669929,23503.5654578
1,0.458490299999539,unrelated,Erinnern,1,2,22863.7593115,23284.609085
1,1.15359380000154,unrelated,Wissen,2,2,22873.3044383,23495.9238134
1,1.32888390000153,unrelated,Erinnern,1,2,22882.7563376,23122.3573517
1,0.63706860000093,unrelated,Erinnern,4,4,22892.2137528,23171.2064739
1,0.511014200001227,unrelated,Erinnern,3,3,22901.9027187,23115.2145329
1,0.318919099998311,unrelated,Erinnern,3,4,22911.9386152,23322.317029
0,0.704569599998649,unrelated,Wissen,4,2,22921.5360839,23456.0575812
1,0.856834700000036,unrelated,Erinnern,4,2,22931.0787763,23186.3119633
1,1.89730919999784,unrelated,Wissen,1,3,22940.456521,23056.1354413
0,1.5944187999994,unrelated,Wissen,3,1,22950.3368961,23253.4912386
