screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,1,171138.8218729
1,1,3,171143.2510927
1,1,2,171146.9459814
0,0,4,171151.4031142
0,0,4,171155.2935234
1,1,3,171158.9163734
1,1,2,171162.4583916
1,1,1,171166.1456994
1,1,3,171169.8740976
1,1,2,171173.5304542
1,0,1,171177.2175722
1,0,1,171180.8806974
1,1,2,171184.729995
0,0,4,171188.330226
1,1,3,171192.0493932
0,0,4,171195.5215673
1,1,1,171199.1375071
0,0,4,171202.6661744
1,1,1,171206.1373711
1,1,3,171209.721722
1,1,3,171213.1854967
1,1,2,171216.6725138
1,1,2,171220.2255183
0,0,4,171223.6967494
1,0,1,171227.209318
0,0,4,171230.8821136
1,1,2,171234.3847148
1,0,1,171238.0330702
0,0,4,171241.673627
1,1,2,171245.1859694
1,1,3,171248.728541
1,1,3,171252.1844552
1,1,2,171255.6091798
0,0,4,171259.0093326
1,1,2,171262.2421084
1,1,3,171265.6986314
1,0,1,171269.1451439
0,0,4,171272.5771681
1,0,1,171276.1844505
1,1,3,171279.7539381
0,0,4,171289.9908696
1,1,2,171293.4578993
0,0,4,171296.9928975
1,1,1,171300.7538174
1,1,3,171304.3053218
1,0,1,171307.8898357
1,1,3,171311.5297524
1,1,2,171315.3366581
0,0,4,171318.7523306
1,1,3,171322.4649015
1,1,1,171326.9606785
1,1,1,171330.8499704
0,0,4,171334.4497307
1,1,3,171337.9379622
1,1,2,171341.409715
1,1,2,171344.9851797
1,1,2,171348.4261051
1,1,1,171351.9366672
0,0,4,171356.1289619
1,1,3,171359.6811302
0,0,4,171363.2569718
1,1,3,171367.2727099
1,1,1,171370.8005166
1,1,2,171374.2649292
1,1,3,171377.6572709
1,1,3,171381.1127083
0,0,4,171384.5930514
1,1,1,171388.1211815
1,1,2,171391.5442141
0,0,4,171394.8967923
1,1,2,171398.393632
1,1,1,171401.8733853
1,1,1,171406.240708
1,1,3,171410.1525434
1,1,3,171413.6648218
1,1,2,171417.5685954
1,1,2,171420.7788653
0,0,4,171424.1525012
0,0,4,171427.7767729
1,1,1,171431.2488104
1,1,2,171440.4921763
1,0,1,171444.0169754
1,1,3,171448.0649331
1,1,2,171451.5687038
1,1,3,171455.0492077
1,0,1,171458.4888673
0,0,4,171462.1137057
0,0,4,171465.5776282
0,0,4,171469.0734851
1,1,2,171472.5689876
0,0,4,171476.120982
1,1,1,171479.6736398
1,1,1,171483.3117658
1,1,3,171487.0003339
1,1,2,171490.4889574
1,1,3,171493.8245125
0,1,4,171497.2402807
1,1,1,171500.7366806
1,1,3,171504.1048945
1,1,3,171507.4887955
1,1,1,171510.8402543
1,1,2,171515.0643073
0,0,4,171518.3763556
1,1,2,171521.8884446
1,0,1,171525.3125538
1,1,3,171529.1284605
1,1,1,171532.5758252
0,0,4,171535.8957686
0,0,4,171539.2974598
1,1,2,171542.728842
1,1,3,171546.2163454
1,1,2,171549.7523916
1,1,1,171553.0885964
1,1,2,171556.3760143
1,1,3,171559.7449615
0,0,4,171563.0967511
1,1,1,171566.6327543
1,1,2,171570.1526056
0,0,4,171573.7211414
1,1,3,171577.2408822
