screenActuallyFlickers,ppThinksItFlickers,enc_onset
1,NaN,13466.4042623
1,0,13472.0896144
0,0,13475.7953906
1,1,13479.5144593
1,1,13483.2674685
1,0,13486.9468858
0,0,13490.5711416
1,0,13494.2109911
1,1,13497.9864348
1,1,13501.5297785
0,0,13505.2515758
1,0,13508.9467319
1,1,13512.5632927
1,1,13516.179327
1,0,13519.7304849
0,0,13523.3143455
0,0,13526.9872163
1,1,13530.6916426
0,0,13534.2191627
1,0,13537.8103643
1,1,13541.8593128
1,0,13545.4192592
1,1,13549.097824
1,1,13553.4432432
1,1,13557.0748588
0,0,13560.682817
1,1,13564.2983211
1,1,13567.7393084
1,0,13571.4512257
1,1,13574.9704387
0,0,13578.6743773
1,0,13582.1783806
1,0,13585.7790274
0,0,13589.338188
0,0,13593.0903008
1,1,13596.8186573
1,1,13600.442919
1,1,13603.8914678
1,0,13607.4826902
1,1,13611.5550478
0,0,13622.5957063
1,1,13626.2029382
1,1,13629.9860939
1,0,13633.7869149
1,0,13637.3863159
1,1,13641.0340411
1,1,13644.5696027
0,0,13648.0749875
1,1,13651.6661156
1,1,13655.1063918
0,0,13658.594832
0,0,13662.266163
1,1,13665.9621173
1,1,13669.6910111
1,0,13673.434989
1,0,13676.9781714
0,0,13680.6738834
1,0,13684.4975986
1,1,13688.1464039
1,1,13691.8821966
1,0,13695.6741669
1,1,13699.8502309
0,0,13703.6029308
1,1,13707.4749471
0,0,13711.7533729
1,1,13715.4107447
1,1,13718.9384895
1,0,13722.506217
1,1,13726.057651
1,0,13729.85869
0,0,13733.3386213
1,1,13737.0584908
1,1,13740.6660572
1,0,13744.4338438
1,0,13748.2827616
1,1,13751.7859036
0,0,13755.3548442
1,1,13759.0899185
1,1,13762.7141906
0,0,13766.2664889
0,0,13777.3556381
1,1,13780.9697026
0,0,13784.7384425
1,1,13790.761683
1,1,13794.2818952
1,0,13797.7617183
1,1,13801.3213989
1,0,13805.0345196
0,0,13808.5690641
0,0,13812.2026069
1,1,13815.8089604
1,1,13819.209663
1,1,13822.7219631
1,0,13826.3293162
1,1,13829.9785067
1,0,13833.5388841
1,0,13837.6665055
0,0,13841.3140102
1,1,13844.6658516
1,1,13848.4426926
1,0,13852.2020375
1,1,13856.0089115
0,0,13859.9459854
1,1,13863.4734682
1,1,13867.2974736
1,1,13870.8414953
1,1,13874.5688612
1,0,13878.1785047
0,0,13881.6586178
0,0,13885.226601
1,1,13888.690688
1,0,13892.7467012
0,0,13896.7138544
0,0,13900.1936578
1,0,13903.8656859
1,1,13907.410411
1,1,13910.9211552
1,0,13914.8103873
1,1,13918.4184711
1,1,13921.9057394
