recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,1.01924870000221,unrelated,Erinnern,4,2,95765.9234152,96771.6692161
1,0.287596299996949,unrelated,Erinnern,3,3,95776.3633605,96891.8315489
0,1.41612979999627,unrelated,Vergessen,2,2,95786.4667151,96748.8564595
1,0.254366699999082,related,Erinnern,1,3,95796.5979721,96919.8467901
1,0.550252200002433,unrelated,Wissen,4,4,95806.6380327,96653.0461062
1,0.444251599998097,unrelated,Erinnern,4,1,95816.4043752,96711.4037361
1,0.274725199997192,unrelated,Erinnern,2,3,95826.4209587,96946.793187
1,0.535366099997191,unrelated,Erinnern,3,3,95836.9219076,96578.7412827
1,0.468396200012648,unrelated,Wissen,3,1,95846.4958808,96622.4586448
1,0.469786000001477,unrelated,Wissen,3,4,95856.545112,96559.9529269
1,1.16269889999239,unrelated,Erinnern,2,2,95867.1293128,96521.6679927
0,0.496529299998656,related,Vergessen,3,1,95876.5441054,96703.8125802
NaN,NaN,unrelated,Vergessen,1,4,95887.2720676,96567.1989507
0,0.578303499991307,unrelated,Vergessen,1,4,95897.8033388,96586.0368198
1,0.82781740000064,unrelated,Erinnern,4,4,95908.4065954,96544.2142583
1,0.332255300003453,unrelated,Erinnern,2,1,95918.8829772,96842.4863821
1,0.354269599993131,unrelated,Wissen,3,2,95928.9568256,96807.8418327
1,0.86749069999496,unrelated,Vergessen,3,1,95939.1370628,96660.213954
1,0.197453999993741,unrelated,Erinnern,4,2,95948.8454287,96926.5043826
0,0.451667499990435,unrelated,Erinnern,2,2,95958.7946126,96682.097768
1,0.560521999999764,unrelated,Erinnern,3,2,95968.8123757,96757.2505075
0,1.39102260000072,unrelated,Wissen,1,3,95978.6465405,96718.5400184
1,0.568335299991304,unrelated,Erinnern,2,4,95988.8585757,96530.1891744
1,0.311754099995596,unrelated,Erinnern,4,3,95999.2560946,96600.6893261
1,0.908420100007788,unrelated,Erinnern,1,1,96009.8702991,96727.0509174
1,0.323423100009677,unrelated,Erinnern,3,3,96020.0834268,96933.1743736
0,0.31906570000865,unrelated,Vergessen,4,1,96030.2093712,96877.8518541
1,0.325038500013761,unrelated,Erinnern,3,3,96040.4183057,96871.0129624
1,0.320999000003212,unrelated,Wissen,3,1,96050.4792566,96668.4094333
1,0.389795299997786,unrelated,Erinnern,2,1,96060.132619,96734.6826662
1,0.362648700000136,unrelated,Erinnern,4,3,96070.2285698,96615.4479424
1,0.311326700000791,unrelated,Erinnern,2,3,96080.2191671,96593.915886
1,0.506325900001684,unrelated,Erinnern,3,4,96090.4017066,96645.6723799
1,0.243372900004033,unrelated,Erinnern,3,2,96100.3985339,96815.1447592
1,0.292690999995102,unrelated,Wissen,2,3,96109.9667652,96537.2508642
1,0.304618999987724,unrelated,Erinnern,1,3,96120.921072,96793.9130902
0,0.308459899999434,unrelated,Wissen,2,1,96132.4512558,96849.3246896
1,0.284037199991872,unrelated,Erinnern,1,2,96143.2401323,96741.8337169
1,0.237354500000947,related,Erinnern,2,4,96153.5688344,96835.8112872
1,0.258932999990066,unrelated,Erinnern,1,3,96163.2353899,96828.7108228
1,0.842984700007946,unrelated,Erinnern,1,1,96173.8286777,96497.1691459
1,0.303840099993977,unrelated,Erinnern,4,4,96183.6470058,96800.7245476
0,1.40386019999278,unrelated,Wissen,3,2,96194.916955,96513.1550154
1,0.273716800002148,unrelated,Erinnern,3,4,96204.7201943,96675.3080637
1,0.417338300001575,unrelated,Erinnern,4,1,96214.8298592,96689.2182741
1,1.0500647000008,unrelated,Erinnern,4,1,96224.2660239,96505.0214394
0,0.394055099997786,unrelated,Wissen,4,4,96234.4156093,96856.1705042
0,1.08352649999142,unrelated,Vergessen,1,2,96244.4844259,96863.2699055
1,0.255501799998456,unrelated,Erinnern,1,4,96254.3260976,96939.9951174
0,0.362168499996187,unrelated,Erinnern,1,4,96265.5690542,96696.8751272
1,0.73134110000683,unrelated,Wissen,1,2,96275.9878587,96786.5405266
1,0.282112100001541,related,Erinnern,1,1,96287.0130142,96913.1804908
1,0.383518300004653,unrelated,Wissen,2,3,96296.5947213,96764.5938329
1,0.388726999997743,unrelated,Erinnern,2,2,96306.354944,96552.5229957
1,1.16262430000643,unrelated,Erinnern,4,3,96315.6902864,96488.7291096
1,0.330163500009803,unrelated,Erinnern,4,3,96326.4909882,96898.9671573
1,0.327543899999,related,Erinnern,2,4,96337.8060987,96629.5522116
1,0.310595200004173,unrelated,Erinnern,4,2,96347.4321487,96906.2011859
1,0.47542090000934,unrelated,Erinnern,2,1,96357.3560143,96607.7793323
1,0.558705200004624,unrelated,Erinnern,3,4,96368.0044023,96779.3169066
1,1.19677159999264,unrelated,Erinnern,4,2,96377.7998485,96479.8819082
1,0.359273699999903,unrelated,Erinnern,1,1,96387.3073538,96821.8338777
0,1.20770040000207,related,Vergessen,1,2,96397.7294313,96637.6760273
1,0.278890799992951,unrelated,Erinnern,2,4,96407.9233819,96884.6678072
1,0.220692899994901,unrelated,Erinnern,2,4,96969.0481344,98099.008329
1,0.315691899988451,unrelated,Wissen,1,4,96980.9972511,97829.2084435
1,0.268283400000655,unrelated,Erinnern,3,1,96990.6477256,97737.9027414
1,0.581526299996767,unrelated,Erinnern,4,1,97000.282971,97890.4357643
0,0.280772799989791,unrelated,Wissen,1,4,97010.2648204,97876.5088063
1,0.293279599995003,unrelated,Erinnern,3,1,97019.8605365,98043.2568688
0,0.324001000000862,unrelated,Wissen,3,3,97029.1813494,97897.4262316
1,0.35961369999859,related,Erinnern,2,3,97039.3994024,98000.9244
1,0.231330900001922,unrelated,Erinnern,2,1,97049.4510561,97910.7082272
1,0.517496600004961,unrelated,Erinnern,3,4,97059.6478155,97670.1077836
1,0.668611900007818,unrelated,Erinnern,3,1,97069.9247103,98007.7138431
1,0.889231200009817,unrelated,Wissen,4,2,97080.3096872,97937.1041031
1,0.203773600005661,unrelated,Erinnern,4,2,97089.9912293,97842.8168338
1,0.347767999992357,unrelated,Erinnern,4,1,97099.7477164,98015.2998387
1,0.185739200009266,unrelated,Erinnern,1,2,97109.7969381,97808.8081489
1,0.295601099991472,unrelated,Erinnern,3,4,97119.3343204,97731.1966828
1,0.235100900012185,unrelated,Erinnern,1,3,97129.1888744,97815.665837
0,0.340113300000667,unrelated,Vergessen,2,4,97139.8748373,98085.5643898
0,0.384802199987462,unrelated,Wissen,4,2,97149.9459922,97717.8752212
1,0.26679699998931,unrelated,Erinnern,2,3,97160.141575,98022.3346478
0,1.7197271999903,unrelated,Vergessen,4,4,97170.0103429,98050.0827434
1,0.200998300002539,unrelated,Erinnern,2,3,97179.9389838,98065.2880315
1,0.183622099997592,unrelated,Erinnern,1,2,97190.2356969,98092.3115544
1,0.564905399995041,unrelated,Erinnern,2,2,97199.9044656,97985.8084962
0,0.383992899995064,unrelated,Wissen,3,1,97209.7841451,97979.0760828
1,0.163134699992952,related,Erinnern,2,2,97219.4116005,97869.9139212
0,0.637360399996396,unrelated,Erinnern,4,3,97228.9931816,97759.4584266
1,0.158796400006395,unrelated,Erinnern,1,3,97239.1425423,97836.2583187
1,0.326186899997992,unrelated,Erinnern,2,1,97248.8530931,97684.0265766
0,1.07888990000356,unrelated,Wissen,2,4,97258.5314259,97751.2653675
1,0.241750699991826,unrelated,Erinnern,4,4,97268.1711661,97863.218207
1,0.453998000011779,related,Erinnern,1,1,97277.8517895,97951.8268226
1,0.327902899996843,unrelated,Erinnern,4,4,97287.200872,97904.1161023
1,0.240104099997552,unrelated,Wissen,3,2,97296.7640903,98058.2955551
1,0.343985300001805,unrelated,Erinnern,2,2,97306.1227928,97802.0545284
1,0.31848319999699,unrelated,Erinnern,2,1,97315.6375829,97773.1847665
1,0.412844400008908,unrelated,Erinnern,1,2,97326.1668422,97779.7473873
1,0.424473799997941,related,Erinnern,1,1,97335.5124317,98078.6245006
1,0.146749799998361,unrelated,Erinnern,3,3,97345.9394008,97965.245077
1,0.405000099999597,unrelated,Erinnern,1,3,97355.5601905,97677.1194693
1,0.214202599992859,unrelated,Erinnern,2,2,97365.0779763,98072.055087
1,0.844868899992434,unrelated,Erinnern,4,2,97375.0663088,97944.398097
1,0.263870599999791,unrelated,Erinnern,1,1,97385.8183506,97883.7880559
1,0.261513999997987,related,Erinnern,3,2,97395.3502254,97724.4925937
1,0.231387599997106,unrelated,Erinnern,4,3,97405.102549,97856.5699829
1,0.237915799996699,unrelated,Erinnern,3,4,97415.3738815,97697.6531158
1,0.296964000008302,related,Erinnern,2,1,97425.5015168,97663.2786444
0,0.578243900003145,unrelated,Wissen,3,4,97435.186482,97930.1233364
1,0.233063700012281,unrelated,Erinnern,3,3,97445.3842558,97744.6662513
1,0.292172100002063,unrelated,Erinnern,1,1,97455.9295839,97690.9002745
1,0.331268699999782,unrelated,Erinnern,4,3,97466.0815329,97971.9096035
1,0.379161900011241,unrelated,Erinnern,1,2,97475.6410494,98036.2684472
0,1.69282810000004,unrelated,Vergessen,4,1,97485.8326711,97793.6543759
1,0.100905300001614,unrelated,Erinnern,1,4,97495.508735,97923.5034969
1,0.155353299996932,unrelated,Erinnern,2,4,97505.211385,97917.1652432
0,1.57035399999586,unrelated,Vergessen,4,3,97515.6749119,97992.962661
0,0.296625600007246,unrelated,Wissen,3,2,97525.388145,98029.1014429
1,0.40993019999587,unrelated,Erinnern,1,3,97535.2712696,97786.6840802
1,0.28421770001296,related,Wissen,2,3,97545.2026741,97822.3992076
1,0.272940100010601,unrelated,Erinnern,3,2,97554.8316689,97711.3471204
0,0.572149700004957,related,Vergessen,3,3,97564.7436764,97704.2329471
1,0.220873499987647,unrelated,Erinnern,4,1,97574.2872504,97766.4975411
1,0.185489199997392,unrelated,Erinnern,4,4,97583.7718453,97958.6262493
1,0.217519300000276,unrelated,Erinnern,1,4,97593.435337,97849.7084019
1,0.26124519998848,unrelated,Erinnern,2,3,98220.9779496,99332.4643378
1,0.302970299992012,unrelated,Erinnern,2,2,98234.4796968,99086.5298334
1,0.100858099991456,unrelated,Erinnern,3,1,98244.7856779,98961.8683655
1,0.243644900008803,unrelated,Erinnern,2,4,98254.4347278,98913.3630788
1,0.227514300000621,unrelated,Erinnern,1,3,98263.7273481,99291.9012494
1,0.250819699998829,unrelated,Erinnern,4,2,98273.8396476,99194.2756394
1,0.220980099998997,unrelated,Wissen,1,4,98283.4402509,99066.4062725
1,0.280948200001149,unrelated,Erinnern,4,1,98292.7760708,99142.632719
0,0.305832999991253,related,Wissen,1,2,98302.3485688,98906.7314159
1,0.257608100000652,unrelated,Erinnern,1,3,98311.777711,99079.8079479
1,1.3798506000021,unrelated,Vergessen,1,4,98321.885039,99058.5888128
1,0.281785599989234,unrelated,Erinnern,4,3,98331.4941767,99113.4355925
1,0.279642099994817,unrelated,Erinnern,4,3,98341.0554927,99172.156874
1,0.247491499991156,unrelated,Erinnern,4,3,98350.9960038,98926.7513069
1,0.397628499995335,unrelated,Wissen,3,1,98360.5990716,99207.7683834
1,0.230702899993048,unrelated,Erinnern,1,2,98370.1288239,99227.9018706
1,0.213156300000264,unrelated,Erinnern,2,1,98379.5887095,99318.6103742
1,0.234537900003488,unrelated,Erinnern,4,1,98389.0824912,99248.4037029
1,0.231270699994639,unrelated,Erinnern,1,4,98398.8079986,98975.2128067
1,0.238967099998263,unrelated,Wissen,2,2,98408.2571265,99234.7862656
1,0.240983499999857,unrelated,Erinnern,2,1,98417.989887,99016.2414956
1,0.94012169999769,unrelated,Erinnern,3,3,98427.3954536,98940.9512994
1,0.278494400001364,unrelated,Erinnern,1,4,98437.0719402,99277.4069017
1,1.82372549999855,unrelated,Vergessen,3,2,98447.0567716,99120.7595007
1,0.404028800010565,unrelated,Erinnern,3,3,98456.8783018,98920.0028994
1,0.761855999997351,unrelated,Erinnern,1,1,98466.2406371,99164.5674822
1,0.148584200011101,unrelated,Erinnern,1,1,98475.7645356,99214.7071414
1,0.423230500004138,unrelated,Erinnern,1,1,98485.1610243,99001.8327863
1,0.265678299998399,unrelated,Erinnern,2,4,98494.6026218,98981.8929697
1,0.291489700000966,unrelated,Erinnern,2,4,98503.8275805,99339.2739654
1,0.239385499997297,unrelated,Erinnern,2,1,98513.0999843,99179.0664612
1,0.267615899996599,unrelated,Erinnern,2,1,98522.6562089,99129.102567
0,1.80265440000221,unrelated,Vergessen,2,3,98532.0937404,99185.9886201
1,0.780774700004258,unrelated,Wissen,2,2,98541.4210575,98933.4781556
1,0.287965600000462,unrelated,Erinnern,3,2,98550.8942147,99038.0563676
1,0.228370299999369,unrelated,Erinnern,1,3,98560.5672744,98988.6036537
1,0.270764799992321,unrelated,Erinnern,4,1,98570.08354,99093.4101153
1,0.234811000002082,unrelated,Erinnern,3,1,98580.6751825,99221.3549799
1,1.18559120000282,unrelated,Vergessen,3,3,98591.1033457,99284.0943525
1,0.302851999993436,unrelated,Erinnern,2,3,98601.2101625,99200.9557283
0,0.761892000009539,unrelated,Vergessen,3,4,98610.9335899,99325.3822502
1,0.441022999992128,unrelated,Erinnern,4,4,98620.253089,99241.4130213
1,0.327644000004511,unrelated,Wissen,3,4,98629.6889068,99157.2717452
0,1.84403320000274,unrelated,Vergessen,2,3,98639.2490039,99029.7345874
1,0.143696700004512,unrelated,Erinnern,4,2,98648.774658,99052.144191
1,0.253380399997695,related,Erinnern,4,4,98658.8896194,99106.7403284
0,0.294745200008038,unrelated,Wissen,3,2,98668.3204103,99044.8578083
1,0.262302100003581,unrelated,Erinnern,4,1,98678.0990354,99022.961747
0,1.26264960000117,unrelated,Wissen,1,1,98687.8564401,99269.0820332
1,0.1661935000011,unrelated,Erinnern,4,4,98697.2004646,98968.5232034
0,0.299838999999338,unrelated,Vergessen,3,4,98706.7083813,99311.9752409
0,0.241344199996092,related,Wissen,2,4,98716.9040673,99255.2018384
0,1.44410310000239,unrelated,Vergessen,3,2,98726.3480018,99149.3567917
1,0.300574200009578,unrelated,Erinnern,4,3,98737.5743792,99305.1794999
1,0.270813499999349,related,Erinnern,1,2,98747.7958351,99100.0902278
1,0.236031799999182,unrelated,Erinnern,2,2,98757.2004827,99298.5532963
1,0.394704499994987,unrelated,Erinnern,1,2,98766.4679143,98955.1279806
1,0.239242700001341,unrelated,Erinnern,4,4,98775.9058924,98995.2028003
1,0.292109200003324,unrelated,Wissen,3,3,98785.4908598,98948.3066016
1,0.128691899997648,unrelated,Erinnern,3,4,98795.5986297,99136.1429173
0,0.261460199995781,unrelated,Vergessen,4,2,98805.0186086,99262.3351711
1,0.609167299990077,unrelated,Erinnern,4,2,98814.3151643,99008.8958106
1,0.320084699997096,unrelated,Erinnern,1,3,98823.5697101,98899.651618
1,0.367941199991037,related,Erinnern,3,1,98833.5839797,99072.9872624
