recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
0,0.427116599999863,unrelated,Vergessen,4,3,9658.8429349,10911.6556137
1,0.372605400001703,unrelated,Wissen,1,1,9669.7142519,10919.2990477
0,2.35295399999995,unrelated,Wissen,1,3,9679.7011618,10536.0928641
1,0.903691600000457,unrelated,Wissen,3,4,9689.4092306,10753.6446896
0,0.520483800000875,unrelated,Wissen,3,1,9699.5773569,10721.740862
1,0.970208799999455,unrelated,Erinnern,2,4,9709.619854,10509.4943099
1,2.7868757999986,unrelated,Wissen,2,1,9720.1364485,10411.0259829
1,1.26133950000076,unrelated,Erinnern,1,1,9730.6072554,10632.7804729
1,0.860631199999261,unrelated,Erinnern,4,4,9740.4170852,10625.2798621
0,0.698907700001655,unrelated,Erinnern,2,3,9750.4706712,10843.9101607
NaN,NaN,unrelated,Wissen,3,4,9760.2915389,10875.0643326
0,2.01810440000008,related,Wissen,3,2,9770.4805679,10866.2929878
1,1.21599659999993,related,Erinnern,1,4,9780.2021358,10402.354319
0,2.01641469999959,unrelated,Wissen,2,2,9789.7289167,10787.125718
1,1.16771909999989,related,Erinnern,1,1,9799.3345155,10827.4778003
1,1.05436019999979,related,Erinnern,3,4,9808.9478619,10464.9678763
1,1.30491860000075,unrelated,Erinnern,2,1,9818.7506856,10421.2115042
0,1.67328860000089,unrelated,Vergessen,2,2,9828.5066247,10712.9653291
1,0.880947800000285,unrelated,Erinnern,3,4,9838.7787892,10641.173814
1,1.15386079999917,unrelated,Erinnern,3,1,9848.6311383,10771.6995557
0,1.13944230000016,unrelated,Wissen,4,1,9857.994702,10681.8674049
1,0.460685699999885,unrelated,Vergessen,1,1,9867.8930408,10673.7537938
1,0.731718799999726,unrelated,Wissen,4,4,9878.4920132,10602.6959593
1,1.15158249999877,unrelated,Erinnern,4,4,9888.6811444,10835.510997
0,2.64257319999888,unrelated,Wissen,2,1,9898.8876033,10517.2135387
0,1.86381769999934,unrelated,Wissen,2,3,9909.917496,10803.0154813
0,1.89548560000003,unrelated,Vergessen,4,2,9919.541412,10490.9830233
1,0.421027000000322,unrelated,Erinnern,1,4,9929.9319319,10795.9616131
1,0.370812999999544,unrelated,Erinnern,3,1,9940.3019863,10610.1078033
0,1.34584950000135,unrelated,Wissen,4,2,9950.1584606,10885.6644535
1,2.26210179999907,unrelated,Erinnern,4,1,9960.0634781,10526.7677288
1,0.966590600000927,unrelated,Erinnern,4,1,9971.3187005,10648.7696533
NaN,NaN,unrelated,Vergessen,2,4,9981.092667,10565.4103075
1,0.548735600001237,unrelated,Erinnern,1,4,9991.5506302,10903.7550794
1,0.939391300000352,unrelated,Erinnern,2,3,10001.2429238,10556.7364583
1,0.314439400000992,unrelated,Erinnern,1,3,10011.2207066,10858.7806499
1,2.27031110000098,unrelated,Wissen,4,3,10021.5887418,10472.6604331
NaN,NaN,unrelated,Vergessen,3,1,10031.1996098,10761.1597785
0,1.15344729999924,unrelated,Erinnern,4,2,10041.0903054,10736.7593999
1,1.87197100000049,unrelated,Erinnern,3,3,10051.6999671,10392.3771702
0,0.528409200000169,unrelated,Erinnern,2,1,10061.626869,10705.7316073
0,0.473106499999631,unrelated,Erinnern,3,2,10071.2795158,10851.2673171
1,0.864283399998385,unrelated,Erinnern,4,3,10081.3055506,10819.6497329
0,1.08207989999937,unrelated,Wissen,1,3,10091.1257202,10446.6924159
1,1.0751962000013,unrelated,Erinnern,4,2,10101.9292222,10665.7366476
1,1.72179330000108,unrelated,Erinnern,4,3,10114.2379647,10455.3571616
NaN,NaN,unrelated,Vergessen,3,3,10123.725025,10546.1442216
1,1.20492750000085,unrelated,Erinnern,4,4,10133.3376861,10617.3651466
0,2.26520270000037,unrelated,Wissen,3,2,10143.3476042,10593.3431749
1,0.986616300000605,unrelated,Erinnern,2,4,10155.3557442,10926.6722235
0,1.52665040000102,unrelated,Erinnern,1,3,10165.3558084,10482.4051762
0,0.863060800000312,unrelated,Erinnern,1,2,10175.1066123,10811.818019
0,0.520770999999513,related,Wissen,4,1,10185.0805519,10779.9939301
0,2.18406430000141,unrelated,Vergessen,3,2,10194.7206818,10574.9291406
1,0.842581200000495,unrelated,Vergessen,3,3,10205.728556,10729.1102665
0,1.18650720000005,unrelated,Wissen,1,4,10216.5631712,10690.3411521
1,1.35983950000082,unrelated,Wissen,1,2,10226.1504847,10429.4856246
1,1.34712109999964,unrelated,Erinnern,1,2,10235.6008822,10584.5473805
1,0.571987600000284,related,Erinnern,2,2,10245.4446403,10896.1614049
1,1.1914128999997,unrelated,Erinnern,1,2,10254.9119181,10438.4316
1,0.853148300000612,unrelated,Wissen,2,3,10264.674538,10698.2559803
1,1.34592699999848,unrelated,Vergessen,2,4,10274.2437365,10745.0595564
0,1.45747140000094,unrelated,Vergessen,2,2,10283.9228949,10656.6680723
1,1.06905569999981,unrelated,Wissen,3,3,10294.5633185,10500.3075124
0,0.326287699999739,unrelated,Erinnern,2,2,10944.7063851,11941.8789584
0,0.347311600000467,unrelated,Erinnern,1,1,10956.4789968,12114.6530008
1,2.1552114999995,unrelated,Erinnern,3,3,10966.466736,11894.9155499
1,1.00594939999974,unrelated,Wissen,3,3,10976.5631448,11767.8011543
1,0.536870500000077,unrelated,Erinnern,2,4,10986.5636449,12107.5602901
0,0.64887760000056,unrelated,Vergessen,4,2,10996.1244754,11971.177625
0,0.277693800000634,unrelated,Wissen,2,3,11005.6749282,11821.8559761
1,0.312208499999542,unrelated,Erinnern,4,2,11015.3016066,11917.8739688
1,0.317865299999539,unrelated,Erinnern,4,3,11025.2995309,11836.361657
0,0.298994799999491,unrelated,Erinnern,1,4,11034.9949112,12042.282902
1,0.442340699999477,unrelated,Wissen,3,4,11044.4948088,11799.7809141
1,1.32704060000106,unrelated,Wissen,2,1,11054.3986593,12121.4681695
1,1.03563120000035,unrelated,Erinnern,2,3,11065.0559895,11792.2353286
1,0.692056200001389,unrelated,Vergessen,4,3,11074.9790655,11743.5389158
1,1.21205130000089,unrelated,Vergessen,1,2,11084.8180119,11886.8385909
