screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,NaN,1,697313.9349857
1,1,3,697319.7153401
1,1,2,697323.6254989
0,0,4,697327.3932498
0,0,4,697331.4362152
1,1,3,697335.1462724
1,1,2,697339.9704344
1,0,1,697343.6495206
1,1,3,697347.3945269
1,1,2,697351.0750708
1,0,1,697354.7616276
1,0,1,697359.3700747
1,1,2,697364.3138908
0,0,4,697368.2893891
1,1,3,697372.0903009
0,0,4,697375.8742975
1,0,1,697379.9293333
0,0,4,697384.161072
1,0,1,697388.4576046
1,1,3,697392.5780238
1,1,3,697396.6414222
1,1,2,697400.7053553
1,1,2,697404.2741337
0,0,4,697408.2822351
1,1,1,697411.8172556
0,0,4,697416.5053608
1,1,2,697420.3450982
1,0,1,697423.9934147
0,0,4,697427.7375319
1,1,2,697431.5292719
1,1,3,697436.0740395
1,1,3,697440.5854778
1,1,2,697444.7451455
0,1,4,697448.6813443
1,1,2,697453.3133597
1,1,3,697457.1212441
1,0,1,697460.6582378
0,0,4,697464.9292924
1,0,1,697468.5930168
1,1,3,697473.8102631
0,0,4,697485.1624957
1,1,2,697489.2981773
0,0,4,697493.048362
1,0,1,697496.9685598
1,1,3,697500.6983129
1,0,1,697504.7053545
1,1,3,697510.0976744
1,1,2,697515.3209752
0,0,4,697518.9612682
1,1,3,697522.8570469
1,0,1,697527.4401725
1,0,1,697532.0645397
0,0,4,697536.1304815
1,1,3,697540.1292229
1,1,2,697544.3772598
1,1,2,697549.0334574
1,1,2,697553.3695375
1,0,1,697557.2812801
0,0,4,697561.0250774
1,1,3,697564.7298717
0,0,4,697568.4884836
1,1,3,697572.0329671
1,0,1,697575.488836
1,1,2,697580.2819496
1,1,3,697584.4166953
1,1,3,697589.6730694
0,0,4,697593.5695058
1,0,1,697597.3053536
1,1,2,697601.1926023
0,0,4,697604.8728873
1,1,2,697608.760213
1,0,1,697612.5450925
1,0,1,697616.4961334
1,1,3,697620.8413624
1,1,3,697624.8657186
1,1,2,697629.1857615
1,1,2,697632.9600753
0,0,4,697636.5208763
0,0,4,697640.8487832
1,0,1,697644.8021811
1,1,2,697654.9444632
1,0,1,697658.8324196
1,1,3,697662.6090803
1,1,2,697666.2329038
1,1,3,697669.863972
1,0,1,697673.6325879
0,0,4,697677.5773797
0,0,4,697681.2406413
0,0,4,697684.865548
1,1,2,697688.6808298
0,0,4,697693.1608656
1,0,1,697697.0567011
1,0,1,697700.7445656
1,1,3,697704.3125582
1,1,2,697708.2733672
1,0,3,697711.9768727
0,0,4,697715.7533599
1,0,1,697720.1525962
1,1,3,697723.8486188
1,1,3,697727.6406965
1,0,1,697731.1291906
1,1,2,697735.8882838
0,0,4,697739.6402435
1,1,2,697743.4013957
1,0,1,697746.9528595
1,1,3,697750.5213673
1,0,1,697754.4245901
0,0,4,697758.7205027
0,0,4,697762.2478867
1,1,2,697765.7998694
1,1,3,697769.7998991
1,1,2,697773.4083161
1,0,1,697776.9359376
1,1,2,697780.6730087
1,1,3,697784.2974312
0,0,4,697788.2887032
1,0,1,697792.0083801
1,1,2,697795.8168477
0,0,4,697799.3692713
1,1,3,697802.9690422
