screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,1,99384.5087031
1,1,3,99389.6333742
1,1,2,99393.3130805
0,0,4,99397.6725458
0,0,4,99401.2497186
1,1,3,99404.8959967
1,1,2,99408.479616
1,0,1,99412.3515562
1,1,3,99416.1351609
1,1,2,99419.9518482
1,0,1,99423.7597834
1,0,1,99427.3608331
1,1,2,99431.2484198
0,0,4,99434.9035558
1,1,3,99438.5590261
0,0,4,99442.53525
1,0,1,99446.1521616
0,0,4,99449.7433539
1,0,1,99453.2796829
1,1,3,99456.7677271
1,1,3,99460.264461
1,1,2,99463.8162442
1,1,2,99467.4874073
0,0,4,99471.0949275
1,0,1,99474.7118821
0,0,4,99478.3912817
1,0,2,99481.9762463
1,0,1,99485.8716463
0,0,4,99490.4002525
1,0,2,99494.1826617
1,0,3,99498.1589452
1,0,3,99501.7205241
1,0,2,99505.4318044
0,0,4,99509.1283255
1,1,2,99512.9600895
1,1,3,99516.4472229
1,0,1,99520.0559541
0,0,4,99523.5361614
1,0,1,99527.1276744
1,1,3,99530.7596926
0,0,4,99541.7278312
1,1,2,99545.2716588
0,0,4,99548.9124105
1,0,1,99552.5511664
1,1,3,99556.1757692
1,0,1,99559.8000877
1,1,3,99563.3122063
1,1,2,99567.3830684
0,0,4,99570.9833385
1,1,3,99574.9519317
1,0,1,99578.9425317
1,0,1,99582.5434815
0,0,4,99587.0080252
1,1,3,99590.6559123
1,1,2,99594.3679014
1,1,2,99598.5276453
1,1,2,99602.703254
1,0,1,99606.3991094
0,0,4,99610.38331
1,1,3,99614.1830791
0,0,4,99618.0240188
1,1,3,99621.6875626
1,0,1,99625.398413
1,1,2,99629.2638186
1,0,3,99633.0965413
1,1,3,99636.895015
0,0,4,99641.0077529
1,0,1,99644.8081454
1,1,2,99648.7841272
0,1,4,99652.4223111
1,1,2,99655.9761463
1,0,1,99659.695618
1,1,1,99663.9198198
1,0,3,99667.5039788
1,0,3,99671.3270579
1,1,2,99675.5760119
1,1,2,99679.1672006
0,0,4,99682.9116754
0,0,4,99686.592028
1,0,1,99690.6966304
1,0,2,99750.3865394
1,0,1,99754.1750814
1,1,3,99758.5592503
1,1,2,99762.1855464
1,1,3,99765.8318705
1,0,1,99769.4632424
0,0,4,99773.0398638
0,0,4,99776.7443561
0,0,4,99780.3673713
1,1,2,99784.3517184
0,0,4,99787.9351484
1,0,1,99791.7670936
1,0,1,99795.3755881
1,1,3,99799.1748641
1,1,2,99802.8160103
1,1,3,99806.3671011
0,0,4,99809.9997084
1,0,1,99813.5600793
1,1,3,99817.383832
1,1,3,99821.3663698
1,0,1,99824.8317855
1,1,2,99828.3982676
0,0,4,99831.854876
1,1,2,99835.5276757
1,0,1,99839.0238776
1,1,3,99843.0630578
1,0,1,99846.5596434
0,0,4,99850.9834286
0,0,4,99854.5439437
1,1,2,99857.9828409
1,1,3,99861.6399807
1,1,2,99865.3427811
1,0,1,99868.8157269
1,1,2,99872.2793956
1,1,3,99876.3029688
0,0,4,99880.1670488
1,0,1,99883.7029953
1,1,2,99887.479317
0,0,4,99891.0553234
1,1,3,99894.7740972
