screenActuallyFlickers,ppThinksItFlickers,enc_onset
1,NaN,103241.2222748
1,1,103246.9770031
1,1,103250.9621115
0,0,103254.7382099
0,0,103258.4197713
1,1,103262.0185146
1,1,103265.5631346
1,0,103269.1221166
1,1,103272.7858943
1,1,103276.5953422
1,0,103280.2095952
1,0,103283.721075
1,1,103287.3217215
0,0,103290.9542075
1,1,103294.5216219
0,0,103298.2504097
1,0,103301.8262811
0,0,103305.6254764
1,0,103309.4185024
1,1,103312.9449856
1,1,103316.7456785
1,0,103320.4581502
1,1,103324.3774994
0,0,103327.9133819
1,0,103331.4413623
0,0,103334.9540004
1,1,103338.5617722
1,0,103342.2504675
0,0,103345.9060295
1,1,103349.4743959
1,1,103353.1695506
1,1,103356.9059274
1,1,103361.0578148
0,0,103364.5225614
1,1,103368.0738297
1,1,103371.6338236
1,0,103375.1942042
0,0,103378.6125908
1,0,103382.1387505
1,1,103385.6422323
0,0,103397.3390609
1,1,103401.0175054
0,0,103404.6017257
1,0,103408.8815748
1,1,103413.336977
1,0,103417.0820312
1,1,103420.6898737
1,1,103424.2501844
0,0,103427.8977079
1,1,103431.4423378
1,0,103435.0086104
1,0,103438.5216344
0,0,103442.4169777
1,1,103445.9061564
1,1,103450.0736473
1,1,103453.9448747
1,1,103457.4406843
1,0,103460.9853055
0,0,103464.6181957
1,1,103468.2263992
0,0,103471.8730073
1,1,103475.3693555
1,0,103479.625479
1,1,103483.7049521
1,1,103487.5464435
1,1,103491.0731071
0,0,103494.6183543
1,0,103498.1854751
1,1,103501.777283
0,1,103505.3940631
1,1,103509.6495137
1,0,103513.1623999
1,0,103516.770686
1,1,103520.3773981
1,1,103524.0030759
1,0,103527.5702489
1,1,103531.0418044
0,0,103534.6101969
0,0,103538.1297246
1,0,103541.6736417
1,1,103741.8224404
1,0,103745.6012063
1,1,103749.0973159
1,1,103752.7137641
1,1,103756.2649763
1,0,103759.7684177
0,0,103763.2806853
0,0,103766.8012761
0,0,103770.2168756
1,0,103773.8899106
0,0,103777.4260515
1,0,103781.0089803
1,0,103784.6098859
1,1,103788.1613146
1,1,103791.7137318
1,1,103794.9699557
0,0,103798.4250654
1,0,103802.6257278
1,1,103806.1123929
1,1,103809.5442166
1,0,103812.984244
1,1,103816.5604989
0,0,103819.9841755
1,1,103823.5610007
1,0,103826.9778028
1,1,103831.0328523
1,0,103834.7123556
0,0,103838.2088996
0,0,103841.7365156
1,1,103845.1843743
1,1,103848.7761842
1,0,103852.3042291
1,0,103855.6969811
1,1,103859.1528189
1,0,103862.9138055
0,0,103866.600936
1,0,103870.1534892
1,1,103873.7686689
0,0,103877.2492216
1,1,103880.7210879
