recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
0,0.879897999984678,unrelated,Erinnern,4,2,445000.5015425,446131.0189153
0,1.53305340005318,unrelated,Vergessen,3,3,445013.0680399,446286.1221726
1,0.642042100022081,unrelated,Erinnern,2,2,445023.0766159,446106.7266396
1,0.435773500008509,unrelated,Erinnern,1,3,445033.1696567,446320.0117333
0,1.22543170000426,unrelated,Wissen,4,4,445043.9362698,445982.3454921
0,1.70439030003035,unrelated,Erinnern,4,1,445054.0377688,446057.9096896
1,2.79001749999588,unrelated,Erinnern,2,3,445064.1330243,446354.2760128
1,1.23244989995146,unrelated,Erinnern,3,3,445074.425593,445883.5900199
1,1.58478229999309,unrelated,Erinnern,3,1,445084.5984904,445941.3334366
1,2.02492890000576,unrelated,Erinnern,3,4,445094.4531264,445864.4335705
1,2.3124405000126,unrelated,Erinnern,2,2,445104.6316689,445814.4353252
1,0.745425899978727,unrelated,Erinnern,3,1,445114.6159856,446049.6394414
1,1.63418779999483,unrelated,Erinnern,1,4,445125.572781,445874.2192257
0,2.63212119997479,unrelated,,1,4,445135.8221812,445891.7721957
1,1.46480700001121,unrelated,Erinnern,4,4,445145.8169863,445845.3479784
1,1.42813220003154,unrelated,Vergessen,2,1,445156.2531186,446223.5033029
0,1.77782560000196,unrelated,Vergessen,3,2,445166.6949495,446176.0263553
1,2.60850789997494,unrelated,Erinnern,3,1,445177.2263265,445992.7023707
1,2.32749559998047,unrelated,Erinnern,4,2,445188.5871447,446327.347519
0,1.18802159995539,unrelated,Erinnern,2,2,445198.9298391,446023.079849
1,0.988373300002422,unrelated,Erinnern,3,2,445209.6397949,446114.9579801
0,2.33573529997375,unrelated,Vergessen,1,3,445219.5267205,446068.5547907
1,1.28660210000817,unrelated,Erinnern,2,4,445229.8353516,445824.5582632
0,2.3505382000003,unrelated,Erinnern,4,3,445239.9579693,445913.8897899
1,2.0465745999827,unrelated,Erinnern,1,1,445249.7902472,446078.9079296
1,1.68334399996093,unrelated,Erinnern,3,3,445260.157571,446336.5442549
0,0.753350099956151,unrelated,Vergessen,4,1,445270.1443968,446270.3122296
0,1.9966565000359,unrelated,Erinnern,3,3,445280.0125984,446260.6405156
0,2.23748479998903,unrelated,Erinnern,3,1,445290.4892265,446002.7497147
1,1.17414879996795,unrelated,Erinnern,2,1,445301.0415149,446088.9075449
0,1.08001440000953,unrelated,Erinnern,4,3,445311.3562604,445932.1462047
1,1.75255229999311,unrelated,,2,3,445321.8232427,445903.3570573
1,2.41829570004484,unrelated,Vergessen,3,4,445332.0732124,445971.6585914
1,1.17161359998863,unrelated,Erinnern,3,2,445342.1567903,446185.9636411
NaN,NaN,unrelated,,2,3,445352.5010387,445834.0355923
0,1.97542249999242,unrelated,Erinnern,1,3,445362.8528675,446156.4674505
1,1.23594499996398,unrelated,,2,1,445373.1309727,446232.9217393
1,1.00642679998418,unrelated,Erinnern,1,2,445383.302651,446098.8547033
1,1.32841129996814,unrelated,Vergessen,2,4,445393.2907535,446213.073927
0,2.06395149999298,unrelated,Erinnern,1,3,445403.2005788,446202.5976917
0,2.55482010002015,unrelated,Wissen,1,1,445413.2955537,445782.3852026
1,0.66421590000391,unrelated,Erinnern,4,4,445423.2730234,446167.5165603
0,2.71033009997336,unrelated,Wissen,3,2,445433.2576293,445803.0078347
1,1.1800051999744,unrelated,Erinnern,3,4,445443.2498512,446013.5625527
0,1.9655894000316,unrelated,Erinnern,4,1,445453.3813382,446032.075486
0,1.49570989998756,unrelated,Erinnern,4,1,445463.5064432,445793.1680839
1,0.517903100000694,unrelated,Erinnern,4,4,445473.4167641,446243.0225751
0,1.21871020004619,unrelated,Erinnern,1,2,445483.3109383,446251.4436946
1,1.45746880001388,unrelated,Vergessen,1,4,445493.916693,446345.0242975
0,0.651954100001603,unrelated,Erinnern,1,4,445503.7662234,446041.4975147
1,1.35600359999808,unrelated,Erinnern,1,2,445513.727118,446147.5392123
0,1.12486550002359,unrelated,Vergessen,1,1,445524.20045,446310.6268697
1,0.591873099969234,unrelated,Erinnern,2,3,445534.5923421,446122.7921161
1,1.58245440002065,unrelated,Erinnern,2,2,445545.178232,445855.7680383
1,2.87712580000516,unrelated,,4,3,445555.8722173,445770.617219
0,0.328262700000778,unrelated,Erinnern,4,3,445565.7671095,446294.7351641
1,1.2346847000299,related,Erinnern,2,4,445575.6372446,445952.2652636
0,0.529048600001261,unrelated,Erinnern,4,2,445586.2352966,446303.2461952
0,1.99523320002481,unrelated,Erinnern,2,1,445596.7461753,445923.1819958
0,0.363062100019306,unrelated,Erinnern,3,4,445606.6399664,446139.8599396
0,2.54003009997541,unrelated,,4,2,445617.6527551,445759.0855595
1,0.561910199990962,unrelated,Erinnern,1,1,445627.7199681,446194.7125079
0,2.38215979997767,related,Vergessen,1,2,445637.6383862,445961.4733337
1,0.757320300035644,unrelated,Erinnern,2,4,445647.559714,446278.2247763
1,0.54520459997002,,Erinnern,2,4,446374.9445499,447639.4940749
1,1.71107189997565,unrelated,Vergessen,1,4,446387.1347607,447307.6589014
1,0.38930059998529,unrelated,Erinnern,3,1,446397.2322355,447203.4967975
1,1.52220530004706,unrelated,Erinnern,4,1,446408.0820566,447381.9758438
1,1.59264299995266,unrelated,Erinnern,1,4,446418.0675556,447363.7418997
0,2.76586769998539,unrelated,Vergessen,3,1,446428.46954,447571.4690754
1,0.583380399970338,unrelated,Erinnern,3,3,446438.3606888,447390.7111848
1,0.768481699982658,unrelated,Erinnern,2,3,446448.9536965,447516.161332
0,0.515809700009413,unrelated,Vergessen,2,1,446459.3836027,447406.2133329
1,0.905386900005396,unrelated,Erinnern,3,4,446469.4785008,447121.6388176
0,1.06793190003373,unrelated,Wissen,3,1,446480.8616065,447524.1060845
0,1.70797410001978,unrelated,Vergessen,4,2,446491.7582692,447441.973133
1,0.907729800033849,unrelated,Erinnern,4,2,446502.200611,447323.6383767
0,2.35955829999875,unrelated,Erinnern,4,1,446512.5088696,447534.0301087
1,0.429694799997378,unrelated,Erinnern,1,2,446523.0341228,447284.7036824
1,0.665571900026407,unrelated,Erinnern,3,4,446532.7044767,447195.2735829
1,0.33031970000593,unrelated,Erinnern,1,3,446542.9855171,447291.8542417
1,0.389591599989217,unrelated,Wissen,2,4,446552.8137261,447624.0135448
1,0.472949300019536,unrelated,Erinnern,4,2,446562.873404,447179.7004812
0,1.70049019996077,unrelated,Vergessen,2,3,446572.9749169,447544.9745786
0,1.73958080000011,unrelated,Wissen,4,4,446584.0928519,447581.7657781
1,0.551944100006949,unrelated,Wissen,2,3,446593.8174182,447599.6699822
1,0.374124300025869,unrelated,Wissen,1,2,446604.4437894,447632.0969646
1,0.377211800019722,unrelated,Erinnern,2,2,446614.6312929,447500.9383886
1,0.913461700023618,unrelated,Erinnern,3,1,446624.2620952,447493.3394769
1,0.361031899985392,unrelated,Erinnern,2,2,446634.1331833,447356.4371888
0,2.22115460003261,unrelated,Erinnern,4,3,446643.9823055,447228.8603487
0,0.407140800030902,unrelated,Erinnern,1,3,446654.0019907,447316.3253658
1,0.728023300005589,unrelated,Erinnern,2,1,446664.1739831,447138.4562416
NaN,NaN,unrelated,Vergessen,2,4,446674.096199,447218.5926463
1,1.2405283000553,unrelated,Vergessen,4,4,446684.3109547,447347.7984168
1,0.817561000003479,unrelated,Erinnern,1,1,446694.2891145,447458.7332
1,1.19944220001344,unrelated,Erinnern,4,4,446703.843631,447397.9076791
0,0.635781499964651,unrelated,Erinnern,3,2,446713.7513819,447591.7863943
0,0.340044800017495,unrelated,Erinnern,2,2,446723.834784,447277.360952
0,1.90971039998112,unrelated,Vergessen,2,1,446733.5804059,447245.5853819
1,0.476610700017773,unrelated,Erinnern,1,2,446743.5702436,447254.9403459
1,0.336304800002836,unrelated,Erinnern,1,1,446753.2164892,447616.5863748
0,0.421485400001984,unrelated,Erinnern,3,3,446762.9849961,447476.9273968
0,1.26314399996772,unrelated,Vergessen,1,3,446773.1098844,447129.739224
0,1.06273209996289,unrelated,Erinnern,2,2,446783.2145322,447607.1031451
1,0.637786799983587,unrelated,Erinnern,4,2,446793.456931,447451.047004
0,1.54668289999245,unrelated,Vergessen,1,1,446804.1925459,447372.2667798
1,0.977898699988145,unrelated,Erinnern,3,2,446813.987074,447187.0325642
0,0.430670299974736,unrelated,Vergessen,4,3,446823.8965285,447340.1583649
1,0.640018899983261,unrelated,Erinnern,3,4,446833.7515281,447153.4833588
1,1.32266320002964,unrelated,Erinnern,2,1,446844.3497543,447112.549551
0,1.89255590003449,unrelated,Vergessen,3,4,446855.1171803,447431.5857571
0,0.639011299994309,unrelated,Erinnern,3,3,446865.0640889,447210.8175854
1,0.583191299985629,unrelated,Erinnern,1,1,446875.1659439,447145.9946943
0,0.398754799971357,unrelated,Erinnern,4,3,446885.2298218,447485.4004147
1,0.316270700015593,unrelated,Erinnern,1,2,446895.2278433,447564.1263238
1,0.476761800004169,unrelated,Vergessen,4,1,446905.8669994,447269.8661698
1,0.5030006999732,unrelated,Erinnern,1,4,446916.0431643,447424.4574972
0,1.19595690001734,unrelated,Erinnern,2,4,446926.0207458,447414.4267656
1,0.511804500012659,unrelated,Wissen,4,3,446936.1397627,447508.1041558
0,2.76087940001162,unrelated,Vergessen,3,2,446946.3210669,447553.7228878
1,0.479483400005847,unrelated,Erinnern,1,3,446956.1789371,447262.5747791
0,1.33282329997746,related,Vergessen,2,3,446966.1358505,447299.2198305
1,0.581361800024752,unrelated,Erinnern,3,2,446976.8019002,447172.038945
0,2.5745995999896,unrelated,Erinnern,3,3,446986.3481823,447161.3075536
1,0.371239200001583,unrelated,Erinnern,4,1,446996.1820351,447238.4689983
NaN,NaN,unrelated,Vergessen,4,4,447006.0286621,447466.2691028
1,0.762751600006595,unrelated,Erinnern,1,4,447015.9362733,447331.3000736
0,0.408021400042344,unrelated,Vergessen,2,3,447654.8305252,448911.7351734
1,0.346071099978872,unrelated,Erinnern,2,2,447664.6998784,448629.8065122
1,0.57602770003723,unrelated,Erinnern,3,1,447674.6702209,448475.8233965
1,0.60538770002313,unrelated,,2,4,447685.2189816,448412.602472
1,0.42383859999245,unrelated,Wissen,1,3,447695.2434653,448862.2096779
1,0.484389399993233,unrelated,Wissen,4,2,447705.5779742,448747.9025976
0,0.574130800028797,unrelated,Wissen,1,4,447716.5535861,448605.2160039
1,0.350985899975058,unrelated,Wissen,4,1,447726.952639,448693.5565073
0,2.76335139997536,unrelated,Vergessen,1,2,447737.9601287,448402.1992634
1,0.704117699991912,unrelated,Wissen,1,3,447747.8728573,448621.132937
1,0.578954199969303,unrelated,Erinnern,1,4,447758.6493589,448596.746723
1,0.95972589997109,unrelated,Wissen,4,3,447769.154818,448661.1929345
1,0.574623900000006,related,Erinnern,4,3,447779.4510567,448723.1384552
1,2.00754209997831,unrelated,Wissen,4,3,447789.230886,448430.953729
1,0.38429570000153,unrelated,Wissen,3,1,447800.3403616,448763.0464335
0,0.555165500030853,unrelated,Vergessen,1,2,447810.6956961,448787.0025043
1,0.613650100014638,unrelated,Vergessen,2,1,447821.1412139,448895.603065
0,0.85658380005043,unrelated,Wissen,4,1,447831.624962,448812.957596
1,0.442849599989131,unrelated,Erinnern,1,4,447842.2867328,448493.3062464
1,0.674022199993487,unrelated,Erinnern,2,2,447852.9932819,448794.8631444
1,2.81503240001621,unrelated,Vergessen,2,1,447864.9414643,448542.1745467
1,0.359839099983219,unrelated,Erinnern,3,3,447875.1801918,448450.0697729
1,0.304193199961446,unrelated,Wissen,1,4,447885.5262424,448846.8001098
0,0.629121600009967,unrelated,Wissen,3,2,447895.488046,448669.1489205
1,1.38071900000796,unrelated,Wissen,3,3,447906.2236852,448422.0253589
1,0.400061299966183,unrelated,Erinnern,1,1,447916.1584657,448715.9085582
0,1.70356990001164,unrelated,Vergessen,1,1,447926.2374729,448771.0088625
1,0.516507700027432,unrelated,Wissen,1,1,447936.9137195,448526.3656272
0,0.450702700007241,unrelated,Wissen,2,4,447947.3513884,448500.7153196
0,0.791597599978559,unrelated,Wissen,2,4,447957.2594654,448921.5732283
1,1.91952070000116,unrelated,Vergessen,2,1,447967.06128,448730.6901117
1,0.313631199998781,unrelated,Erinnern,2,1,447977.1489511,448676.8247632
1,0.440791700035334,unrelated,Wissen,2,3,447986.9457952,448740.9098331
1,0.796427400026005,unrelated,Erinnern,2,2,447997.3581981,448440.6455821
1,0.372150000010151,unrelated,Wissen,3,2,448007.3363057,448573.3452433
1,1.00557640002808,unrelated,Erinnern,1,3,448017.1003475,448508.5902387
1,0.862597699975595,unrelated,Erinnern,4,1,448026.8794989,448637.4045499
1,0.353323899966199,unrelated,Wissen,3,1,448037.5526308,448779.5302221
1,0.351604700030293,unrelated,Wissen,3,3,448047.3894496,448854.4487048
1,0.544337300001644,unrelated,Wissen,2,3,448057.509192,448755.1788065
1,0.433835699979682,unrelated,Wissen,3,4,448067.3329104,448903.7612112
1,2.35341790004168,unrelated,Wissen,4,4,448077.1240721,448802.2156414
1,0.612802500021644,unrelated,Wissen,3,4,448087.2535966,448708.633095
0,1.94824910000898,unrelated,Vergessen,2,3,448097.1781917,448562.5702284
1,0.658491300011519,unrelated,Erinnern,4,2,448107.2730046,448588.969557
1,0.511447000026237,unrelated,Erinnern,4,4,448117.1681146,448653.3476481
1,0.443329799978528,unrelated,Erinnern,3,2,448127.397484,448581.5801083
1,0.446374999999534,unrelated,Erinnern,4,1,448136.9544891,448553.5420985
0,0.36584749998292,unrelated,Wissen,1,1,448146.7631012,448838.4554984
0,2.86668750003446,unrelated,Vergessen,4,4,448156.8518818,448483.4579073
0,2.44984229997499,unrelated,Vergessen,3,4,448168.5490131,448886.5315226
