screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,NaN,1,709884.1640766
1,1,3,709889.9313663
1,1,2,709893.6032781
0,0,4,709899.8892796
0,0,4,709903.3954074
1,1,3,709906.9697434
1,1,2,709910.5622746
1,0,1,709914.1132002
1,1,3,709918.1762298
1,1,2,709922.0013751
1,0,1,709925.7531278
1,0,1,709929.3840647
1,1,2,709933.0813905
0,0,4,709936.6895043
1,1,3,709940.9129516
0,0,4,709944.5609284
1,1,1,709948.200488
0,0,4,709952.0250859
1,0,1,709955.584865
1,1,3,709959.4330517
1,1,3,709963.2086705
1,1,2,709966.785611
1,1,2,709970.2977125
0,0,4,709973.8562789
1,0,1,709977.5456169
0,0,4,709981.1851986
1,1,2,709984.824881
1,0,1,709988.8166227
0,0,4,709992.6976601
1,1,2,709996.3687108
1,1,3,710000.1527415
1,1,3,710003.7131019
1,1,2,710007.2322993
0,0,4,710010.75304
1,1,2,710014.2246225
1,1,3,710018.0401054
1,0,1,710021.7683245
0,0,4,710025.2175523
1,0,1,710029.0488049
1,1,3,710032.7292018
0,0,4,710043.5936773
1,1,2,710048.9527296
0,0,4,710052.8570822
1,0,1,710056.4888139
1,1,3,710059.9921909
1,0,1,710064.0252558
1,1,3,710068.040981
1,0,2,710071.9057759
0,0,4,710075.4411428
1,1,3,710079.2561317
1,0,1,710083.3770075
1,0,1,710086.9691387
0,0,4,710090.656949
1,1,3,710094.1537067
1,1,2,710097.8498611
1,1,2,710101.5128822
1,1,2,710105.016144
1,0,1,710108.4648182
0,0,4,710112.136085
1,1,3,710115.7610388
0,0,4,710119.3695204
1,1,3,710122.8641643
1,0,1,710126.3683949
1,1,2,710129.9125548
1,1,3,710133.4494306
1,1,3,710137.1535399
0,0,4,710141.1528568
1,0,1,710145.5780233
1,1,2,710149.1058227
0,1,4,710152.6488801
1,NaN,2,710156.2808287
1,0,1,710162.0324037
1,0,1,710166.3291616
1,1,3,710170.2738176
1,1,3,710174.088849
1,1,2,710177.6570551
1,1,2,710181.345667
0,0,4,710184.8977383
0,0,4,710188.5922845
1,0,1,710192.1299698
1,1,2,710202.4908672
1,0,1,710206.5050572
1,1,3,710210.7781156
1,1,2,710214.5375826
1,1,3,710218.1530825
1,0,1,710222.6908495
0,0,4,710226.4161038
0,0,4,710230.129226
0,0,4,710233.6811969
1,1,2,710237.0892928
0,0,4,710240.6889922
1,0,1,710244.2328272
1,0,1,710247.6564541
1,1,3,710251.1609275
1,1,2,710254.712151
1,1,3,710258.1452717
0,0,4,710261.6808263
1,0,1,710265.4324654
1,1,3,710268.9364866
1,1,3,710272.6332323
1,0,1,710276.2899682
1,1,2,710279.9921328
0,0,4,710283.4725486
1,1,2,710287.0729065
1,0,1,710290.6567943
1,1,3,710294.2168073
1,0,1,710297.7607206
0,0,4,710301.408948
0,0,4,710304.9933788
1,1,2,710308.3768864
1,1,3,710312.2649531
1,1,2,710316.2162492
1,0,1,710319.6574682
1,1,2,710323.1290055
1,1,3,710326.5460738
0,0,4,710330.3289564
1,1,1,710334.74529
1,1,2,710339.3057283
0,0,4,710343.3297138
1,1,3,710346.9292054
