recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.450414599996293,unrelated,Erinnern,4,2,99424.533483,100479.5922445
0,0.455375799996546,unrelated,Vergessen,3,3,99436.4689973,100613.7226136
1,1.52198810000846,related,Vergessen,2,2,99446.3383271,100455.0400757
1,0.609839999990072,related,Erinnern,1,3,99456.4111543,100645.4632508
1,1.2550884999946,unrelated,Vergessen,4,4,99466.9394375,100345.4267412
0,0.482016599999042,unrelated,Vergessen,4,1,99476.9246736,100415.6500507
0,1.28457459999481,unrelated,Vergessen,2,3,99486.7607733,100676.9648806
0,1.10913699999219,unrelated,Vergessen,3,3,99496.4583436,100261.6418254
1,0.67023099999642,unrelated,Wissen,3,1,99506.1202966,100312.4453282
0,1.19641980000597,unrelated,Vergessen,3,4,99515.896622,100245.4681512
1,1.06405630000518,unrelated,Erinnern,2,2,99525.6388404,100200.5519036
0,2.60588350000035,unrelated,Vergessen,3,1,99535.4362165,100405.2963794
1,1.24490320000041,unrelated,Wissen,1,4,99545.2815589,100253.6065757
1,1.52548569999635,unrelated,Vergessen,1,4,99555.1738942,100270.8442671
0,2.06887819999247,unrelated,Vergessen,4,4,99565.0788555,100227.1669611
1,0.480388600000879,unrelated,Wissen,2,1,99574.8956239,100558.5262716
0,0.439693499996793,unrelated,Vergessen,3,2,99584.4741023,100519.084412
0,0.375975200004177,unrelated,Vergessen,3,1,99594.1071983,100354.4231882
0,0.686934700002894,unrelated,Vergessen,4,2,99604.225746,100653.4611651
1,0.587249100004556,unrelated,Wissen,2,2,99614.3626635,100378.6124251
1,0.672757500011357,related,Wissen,3,2,99623.9934991,100464.0086797
0,1.17178270001023,unrelated,Vergessen,1,3,99633.7512752,100422.8340303
1,1.01285179999832,unrelated,Wissen,2,4,99643.4004954,100208.6610057
1,1.21601740000187,unrelated,Wissen,4,3,99653.1606319,100287.0329569
1,0.453680499995244,unrelated,Wissen,1,1,99663.0177643,100431.0283201
1,0.737157800002024,unrelated,Erinnern,3,3,99673.029331,100661.8040578
0,1.24638139999297,unrelated,Vergessen,4,1,99682.6682655,100596.5425381
1,0.329179100008332,related,Erinnern,3,3,99692.7147314,100589.6576887
1,0.65417389999493,unrelated,Vergessen,3,1,99702.6146759,100361.8732995
0,0.586097199993674,unrelated,Vergessen,2,1,99712.4174004,100439.7456137
0,0.609818199998699,related,Wissen,4,3,99723.0899027,100304.5361162
1,0.881064700006391,unrelated,Erinnern,2,3,99733.0065505,100279.0677368
1,0.594034800000372,unrelated,Vergessen,3,4,99743.3028672,100336.5574141
1,0.432725899998331,unrelated,Vergessen,3,2,99753.8488207,100526.6665979
0,1.14348939999763,unrelated,Wissen,2,3,99763.6765355,100218.2235854
1,0.787479000005987,unrelated,Wissen,1,3,99773.449475,100504.1056939
0,0.474067899995134,unrelated,Vergessen,2,1,99783.4620869,100566.6167721
1,0.763364099999308,unrelated,Vergessen,1,2,99793.1573815,100447.3096719
0,0.682881699991412,unrelated,Vergessen,2,4,99802.8617435,100550.7056066
1,1.55777110000781,unrelated,Wissen,1,3,99812.5577306,100542.3032162
0,1.92993739999656,unrelated,Wissen,1,1,99822.2668759,100170.7079283
1,0.487808000005316,unrelated,Erinnern,4,4,99831.7392791,100511.4514373
1,1.58651350000582,unrelated,Vergessen,3,2,99841.6007152,100191.0533337
1,0.603792899986729,unrelated,Erinnern,3,4,99851.1016006,100370.278169
0,1.06951699999627,unrelated,Wissen,4,1,99860.9102814,100386.4262288
0,2.32984530000249,unrelated,Wissen,4,1,99870.7297374,100180.5730177
0,0.647598600000492,unrelated,Vergessen,4,4,99880.2163897,100574.2294904
0,0.597994600000675,unrelated,Vergessen,1,2,99889.8804779,100582.0450123
1,0.456392399995821,related,Erinnern,1,4,99899.5200648,100669.933849
1,1.4645246,unrelated,,1,4,99909.503965,100394.9222602
0,1.38620890000311,unrelated,Vergessen,1,2,99919.114097,100495.8683986
0,0.780144000003929,unrelated,Wissen,1,1,99928.6824266,100637.5239877
0,0.697515499996371,unrelated,Vergessen,2,3,99939.3057487,100471.7481165
0,1.42651039999328,unrelated,Vergessen,2,2,99949.1432016,100236.6265677
NaN,NaN,unrelated,Vergessen,4,3,99958.9381216,100159.2483281
1,0.488314600006561,related,Vergessen,4,3,99968.975679,100622.0595146
0,0.688222999990103,related,Vergessen,2,4,99978.9073962,100321.1562965
0,1.11804010000196,unrelated,Wissen,4,2,99988.3491508,100629.5206866
1,0.555860500011477,unrelated,Erinnern,2,1,99997.8630222,100296.9292314
1,0.39783630000602,unrelated,Vergessen,3,4,100007.6408291,100487.640914
1,0.845738400006667,unrelated,Erinnern,4,2,100017.2493344,100149.4674291
0,0.916722900001332,related,Vergessen,1,1,100026.8977513,100534.3143806
0,0.890908300003503,related,Vergessen,1,2,100036.478094,100328.9060589
0,0.844679500005441,unrelated,Vergessen,2,4,100046.0989925,100605.7168406
1,0.369785300004878,related,Erinnern,2,4,100705.2321006,101895.8195533
1,0.412250699999277,related,Wissen,1,4,100716.4914386,101594.9361666
1,0.369791300006909,unrelated,Erinnern,3,1,100726.5802339,101500.1579924
1,0.34079400000337,unrelated,Erinnern,4,1,100737.0431917,101661.3936099
0,1.25249309999344,unrelated,Wissen,1,4,100748.1623101,101644.9638089
0,0.521162100005313,unrelated,,3,1,100758.4493308,101829.2821446
1,0.318588200010709,unrelated,Erinnern,3,3,100768.8849357,101668.4093166
1,0.40089170000283,related,Erinnern,2,3,100779.2320473,101781.7179944
1,0.322851899996749,related,Erinnern,2,1,100789.0939497,101682.2945252
1,0.507870000001276,unrelated,Erinnern,3,4,100800.0243675,101422.5947475
1,0.441006799999741,unrelated,Wissen,3,1,100809.8910508,101789.5605884
1,0.50405000000319,unrelated,Erinnern,4,2,100819.5350073,101713.406684
1,0.320536200000788,related,Erinnern,4,2,100830.0726745,101608.6814982
0,1.85277599999972,related,Vergessen,4,1,100839.9899268,101797.2558061
1,0.33251590000873,unrelated,Erinnern,1,2,100850.2111906,101573.0204197
1,0.577600699994946,related,Erinnern,3,4,100860.7333727,101492.6227735
1,0.36672649999673,unrelated,Erinnern,1,3,100871.047969,101580.4866485
1,0.682784499993431,related,Erinnern,2,4,100881.0383057,101879.8369983
1,0.90826240000024,unrelated,Wissen,4,2,100891.2021238,101474.725301
1,0.445938600008958,related,Erinnern,2,3,100900.8649472,101806.5589952
1,1.95353810000233,unrelated,Vergessen,4,4,100910.7432155,101838.6940127
0,2.429856200004,related,Vergessen,2,3,100920.3022895,101855.5465196
1,0.376541400008136,unrelated,Erinnern,1,2,100930.0383793,101887.0983216
0,0.947948100001668,related,Vergessen,2,2,100940.590293,101764.6954644
1,0.413369000001694,unrelated,Erinnern,3,1,100951.0682663,101757.5516344
1,0.343609699993976,related,Erinnern,2,2,100960.7439547,101637.9310621
1,0.345603599998867,unrelated,Erinnern,4,3,100970.2026848,101521.6987421
1,0.300937599997269,unrelated,Erinnern,1,3,100979.8309373,101601.9482066
1,0.510943599991151,unrelated,Erinnern,2,1,100989.4723722,101438.1454231
1,0.469168600000557,unrelated,Wissen,2,4,100999.6397521,101514.1354448
1,0.498108500003582,unrelated,Erinnern,4,4,101009.2915732,101630.3633768
1,0.584638099986478,related,Wissen,1,1,101018.9322504,101727.6428917
1,0.420934200010379,unrelated,Erinnern,4,4,101028.8986006,101675.1698068
1,0.595688500005053,unrelated,Erinnern,3,2,101038.5974921,101848.2890476
1,0.318866699992213,related,Erinnern,2,2,101048.3796242,101566.1742648
1,0.574571400007699,unrelated,Erinnern,2,1,101058.662938,101536.5560074
0,0.674147400000948,related,Wissen,1,2,101068.4564794,101544.2483918
1,0.497169199996279,related,Erinnern,1,1,101078.3130422,101872.3388245
1,0.723659700001008,unrelated,Erinnern,3,3,101088.7218633,101742.717719
1,0.474187700005132,unrelated,Erinnern,1,3,101098.652995,101430.3859541
1,0.479819600004703,unrelated,Erinnern,2,2,101108.3333681,101865.4235582
