recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.600423700059764,unrelated,Wissen,4,3,712798.1536762,714017.7506786
0,2.38878319994546,unrelated,Vergessen,1,1,712810.3364869,714024.8524273
NaN,NaN,unrelated,Vergessen,1,3,712819.9728647,713644.4991364
1,1.61458699998911,unrelated,Erinnern,3,4,712830.5143446,713862.3714334
1,0.924708499922417,unrelated,Erinnern,3,1,712840.0694296,713832.4027907
0,1.43562390003353,unrelated,Vergessen,2,4,712849.7695275,713617.2290383
0,2.10057999996934,unrelated,Vergessen,2,1,712859.4427331,713514.4198579
0,1.65580589999445,unrelated,Vergessen,1,1,712869.3462166,713739.3878005
1,0.965117799933068,unrelated,Erinnern,4,4,712879.044101,713731.4668364
0,1.99187930009793,unrelated,Vergessen,2,3,712888.5818231,713953.5700087
1,0.828166599967517,unrelated,Vergessen,3,4,712898.2194037,713986.0726314
1,1.43561639997642,related,Erinnern,3,2,712907.8784285,713977.4619678
1,1.10385730001144,unrelated,Erinnern,1,4,712917.4428347,713505.8907099
1,2.19284649996553,related,Vergessen,2,2,712926.9105191,713898.0891472
0,1.11317050002981,unrelated,Wissen,1,1,712936.4192098,713938.6676851
1,1.05894390004687,unrelated,Wissen,3,4,712946.0571884,713568.1889068
NaN,NaN,unrelated,Wissen,2,1,712955.5256726,713524.8362067
1,1.92943710007239,unrelated,Erinnern,2,2,712965.2267782,713823.5096743
0,1.88566989998799,unrelated,Vergessen,3,4,712974.9581077,713748.6688398
0,1.68856979999691,unrelated,Vergessen,3,1,712984.8739045,713879.6204997
0,0.830215100082569,related,Vergessen,4,1,712994.4784669,713790.2633532
0,1.99896050000098,unrelated,Vergessen,1,1,713004.0987479,713781.7575666
1,2.24624629993923,unrelated,Wissen,4,4,713013.7272578,713704.677367
0,0.683550799963996,unrelated,Wissen,4,4,713023.3279573,713946.3491199
1,1.0034544999944,unrelated,Erinnern,2,1,713032.9884598,713626.5383755
0,0.803429299965501,unrelated,Wissen,2,3,713042.7811222,713916.0676966
0,2.37279910000507,unrelated,Vergessen,4,2,713052.7204016,713598.8911709
1,0.859351300052367,unrelated,Vergessen,1,4,713062.5429749,713907.4896833
0,2.27713800000492,unrelated,Vergessen,3,1,713072.2597902,713714.1373602
0,2.52634720003698,unrelated,Vergessen,4,2,713081.9429081,713994.1383064
1,2.03459509997629,unrelated,Vergessen,4,1,713091.4893162,713634.6679495
0,0.920413100044243,unrelated,Erinnern,4,1,713101.0143533,713757.7381523
1,1.1029608999379,unrelated,Erinnern,2,4,713110.662617,713670.4526357
0,0.759845599997789,unrelated,Wissen,1,4,713120.1637028,714010.5763248
0,1.70584990002681,unrelated,Wissen,2,3,713129.7424704,713661.6359823
1,1.23730139993131,unrelated,Vergessen,1,3,713140.25102,713969.5953502
NaN,NaN,unrelated,,4,3,713150.0043665,713576.9344584
0,1.72488980006892,unrelated,Vergessen,3,1,713159.6176678,713871.0372094
0,0.976195700000972,unrelated,Vergessen,4,2,713169.3624568,713847.0891046
NaN,NaN,unrelated,,3,3,713178.9278656,713494.4727838
0,2.04255520005245,unrelated,Vergessen,2,1,713188.5171718,713814.7470741
0,0.66728900000453,unrelated,Wissen,3,2,713198.1046019,713962.119761
1,0.769969800021499,unrelated,Erinnern,4,3,713207.8238349,713931.6274765
0,0.992721899994649,unrelated,Erinnern,1,3,713217.5773995,713551.4257596
1,1.04944219999015,unrelated,Vergessen,4,2,713227.1394327,713773.2215394
1,2.15082219999749,unrelated,Erinnern,4,3,713236.7742395,713559.0495403
0,1.11429240007419,unrelated,Erinnern,3,3,713246.3986784,713653.4806414
1,1.00136769993696,unrelated,Erinnern,4,4,713256.1118155,713724.0059835
1,1.33657120005228,unrelated,Vergessen,3,2,713265.8326416,713695.6991335
1,2.86358310002834,unrelated,Wissen,2,4,713275.3153673,714033.9631805
0,2.17545900004916,related,Vergessen,1,3,713284.8539135,713588.3637823
0,1.2043951000087,related,Vergessen,1,2,713295.6445238,713923.3019062
0,2.86137100006454,unrelated,Vergessen,4,1,713305.2084564,713888.6716543
1,1.770158899948,unrelated,Wissen,3,2,713314.913646,713678.7020737
1,0.675297899986617,unrelated,Erinnern,3,3,713324.4109346,713839.8912837
1,0.717152500059456,unrelated,Vergessen,1,4,713334.0507102,713798.5699158
0,2.07119219994638,unrelated,Wissen,1,2,713343.6483988,713534.0318231
0,1.18133329995908,unrelated,Wissen,1,2,713353.1259276,713687.75423
1,0.757020000019111,related,Erinnern,2,2,713362.8359737,714003.1664262
1,1.02106220007408,unrelated,Erinnern,1,2,713374.386714,713543.7181063
0,0.905873999930918,unrelated,Vergessen,2,3,713384.0786109,713805.9345567
0,1.44793709996156,unrelated,Vergessen,2,4,713394.447434,713854.600464
0,0.901959800045006,unrelated,Vergessen,2,2,713403.991392,713765.4987726
1,0.989700099918991,unrelated,Erinnern,3,3,713413.4963222,713609.0908871
0,2.29523190006148,unrelated,Vergessen,2,2,714051.8516098,714991.8781402
1,0.771123199956492,unrelated,Wissen,1,1,714063.78786,715177.1949823
1,0.559670699993148,unrelated,Erinnern,3,3,714074.1222852,714946.4153499
1,0.631658999947831,unrelated,Erinnern,3,3,714084.2008324,714813.1990754
1,0.366541199968196,unrelated,Wissen,2,4,714094.2810038,715170.0624004
0,1.1558512999909,related,Vergessen,4,2,714104.9349761,715022.5924231
0,1.44633269996848,unrelated,Vergessen,2,3,714115.5130814,714865.8252074
1,0.707350700045936,unrelated,Erinnern,4,2,714126.0868869,714970.0991666
1,2.89515050000045,unrelated,Erinnern,4,3,714135.5732999,714883.7106459
0,0.42594589991495,unrelated,Vergessen,1,4,714145.1196107,715102.4119985
1,1.00704539997969,related,Erinnern,3,4,714154.6066915,714843.2537298
1,0.556352299987338,unrelated,Wissen,2,1,714164.3519909,715184.5818717
0,0.760770000051707,unrelated,Erinnern,2,3,714173.9892891,714835.8935603
1,0.300931600038894,unrelated,Wissen,4,3,714183.5848672,714791.8743294
0,0.936877600033768,unrelated,Vergessen,1,2,714193.1774716,714938.9298449
1,0.816144199925475,unrelated,Erinnern,1,2,714202.7617272,714760.0627206
1,1.18970530002844,related,Wissen,3,2,714212.3857793,714743.0160095
1,1.72437379998155,unrelated,Vergessen,1,3,714222.6850372,715109.6090081
1,1.08794749993831,unrelated,Wissen,1,4,714232.230741,715078.8336081
0,1.16540619998705,unrelated,Wissen,1,3,714241.8843675,714827.9204916
1,0.836132499971427,unrelated,Erinnern,4,2,714251.7488567,714908.5351796
0,0.620177599950694,unrelated,Erinnern,3,4,714261.4122514,715221.1099326
1,0.530483099981211,unrelated,Wissen,3,2,714271.1971422,714977.4266416
NaN,NaN,unrelated,Vergessen,2,2,714280.9540802,714732.5042202
1,0.410405599977821,unrelated,Vergessen,3,1,714290.5979912,715095.3552461
0,1.52293780003674,related,Wissen,3,4,714300.3963959,715031.7505674
1,0.648400699952617,unrelated,Wissen,4,1,714309.9767863,714923.2129298
1,1.42708350007888,unrelated,Vergessen,4,4,714320.1247822,715039.9446358
1,0.633237599977292,related,Erinnern,2,2,714330.0021501,715199.1623612
1,1.85850980004761,unrelated,Vergessen,2,1,714339.7473509,714767.5600499
0,0.525338199920952,unrelated,Vergessen,4,1,714349.3619264,715155.2869404
1,0.787070499965921,unrelated,Erinnern,1,1,714359.0546662,715213.7950445
1,0.465693900012411,unrelated,Wissen,2,3,714368.5395958,715125.7210354
1,0.912901200004853,unrelated,Erinnern,3,1,714378.0876957,715015.0700913
1,0.575054300017655,unrelated,Erinnern,1,3,714387.7057001,715191.9618432
1,0.334176299977116,unrelated,Erinnern,2,4,714397.2465174,714820.7721157
1,0.786200999980792,unrelated,Erinnern,2,1,714406.9111577,714953.6030178
