screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,1,5644.700285
1,1,3,5649.296895
1,1,2,5653.2384182
0,0,4,5657.0075592
0,0,4,5660.7521815
1,1,3,5664.4637976
1,1,2,5668.0781329
1,0,1,5671.7742431
1,1,3,5676.213373
1,1,2,5680.1127715
1,0,1,5684.1335159
1,0,1,5687.8381055
1,1,2,5691.5496249
0,0,4,5695.3822789
1,1,3,5699.0059976
0,0,4,5702.7659905
1,0,1,5706.6929662
0,0,4,5710.4004523
1,0,1,5714.0782672
1,1,3,5718.3262291
1,1,3,5722.2612801
1,1,2,5726.0292278
1,1,2,5729.9969039
0,0,4,5733.8533954
1,0,1,5737.4692973
0,0,4,5741.2047273
1,1,2,5745.181679
1,0,1,5749.3972037
0,0,4,5753.1330696
1,1,2,5757.0137578
1,1,3,5761.1019917
1,1,3,5765.0286914
1,1,2,5768.8938821
0,0,4,5772.5421332
1,1,2,5776.2525856
1,1,3,5779.9023126
1,0,1,5783.573434
0,0,4,5787.0780385
1,0,1,5791.2370365
1,1,3,5795.5655459
0,0,4,5806.4380592
1,1,2,5810.6292745
0,0,4,5814.5411095
1,0,1,5818.4696134
1,1,3,5822.0700033
1,0,1,5825.9730506
1,1,3,5829.6690457
1,1,2,5833.5430188
0,0,4,5837.3413034
1,1,3,5842.0053054
1,0,1,5845.6524407
1,0,1,5849.220999
0,0,4,5853.0690504
1,1,3,5856.8698157
1,1,2,5860.636973
1,1,2,5864.3329307
1,1,2,5868.508384
1,0,1,5872.7099871
0,0,4,5876.5094808
1,1,3,5880.6052999
0,0,4,5884.5900412
1,1,3,5888.4129243
1,0,1,5892.2290442
1,1,2,5896.1572649
1,1,3,5899.9657903
1,1,3,5903.9091079
0,0,4,5907.8858583
1,0,1,5912.0928971
1,1,2,5916.3812534
0,0,4,5920.549703
1,1,2,5924.5177775
1,0,1,5928.6536628
1,0,1,5932.7966644
1,1,3,5936.8042706
1,1,3,5940.6050695
1,1,2,5944.3173777
1,1,2,5947.8523115
0,0,4,5951.5258096
0,0,4,5955.213252
1,0,1,5958.916718
1,1,2,5969.3284978
1,0,1,5973.1570245
1,1,3,5977.2534037
1,1,2,5981.0614367
1,1,3,5984.8844279
1,0,1,5988.3576268
0,0,4,5992.5972178
0,0,4,5996.333372
0,0,4,6000.2600622
1,1,2,6004.036702
0,0,4,6007.6933394
1,0,1,6011.4449066
1,0,1,6015.7010793
1,1,3,6019.5412851
1,1,2,6023.5175536
1,1,3,6027.2765134
0,0,4,6031.0216342
1,0,1,6034.8686573
1,1,3,6038.5412745
1,1,3,6042.2295726
1,0,1,6046.0853082
1,1,2,6050.4866583
0,0,4,6054.1010449
1,1,2,6058.108624
1,0,1,6062.0686551
1,1,3,6065.8449653
1,0,1,6069.6283368
0,0,4,6073.5722033
0,0,4,6077.5965279
1,1,2,6081.5496896
1,1,3,6085.309303
1,1,2,6089.3092487
1,0,1,6092.7333289
1,1,2,6096.756397
1,1,3,6100.3805081
0,0,4,6104.0037307
1,0,1,6107.957497
1,1,2,6112.2613099
0,0,4,6115.9414526
1,1,3,6120.1567088
