recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.388405899982899,unrelated,Erinnern,4,2,700020.1456396,701080.5017772
1,0.329496199963614,unrelated,Wissen,3,3,700032.1292057,701218.7641459
1,1.60042919998523,unrelated,Wissen,2,2,700043.862209,701056.5695087
1,0.535062300041318,related,Erinnern,1,3,700054.2375858,701251.3509267
NaN,NaN,unrelated,Wissen,4,4,700064.1923864,700945.3944799
NaN,NaN,unrelated,Erinnern,4,1,700074.5154352,701012.3748631
0,1.57327009993605,unrelated,Vergessen,2,3,700084.9950317,701280.5449219
1,1.09811109991278,unrelated,Erinnern,3,3,700094.9414846,700868.1256735
1,0.716998599935323,related,Erinnern,3,1,700105.5203041,700915.95662
NaN,NaN,related,Vergessen,3,4,700115.5173288,700849.9283339
0,2.12817729997914,unrelated,Vergessen,2,2,700126.9917207,700803.7403036
1,1.45531660004053,related,Wissen,3,1,700137.3407249,701003.2819174
1,0.881387499975972,unrelated,Erinnern,1,4,700147.0762304,700860.2842919
1,0.896885599941015,unrelated,Erinnern,1,4,700157.6194572,700876.2642076
1,2.51158930000383,unrelated,Wissen,4,4,700168.0153136,700831.8259475
1,1.22666599997319,unrelated,Vergessen,2,1,700177.7569564,701162.3408573
0,1.10499649995472,unrelated,,3,2,700188.0788433,701120.6870286
1,0.989026200026274,unrelated,Vergessen,3,1,700198.3530486,700954.9292164
1,0.374446999980137,unrelated,Erinnern,4,2,700209.1770116,701258.8481387
1,1.48111250007059,unrelated,Wissen,2,2,700219.7896284,700979.7127202
1,0.283083799993619,unrelated,Erinnern,3,2,700230.243532,701064.8047695
1,2.48424890008755,unrelated,Wissen,1,3,700240.7058962,701021.9994824
1,2.21476140001323,unrelated,Erinnern,2,4,700250.6789137,700813.4516225
1,0.543000199948438,unrelated,Erinnern,4,3,700261.1355633,700891.613526
0,0.70709329994861,unrelated,Erinnern,1,1,700271.664015,701032.1089566
1,0.427123800036497,unrelated,Erinnern,3,3,700282.0737402,701266.2341161
1,0.599046800052747,unrelated,Erinnern,4,1,700292.7912417,701204.5248754
1,2.07932800007984,unrelated,Vergessen,3,3,700303.6015,701194.3923768
1,1.35954159998801,unrelated,Erinnern,3,1,700313.7384048,700964.4781234
1,1.72690850007348,unrelated,Wissen,2,1,700323.6067241,701040.3989203
1,0.980268000042997,unrelated,Wissen,4,3,700334.346903,700906.1697748
1,0.797256799996831,unrelated,Erinnern,2,3,700345.1889825,700884.126333
1,0.388996099936776,unrelated,Erinnern,3,4,700355.7268629,700937.9901466
0,1.22106060001533,unrelated,Vergessen,3,2,700366.0860376,701130.6836593
1,0.905497999978252,unrelated,Erinnern,2,3,700376.3064623,700824.2183321
1,0.787251600064337,unrelated,Erinnern,1,3,700386.2367201,701102.4739011
0,1.04299069999252,unrelated,Vergessen,2,1,700396.2692761,701171.4150399
1,0.300329699995928,unrelated,Erinnern,1,2,700406.6614487,701049.5248343
0,1.93195080000442,related,Vergessen,2,4,700416.6123594,701153.0713221
1,0.495358800049871,related,Erinnern,1,3,700427.9670522,701146.0786956
1,0.856268400093541,unrelated,Erinnern,1,1,700439.0875461,700778.4030297
0,2.75008919998072,unrelated,Vergessen,4,4,700449.6259043,701110.5744554
0,2.29746719996911,related,Vergessen,3,2,700460.760097,700793.5732195
1,0.478689900017343,unrelated,Erinnern,3,4,700471.7613399,700972.503882
1,0.332928400021046,related,Erinnern,4,1,700482.3265879,700988.6216487
1,0.702827999950387,unrelated,Erinnern,4,1,700494.258227,700786.0599012
1,0.393076699925587,unrelated,Erinnern,4,4,700504.4566541,701179.8256569
0,0.394804499926977,unrelated,Vergessen,1,2,700515.6059065,701186.9154029
1,0.249586899997666,unrelated,Erinnern,1,4,700525.6849995,701273.9305226
1,0.753714599995874,unrelated,Erinnern,1,4,700535.7188077,700995.9385104
1,0.397598200011998,unrelated,Erinnern,1,2,700546.0664007,701095.1128467
0,0.769779499969445,unrelated,,1,1,700556.2895074,701241.8394543
1,1.14291449997108,unrelated,Vergessen,2,3,700566.6534625,701071.6494152
1,1.05056310002692,unrelated,Erinnern,2,2,700577.3116892,700841.9943156
1,0.809979100013152,unrelated,Erinnern,4,3,700587.5460263,700770.595474
0,0.517027199966833,unrelated,Wissen,4,3,700598.146646,701225.7411272
1,0.423166900058277,unrelated,Erinnern,2,4,700608.242258,700923.6537867
