screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,1,9600.7205067
1,1,3,9605.1415105
1,1,2,9608.7079898
0,0,4,9612.0691985
0,0,4,9615.6218397
1,1,3,9619.0696042
1,1,2,9622.3010852
1,0,1,9625.8123006
1,1,3,9629.1328243
1,1,2,9632.6846774
1,0,1,9636.1720003
1,0,1,9639.4526432
1,1,2,9642.8113525
0,0,4,9646.100164
1,1,3,9649.4675294
0,0,4,9652.6430266
1,0,1,9656.1566069
0,0,4,9659.5083702
1,0,1,9662.8838728
1,1,3,9666.2276428
1,1,3,9669.4455478
1,1,2,9672.7800697
1,1,2,9676.108323
0,0,4,9679.3955368
1,0,1,9682.7554828
0,0,4,9686.0191373
1,1,2,9689.3390969
1,0,1,9692.7721152
0,0,4,9696.163434
1,1,2,9699.4912196
1,1,3,9702.9789069
1,1,3,9706.2919096
1,1,2,9709.6442158
0,0,4,9712.8433013
1,1,2,9716.1313636
1,1,3,9719.3306869
1,0,1,9722.5642327
0,0,4,9725.7314396
1,0,1,9729.1082033
1,1,3,9732.4193525
0,0,4,9743.5140295
1,1,2,9746.8114209
0,0,4,9750.2840352
1,0,1,9753.6680545
1,1,3,9756.9722829
1,0,1,9760.4198975
1,1,3,9763.6921469
1,1,2,9766.9872874
0,0,4,9770.2521078
1,1,3,9773.5551685
1,0,1,9776.8832025
1,0,1,9780.0601108
0,0,4,9783.4998999
1,1,3,9786.8357034
1,1,2,9790.0595293
1,1,2,9793.4354883
1,1,2,9796.6619327
1,0,1,9799.9234453
0,0,4,9803.3004268
1,1,3,9806.8037781
0,0,4,9810.1474922
1,1,3,9813.3290332
1,0,1,9816.5550948
1,1,2,9819.8764267
1,1,3,9823.3557108
1,1,3,9826.6119274
0,0,4,9829.8834924
1,0,1,9833.1841381
1,1,2,9836.4304887
0,0,4,9839.6075243
1,1,2,9842.8381694
1,0,1,9846.0605406
1,0,1,9849.3919271
1,1,3,9853.3953609
1,1,3,9856.8035237
1,1,2,9860.3234701
1,1,2,9863.5310263
0,0,4,9866.9315145
0,0,4,9870.6757818
1,0,1,9874.0599965
1,1,2,9883.9552711
1,0,1,9887.2751384
1,1,3,9890.4990113
1,1,2,9893.8119493
1,1,3,9897.1001753
1,0,1,9900.3060355
0,0,4,9903.5558294
0,0,4,9906.7794982
0,0,4,9910.2596486
1,1,2,9913.7800684
0,0,4,9917.0350285
1,0,1,9920.4838872
1,0,1,9923.8157946
1,1,3,9927.1076384
1,1,2,9930.3829518
1,1,3,9933.5953803
0,0,4,9936.8156156
1,0,1,9940.1314564
1,1,3,9943.4431121
1,1,3,9946.6748716
1,0,1,9949.8839842
1,1,2,9953.1912388
0,0,4,9956.3959819
1,1,2,9959.7793759
1,0,1,9962.9718797
1,1,3,9966.3628824
1,0,1,9969.6076954
0,0,4,9972.8200258
0,0,4,9976.074704
1,1,2,9979.2379935
1,1,3,9982.6748853
1,1,2,9985.9716665
1,0,1,9989.1296635
1,1,2,9992.2919755
1,1,3,9995.4754177
0,0,4,9998.6227922
1,0,1,10001.8529269
1,1,2,10005.1599215
0,0,4,10008.4231806
1,1,3,10011.6685334
