recalled,rt,semantics,confidence,enc_freq,ret_freq,enc_onset,ret_onset
1,0.558947699999408,unrelated,Erinnern,4,2,23194.9169442,24193.186402
1,0.542906200000289,unrelated,Erinnern,3,3,23206.0605572,24320.9741734
1,0.952929999999469,unrelated,Vergessen,2,2,23216.4102568,24170.255329
1,0.356439700000919,unrelated,Erinnern,1,3,23226.2694648,24350.0226838
0,0.770835799998167,unrelated,Wissen,4,4,23236.1839902,24069.3584202
1,0.529274900000019,unrelated,Erinnern,4,1,23245.6676893,24130.5410424
0,0.282575900000666,unrelated,Vergessen,2,3,23256.0736071,24378.4176698
1,0.780061999997997,unrelated,Wissen,3,3,23265.8383726,23985.0878517
1,1.61735240000053,unrelated,Vergessen,3,1,23275.507679,24036.3826814
1,0.942365200000495,related,Erinnern,3,4,23284.9453256,23969.3730354
1,2.44197050000002,unrelated,Vergessen,2,2,23294.6923916,23926.6354075
1,1.64901399999872,related,Wissen,3,1,23304.1730777,24121.819283
1,1.2616463000013,unrelated,Vergessen,1,4,23315.1821781,23977.0838147
1,1.9504495000001,unrelated,Vergessen,1,4,23324.7969802,23993.3259844
NaN,NaN,unrelated,Vergessen,4,4,23334.291612,23952.092804
1,0.756033699999534,unrelated,Erinnern,2,1,23343.7267321,24271.1014108
0,0.357216000000335,unrelated,Vergessen,3,2,23353.0866414,24231.6920646
0,1.85371719999966,unrelated,Vergessen,3,1,23362.4523392,24076.6686719
0,1.06894749999992,unrelated,Wissen,4,2,23372.018854,24356.7153746
1,0.72511139999915,unrelated,Erinnern,2,2,23381.6498405,24100.110387
1,1.09780909999972,unrelated,Erinnern,3,2,23391.1566357,24177.7063274
0,0.661723200002598,unrelated,Vergessen,1,3,23401.2381999,24137.544619
1,0.75582840000061,unrelated,Vergessen,2,4,23410.7236969,23935.9015344
0,2.18947130000015,unrelated,Vergessen,4,3,23420.0994888,24011.0233902
NaN,NaN,unrelated,Vergessen,1,1,23429.5463098,24144.7229933
1,0.377852199999325,unrelated,Vergessen,3,3,23439.0202197,24364.3029011
1,0.354406999998901,unrelated,Wissen,4,1,23448.450394,24307.5357477
0,0.380718399999751,unrelated,Vergessen,3,3,23457.9077013,24300.8028179
1,1.75098380000054,unrelated,Vergessen,3,1,23467.5115682,24084.9870927
1,1.30404460000136,unrelated,Vergessen,2,1,23477.0288341,24154.572227
0,1.99220399999831,unrelated,Vergessen,4,3,23486.9293924,24027.7902133
0,2.60999110000193,unrelated,Vergessen,2,3,23496.3886708,24001.9768768
1,0.572322399999393,unrelated,Wissen,3,4,23506.0007798,24060.868461
0,1.00324560000081,unrelated,Wissen,3,2,23515.8966009,24238.5582743
1,1.65329420000126,unrelated,Wissen,2,3,23525.6272509,23943.2456402
1,1.69141539999691,unrelated,Wissen,1,3,23535.3699439,24216.3655958
0,1.67039149999982,unrelated,Vergessen,2,1,23544.8927168,24278.3681293
1,1.35030480000205,unrelated,Vergessen,1,2,23554.7267205,24162.4905353
0,2.17987509999875,unrelated,Wissen,2,4,23564.3466398,24261.1974736
1,0.388470000001689,unrelated,Erinnern,1,3,23573.9353828,24254.3432705
0,2.78264080000008,unrelated,Vergessen,1,1,23583.5921311,23899.4645102
1,0.615988799996558,unrelated,Erinnern,4,4,23593.180481,24224.7148488
0,2.3493546000027,unrelated,Vergessen,3,2,23602.5987127,23917.4057498
1,0.407795799997984,unrelated,Erinnern,3,4,23612.246392,24093.2769015
