,memory_change,outlier
0,0.01833333333333328,0
1,0.010295126973232652,0
2,0.11166007905138338,0
3,0.030303030303030346,0
4,0.17654808959156784,0
5,-0.059999999999999984,0
6,-0.07070707070707079,0
7,-0.054298642533936646,0
8,0.05107526881720437,0
9,0.44230769230769224,0
10,0.09695290858725747,0
11,-0.1063829787234043,0
12,-0.06340579710144928,0
13,0.02001081665765277,3
14,-0.09247967479674805,3
15,0.2368421052631579,3
16,-0.010752688172043058,0
17,-0.08510638297872347,0
18,-0.042553191489361764,3
19,-0.13157894736842102,0
20,0.5,4
21,0.18999999999999995,0
22,0.12956810631229237,0
23,0.26315789473684204,0
24,0.025641025641025623,3
25,-0.030303030303030356,0
26,-0.010752688172043058,0
27,0.1164750957854406,0
28,0.11854103343465036,0
29,0.13709677419354846,0
30,-0.11408730158730158,0
31,0.05925925925925923,3
32,-0.05714285714285709,0
33,0.06493506493506482,3
34,0.10921985815602842,0
35,0.01449275362318847,0
36,0.2142857142857144,0
37,-0.705982905982906,4
38,-0.11449275362318846,3
39,0.16979362101313322,0
40,0.20243161094224915,3
41,0.14702380952380953,0
42,0.02702702702702693,0
43,0.23214285714285707,0
