screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,1,430430.9751084
1,1,3,430436.588866
1,1,2,430441.3246586
0,0,4,430445.3478434
0,0,4,430449.0211029
1,1,3,430452.6213274
1,1,2,430456.1560389
1,0,1,430459.6994809
1,1,3,430463.3009525
1,1,2,430466.9646233
1,0,1,430470.5879761
1,0,1,430474.108809
1,1,2,430477.6997979
0,0,4,430480.958822
1,1,3,430484.4918431
0,0,4,430488.0443796
1,0,1,430491.7967722
0,0,4,430495.3392025
1,0,1,430499.636634
1,1,3,430503.22784
1,1,3,430506.9396648
1,1,2,430510.5649451
1,1,2,430514.1486801
0,0,4,430517.6839313
1,0,1,430521.1801136
0,0,4,430524.8437549
1,1,2,430528.1433438
1,0,1,430531.764063
0,0,4,430535.3727454
1,1,2,430538.9082054
1,1,3,430542.7239974
1,1,3,430546.5005057
1,0,2,430549.9808196
0,0,4,430553.4684109
1,1,2,430556.9398969
1,1,3,430560.3391443
1,0,1,430563.8596743
0,0,4,430567.29318
1,0,1,430571.0917226
1,0,3,430574.7901839
0,0,4,430586.255979
1,1,2,430590.499909
0,0,4,430594.1235571
1,0,1,430597.7720177
1,1,3,430601.3314734
1,0,1,430604.9877092
1,1,3,430608.5397519
1,1,2,430612.2037422
0,0,4,430615.7004492
1,1,3,430620.356541
1,0,1,430624.5880192
1,0,1,430628.0206384
0,0,4,430631.6127027
1,1,3,430635.0766292
1,1,2,430638.7630043
1,1,2,430642.883041
1,1,2,430646.4116222
1,0,1,430649.9795636
0,0,4,430653.5551961
1,1,3,430657.1635957
0,1,4,430660.8363432
1,1,3,430664.4127557
1,0,1,430667.8936527
1,1,2,430671.5318098
1,1,3,430675.1963376
1,1,3,430678.8288457
0,0,4,430682.4678555
1,0,1,430686.2120265
1,1,2,430689.8043916
0,0,4,430693.2028615
1,1,2,430696.9553278
1,0,1,430700.4841001
1,0,1,430704.060526
1,1,3,430707.6361024
1,1,3,430711.2829765
1,1,2,430714.9238823
1,1,2,430718.4188534
0,0,4,430721.9715214
0,0,4,430725.587602
1,0,1,430729.7157249
1,1,2,430740.9906509
1,0,1,430744.5715779
1,1,3,430748.1560309
1,1,2,430751.7397689
1,1,3,430755.299659
1,0,1,430758.7878195
0,0,4,430762.4207445
0,0,4,430765.9647152
0,0,4,430769.6676015
1,1,2,430773.3084321
0,0,4,430776.7564255
1,0,1,430780.1724513
1,0,1,430783.8926734
1,1,3,430787.5079494
1,1,2,430791.1636317
1,1,3,430794.6598213
0,0,4,430798.2357762
1,0,1,430801.8124487
1,1,3,430805.3397133
1,1,3,430808.7879617
1,0,1,430812.2837634
1,1,2,430816.24437
0,0,4,430819.7643839
1,1,2,430823.4027375
1,0,1,430826.8442581
1,1,3,430830.4674456
1,0,1,430834.0362088
0,0,4,430837.5080797
0,0,4,430841.0366652
1,1,2,430844.5079938
1,1,3,430848.1079582
1,1,2,430851.476701
1,1,1,430854.938822
1,1,2,430858.4358758
1,1,3,430861.8934344
0,0,4,430865.3316785
1,0,1,430868.8670322
1,1,2,430872.6274584
0,0,4,430876.4035294
1,1,3,430879.9717121
