screenActuallyFlickers,ppThinksItFlickers,enc_onset
1,0,7154.5100849
1,1,7159.107477
1,1,7163.3148495
0,0,7167.1385858
0,0,7170.9712005
1,1,7174.620011
1,1,7178.243156
1,0,7181.850873
1,1,7185.5628598
1,1,7189.265792
1,0,7192.889624
1,0,7196.5614941
1,1,7200.3866329
0,0,7203.9544484
1,1,7207.802719
0,0,7211.3220026
1,0,7214.9619861
0,0,7218.7941173
1,0,7222.5769653
1,1,7226.1537255
1,1,7229.6898667
1,1,7233.2655933
1,1,7236.8503752
0,0,7240.3946759
1,0,7244.0580768
0,0,7247.9943757
1,1,7251.6990409
1,0,7255.3770018
0,0,7259.0182865
1,1,7262.6418778
1,1,7266.3068769
1,1,7269.8817173
1,1,7273.2186007
0,0,7276.7222534
1,1,7280.3297606
1,1,7283.7060357
1,0,7287.4824554
0,0,7291.2185225
1,0,7295.7455711
1,1,7299.3064382
0,0,7309.7618869
1,1,7313.4007023
0,0,7317.3288356
1,0,7320.9784745
1,1,7324.6423466
1,0,7328.330336
1,1,7331.9144172
1,1,7335.5132882
0,0,7339.1217139
1,1,7343.3703317
1,0,7347.0659118
1,0,7351.2981808
0,0,7355.0580804
1,1,7358.5534164
1,1,7362.0989594
1,1,7365.8182758
1,1,7369.4967594
1,0,7373.1534127
0,0,7376.8261092
1,1,7380.4665061
0,0,7384.1620187
1,1,7387.7377288
1,0,7391.3457427
1,1,7395.1616838
1,1,7398.914273
1,1,7402.3862911
0,0,7406.049976
1,0,7409.5525597
1,1,7413.1700292
0,0,7416.6896156
1,1,7420.0094196
1,0,7424.3925757
1,0,7427.7569973
1,1,7432.3132452
1,1,7436.2649825
1,1,7439.5787358
1,1,7443.208853
0,0,7446.6505406
0,0,7450.4249114
1,0,7454.0170108
1,1,7463.8378467
1,0,7467.7291011
1,1,7471.6731453
1,1,7475.4334795
1,1,7479.0971042
1,0,7482.7055792
0,0,7487.2653988
0,0,7490.8252964
0,0,7495.1128728
1,1,7498.9048812
0,0,7502.6819117
1,0,7506.3063155
1,0,7509.8899837
1,1,7513.6162871
1,1,7517.3521352
1,1,7521.0175611
0,0,7524.6498942
1,0,7528.6168277
1,1,7532.4412788
1,1,7535.8811519
1,0,7539.1520784
1,1,7542.5137577
0,0,7545.7613597
1,1,7549.4099405
1,0,7552.9058227
1,1,7556.4969673
1,0,7560.3041283
0,0,7563.9063825
0,0,7567.5938102
1,1,7570.9853272
1,1,7574.7927353
1,1,7578.1529773
1,0,7581.44073
1,1,7584.9529855
1,1,7588.4735765
0,0,7591.9124567
1,0,7595.504938
1,1,7599.3610404
0,0,7603.1689309
1,1,7606.9211042
