screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,1,1042910.3581472
1,1,3,1042916.2983834
1,1,2,1042919.8747185
0,0,4,1042923.4502999
0,0,4,1042926.730325
1,1,3,1042930.2679326
1,1,2,1042933.7709711
1,0,1,1042937.2908412
1,1,3,1042940.9138545
1,1,2,1042944.5306668
1,0,1,1042948.1544002
1,0,1,1042951.6188508
1,1,2,1042955.5533851
0,0,4,1042959.1214234
1,1,3,1042962.6901733
0,0,4,1042966.2015543
1,0,1,1042970.3865617
0,0,4,1042973.8576693
1,0,1,1042977.3856324
1,1,3,1042980.6584446
1,1,3,1042984.2581249
1,1,2,1042987.5781024
1,1,2,1042991.1225522
0,0,4,1042994.6576698
1,0,1,1042998.169957
0,0,4,1043001.7780093
1,1,2,1043005.354284
1,0,1,1043008.9941056
0,0,4,1043012.5854979
1,1,2,1043016.068227
1,1,3,1043019.9697464
1,1,3,1043023.4741756
1,1,2,1043026.8895225
0,0,4,1043030.3545009
1,1,2,1043033.8183494
1,1,3,1043037.4902825
1,0,1,1043040.9627532
0,0,4,1043044.3457688
1,0,1,1043047.6433954
1,1,3,1043051.1141288
0,0,4,1043062.0141052
1,1,2,1043065.5540264
0,0,4,1043069.1541748
1,0,1,1043072.7864243
1,1,3,1043076.2976593
1,0,1,1043079.8660511
1,1,3,1043083.4336145
1,1,2,1043086.9449664
0,0,4,1043090.4976572
1,1,3,1043094.0248741
1,0,1,1043097.5464727
1,0,1,1043101.0340497
0,0,4,1043105.0976691
1,1,3,1043108.5461813
1,1,2,1043111.8414776
1,1,2,1043115.432757
1,1,2,1043119.1865067
1,0,1,1043122.8184804
0,0,4,1043126.4008092
1,1,3,1043130.0652017
0,0,4,1043133.6817331
1,1,3,1043137.1943786
1,0,1,1043140.9536408
1,1,2,1043144.8095985
1,1,3,1043148.3936757
1,1,3,1043152.0500365
0,0,4,1043155.3462376
1,0,1,1043158.6734641
1,1,2,1043162.7140618
0,0,4,1043166.994344
1,1,2,1043170.5695242
1,0,1,1043174.0822
1,0,1,1043177.7061657
1,1,3,1043181.2582725
1,1,3,1043184.6260858
1,1,2,1043188.3220577
1,1,2,1043191.8018212
0,0,4,1043195.3305594
0,0,4,1043198.8815802
1,0,1,1043202.0662476
1,1,2,1043217.1336306
1,0,1,1043220.7150595
1,1,3,1043224.2339446
1,1,2,1043227.8903219
1,1,3,1043231.5854576
1,0,1,1043235.2418749
0,0,4,1043238.7377802
0,0,4,1043242.2492581
0,0,4,1043245.8576941
1,1,2,1043249.410293
0,0,4,1043252.9216627
1,0,1,1043256.4982425
1,0,1,1043260.113596
1,1,3,1043263.7140984
1,1,2,1043267.3701656
1,1,3,1043271.0663964
0,0,4,1043274.4029684
1,0,1,1043277.9373554
1,1,3,1043281.4656753
1,1,3,1043284.6663209
1,0,1,1043288.1549855
1,1,2,1043291.6741572
0,0,4,1043294.8813764
1,1,2,1043298.4669617
1,0,1,1043301.921196
1,1,3,1043305.4732368
1,0,1,1043308.7776178
0,0,4,1043312.2494377
0,0,4,1043315.697482
1,1,2,1043319.322702
1,1,3,1043322.8653896
1,1,2,1043326.2733752
1,0,1,1043329.7536154
1,1,2,1043333.2008419
1,1,3,1043336.713973
0,0,4,1043340.1531035
1,0,1,1043343.4014737
1,1,2,1043346.7787447
0,0,4,1043350.2894886
1,1,3,1043353.8012912
