screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,NaN,1,1049733.6990908
1,1,3,1049739.4478344
1,1,2,1049743.6196282
0,0,4,1049747.4834537
0,1,4,1049751.3482206
1,1,3,1049754.9063289
1,1,2,1049758.460364
1,1,1,1049762.0025502
1,1,3,1049765.6570399
1,1,2,1049769.4975089
1,1,1,1049773.1462356
1,1,1,1049776.9460031
1,1,2,1049780.5533313
0,0,4,1049784.2738444
1,1,3,1049788.1063425
0,0,4,1049791.874355
1,0,1,1049795.6666618
0,0,4,1049799.1784338
1,0,1,1049804.0095073
1,1,3,1049807.6503532
1,1,3,1049811.1936695
1,1,2,1049814.6985684
1,1,2,1049818.2984336
0,0,4,1049821.8342949
1,0,1,1049825.3458236
0,0,4,1049828.8585273
1,1,2,1049832.5545825
1,0,1,1049836.2496068
0,0,4,1049839.8815598
1,1,2,1049843.4101027
1,1,3,1049847.0021096
1,1,3,1049850.658377
1,1,2,1049854.0664031
0,0,4,1049857.5053106
1,1,2,1049861.0336386
1,1,3,1049864.6257526
1,0,1,1049868.1382943
0,0,4,1049871.6416919
1,0,1,1049875.1857799
1,1,3,1049878.7380484
0,0,4,1049890.8360743
1,1,2,1049895.2661366
0,0,4,1049899.000993
1,0,1,1049902.6342617
1,1,3,1049906.1776546
1,0,1,1049909.7863033
1,1,3,1049913.3224878
1,1,2,1049916.8740683
0,0,4,1049920.3460878
1,1,3,1049923.8983116
1,0,1,1049927.4982677
1,0,1,1049930.9137858
0,0,4,1049934.473815
1,1,3,1049937.8892744
1,1,2,1049941.5137673
1,1,2,1049945.0983177
1,1,2,1049948.546333
1,0,1,1049952.1126959
0,0,4,1049955.7295195
1,1,3,1049959.3937013
0,0,4,1049963.0424213
1,1,3,1049966.818338
1,0,1,1049970.3222033
1,1,2,1049974.0096044
1,1,3,1049977.802554
1,1,3,1049981.3376381
0,0,4,1049984.9137657
1,0,1,1049988.954868
1,1,2,1049992.6494912
0,0,4,1049996.1777392
1,1,2,1049999.913663
1,0,1,1050003.6099754
1,0,1,1050007.5207525
1,1,3,1050011.1698894
1,1,3,1050014.9304906
1,1,2,1050018.4662533
1,1,2,1050021.9783727
0,0,4,1050025.5134438
0,0,4,1050029.0983672
1,0,1,1050032.6573046
1,1,2,1050043.4023983
1,0,1,1050047.3456175
1,1,3,1050051.0414448
1,1,2,1050054.6421147
1,1,3,1050058.2201929
1,0,1,1050061.7057728
0,0,4,1050065.2010512
0,0,4,1050068.8254543
0,0,4,1050072.392914
1,1,2,1050075.9452318
0,0,4,1050079.4892515
1,0,1,1050083.0812139
1,0,1,1050086.7062402
1,1,3,1050090.2898902
1,1,2,1050093.8975869
1,1,3,1050097.317492
0,0,4,1050100.8254601
1,0,1,1050104.3064835
1,1,3,1050107.874091
1,1,3,1050111.2896779
1,0,1,1050114.7698353
1,1,2,1050118.313444
0,0,4,1050121.7455657
1,1,2,1050125.3056837
1,0,1,1050128.754426
1,1,3,1050132.2579222
1,0,1,1050135.7537028
0,0,4,1050139.2731711
0,0,4,1050142.7861688
1,1,2,1050146.2012175
1,1,3,1050149.7378018
1,1,2,1050153.2725785
1,0,1,1050156.7219635
1,1,2,1050160.2581632
1,1,3,1050163.7778517
0,0,4,1050167.1935582
1,0,1,1050170.7132693
1,1,2,1050174.2659051
0,0,4,1050177.7778516
1,1,3,1050181.2900557
