screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,NaN,1,107675.8482588
1,1,3,107681.6291714
1,1,2,107685.8576484
0,0,4,107689.5853103
0,0,4,107693.2188255
1,1,3,107697.1297043
1,1,2,107700.7147956
1,0,1,107704.0257997
1,1,3,107707.9532361
1,1,2,107711.7044725
1,0,1,107715.329562
1,0,1,107719.2727578
1,1,2,107722.9693492
0,0,4,107726.7850497
1,1,3,107730.8005245
0,0,4,107734.7368863
1,0,1,107739.4411328
0,0,4,107744.1050613
1,0,1,107747.7527165
1,1,3,107752.1127174
1,1,3,107756.7611401
1,1,2,107760.6727115
1,1,2,107765.0890188
0,0,4,107768.8408417
1,0,1,107772.4494583
0,0,4,107776.2564437
1,1,2,107781.5126211
1,0,1,107785.361331
0,0,4,107790.0974598
1,1,2,107794.1696626
1,1,3,107798.5603742
1,1,3,107802.3206601
1,1,2,107805.8569052
0,0,4,107809.4732114
1,1,2,107813.2647418
1,1,3,107817.0570547
1,0,1,107820.6003856
0,0,4,107824.9530543
1,0,1,107828.6249379
1,1,3,107832.3933931
0,1,4,107843.7207926
1,1,2,107849.1615598
0,0,4,107853.8647613
1,0,1,107857.5853985
1,1,3,107861.2889766
1,0,1,107865.4967342
1,1,3,107870.2729165
1,1,2,107874.0410996
0,0,4,107877.7292188
1,1,3,107881.4569396
1,0,1,107885.6255878
1,0,1,107890.057013
0,0,4,107894.4006763
1,1,3,107898.5690116
1,1,2,107903.1770655
1,1,2,107907.4401038
1,NaN,2,107911.8573499
1,0,1,107917.6539399
0,0,4,107921.1367346
1,0,3,107925.6249076
0,0,4,107930.0251788
1,1,3,107935.8974516
1,0,1,107939.4814314
1,1,2,107944.5121165
1,1,3,107948.6817658
1,1,3,107952.8089244
0,0,4,107956.2731252
1,0,1,107960.0967927
1,1,2,107963.8806246
0,0,4,107967.7288205
1,0,2,107971.5606302
1,0,1,107975.8896098
1,0,1,107979.5361686
1,0,3,107983.1845407
1,1,3,107987.5690605
1,1,2,107991.1681038
1,1,2,107994.9286206
0,0,4,107998.5207955
0,0,4,108002.2174133
1,0,1,108005.4651322
1,1,2,108015.6995783
1,0,1,108019.0647551
1,1,3,108022.7694866
1,1,2,108026.7362376
1,1,3,108030.6259742
1,1,1,108033.8799602
0,0,4,108038.1289467
0,0,4,108041.945482
0,0,4,108045.424877
1,1,2,108048.8092284
0,0,4,108052.4737969
1,0,1,108056.4974004
1,0,1,108060.2178255
1,1,3,108064.0491567
1,1,2,108067.7847873
1,1,3,108071.1375832
0,0,4,108074.720788
1,0,1,108078.7534633
1,1,3,108082.3696898
1,1,3,108085.8172305
1,0,1,108089.0806166
1,1,2,108092.8652412
0,0,4,108096.5369938
1,1,2,108100.2000192
1,0,1,108103.5443843
1,1,3,108107.3286325
1,0,1,108112.0088711
0,0,4,108115.6656356
0,0,4,108119.3286089
1,1,2,108123.0247352
1,1,3,108126.8331098
1,1,2,108130.5457033
1,0,1,108133.8176421
1,1,2,108137.5216453
1,1,3,108141.4252648
0,0,4,108146.8332548
1,0,1,108151.6807489
1,1,2,108155.4014503
0,0,4,108159.0894965
1,1,3,108162.6971285
