screenActuallyFlickers,ppThinksItFlickers,flicker_condition,enc_onset
1,0,1,6083.0440894
1,1,3,6087.9349578
1,1,2,6091.6616743
0,0,4,6095.4464266
0,0,4,6099.1521969
1,1,3,6102.8564784
1,1,2,6106.3903918
1,0,1,6110.0553013
1,1,3,6113.9824124
1,1,2,6117.8385701
1,0,1,6121.438087
1,0,1,6125.0225803
1,1,2,6128.7030118
0,0,4,6132.2296362
1,1,3,6135.5662689
0,0,4,6139.1826144
1,0,1,6142.7901919
0,0,4,6146.4951332
1,0,1,6150.0786908
1,1,3,6153.7818971
1,1,3,6157.7825018
1,1,2,6161.3422391
1,1,2,6164.6627041
0,0,4,6167.9588994
1,0,1,6171.4549453
0,0,4,6175.0870674
1,1,2,6178.8540125
1,0,1,6182.3580894
0,0,4,6185.7109901
1,1,2,6188.9674913
1,1,3,6192.5741495
1,1,3,6196.1581626
1,1,2,6199.5179976
0,0,4,6202.941904
1,1,2,6206.133857
1,1,3,6209.6531857
1,0,1,6213.1824025
0,0,4,6216.5101247
1,0,1,6220.6303547
1,1,3,6223.9182544
0,0,4,6236.6328662
1,1,2,6240.334504
0,0,4,6244.1182296
1,0,1,6247.5495029
1,1,3,6251.3914265
1,0,1,6255.1352411
1,1,3,6258.558189
1,1,2,6262.1338613
0,0,4,6265.5824718
1,1,3,6269.1341908
1,0,1,6272.8866863
1,0,1,6276.4946409
0,0,4,6280.1498629
1,1,3,6283.6380327
1,1,2,6287.0698206
1,1,2,6290.4377785
1,1,2,6293.7349421
1,0,1,6297.0380148
0,0,4,6300.3899364
1,1,3,6303.9107234
0,0,4,6307.3492371
1,1,3,6310.5583378
1,0,1,6314.3332505
1,1,2,6317.8865796
1,1,3,6321.4218133
1,1,3,6324.9261374
0,0,4,6328.286923
1,0,1,6332.0064865
1,1,2,6335.5823778
0,0,4,6339.0703769
1,1,2,6342.3751255
1,0,1,6345.7017649
1,0,1,6349.1188742
1,1,3,6352.7417772
1,1,3,6356.3178547
1,1,2,6359.973047
1,1,2,6363.2938438
0,0,4,6366.6218116
0,0,4,6370.1900299
1,0,1,6373.7262267
1,1,2,6390.2739365
1,0,1,6393.766182
1,1,3,6397.3903598
1,1,2,6400.9494125
1,1,3,6404.3981832
1,0,1,6407.8944709
0,0,4,6411.4459288
0,0,4,6414.8707916
0,0,4,6418.4302062
1,1,2,6422.1105885
0,0,4,6425.6538819
1,0,1,6429.3262821
1,0,1,6432.9900783
1,1,3,6436.6851544
1,1,2,6440.3418983
1,1,3,6444.3672091
0,0,4,6447.9023178
1,0,1,6451.6302912
1,1,3,6455.1097589
1,1,3,6458.5977739
1,0,1,6462.2464994
1,1,2,6465.934031
0,0,4,6469.3342449
1,1,2,6473.1827473
1,0,1,6476.7109346
1,1,3,6480.3425359
1,0,1,6483.9419182
0,0,4,6487.4060446
0,0,4,6491.1259329
1,1,2,6494.5904458
1,1,3,6498.0937435
1,1,2,6501.5729344
1,0,1,6505.0225669
1,1,2,6508.5672599
1,1,3,6511.8694866
0,0,4,6515.3256344
1,0,1,6518.8616943
1,1,2,6522.454743
0,0,4,6525.9570791
1,1,3,6529.6133178
