task,correct,enc_freq,enc_onset
WM,1,4,13688.1116040624
WM,1,1,13697.5115689118
WM,1,1,13706.2577268494
WM,1,4,13715.4731005494
WM,1,1,13723.7807991435
WM,1,2,13732.6423384812
WM,1,2,13741.5576885812
WM,1,2,13750.3884663929
WM,1,3,13759.3192381306
WM,1,4,13768.0346199929
WM,1,4,13776.642303787
WM,1,2,13785.1115314929
WM,1,1,13793.7499920929
DM,0,1,13802.3269095306
WM,1,4,13810.6269124682
WM,1,2,13819.6345846741
WM,1,2,13828.5807511059
DM,1,3,13837.4730379494
DM,1,4,13846.1192233624
DM,1,2,13855.0576513929
WM,1,3,13864.0884207306
DM,1,4,13872.8345629306
WM,1,1,13881.6653302929
DM,1,4,13890.1345527306
DM,1,1,13899.0730134494
DM,1,3,13908.1191568553
DM,1,1,13917.1730021117
WM,1,1,13926.1652978929
WM,1,2,13935.4422310682
DM,1,1,13943.7345219494
WM,1,4,13952.5191388494
WM,1,3,13961.1268257871
WM,1,2,13970.1652842929
WM,1,3,13978.7421956306
DM,1,1,13987.6191261306
WM,1,3,13996.4498847118
WM,1,3,14005.2498778117
WM,1,1,14014.0191239435
DM,1,3,14022.4652544494
DM,1,2,14031.7037128871
DM,1,1,14040.1960241494
WM,1,1,14048.9652426117
WM,1,2,14057.5883223306
WM,1,1,14066.1806147553
WM,1,1,14074.8344617553
WM,0,3,14084.0190778682
WM,1,2,14092.7421485494
WM,1,1,14101.2498415871
DM,1,2,14109.5421228553
WM,1,2,14118.7267499682
DM,1,2,14127.5421244553
WM,1,4,14136.1959725306
WM,1,4,14145.0805713929
WM,1,3,14153.5267225494
WM,1,3,14162.9498074059
WM,1,2,14171.6036497682
WM,1,4,14180.3728674682
DM,0,3,14189.0267014929
WM,1,3,14197.9113109741
DM,1,4,14206.4190168682
WM,1,3,14215.2189981364
WM,1,2,14223.5574565929
WM,1,4,14232.1959254871
WM,1,3,14241.5112899929
WM,1,4,14803.4802380682
DM,1,1,14812.3879259117
WM,1,3,14821.4956077306
WM,1,2,14829.8110001871
WM,1,3,14838.4417604117
WM,1,4,14846.8186745741
DM,1,4,14855.1417489682
DM,1,1,14863.9725239494
WM,1,3,14872.8186767624
WM,1,4,14881.2186639306
WM,1,3,14889.8109722682
WM,1,3,14898.5340425118
DM,1,1,14907.3032656682
WM,1,1,14915.8109498494
DM,1,4,14924.8878702117
WM,1,3,14933.6417067929
WM,1,1,14942.7724744494
WM,1,3,14951.0493893929
WM,1,4,14959.5724717929
WM,1,4,14968.0878424494
WM,1,2,14976.5647623553
DM,1,2,14984.9186148494
WM,1,3,14993.1878334118
WM,1,3,15001.3955272494
WM,1,3,15009.8109001306
WM,1,2,15018.1339788306
WM,1,4,15026.9339703871
DM,1,1,15035.7185824682
WM,1,4,15044.6647313306
DM,0,2,15053.3185687741
WM,1,4,15061.5262576306
DM,0,4,15070.2108735306
WM,1,3,15078.6185732435
WM,1,3,15087.3800991624
DM,1,3,15096.2954723494
WM,1,1,15104.9185459682
WM,1,4,15113.3031632812
DM,1,3,15121.6416208812
DM,1,2,15130.4262329871
DM,1,4,15138.9492952306
DM,1,4,15147.8492845741
WM,1,1,15156.5185164306
WM,1,2,15165.1108207118
WM,1,2,15173.5877366741
WM,1,1,15182.2492847682
DM,1,2,15191.0338822306
DM,1,3,15199.7031128682
WM,1,1,15208.4723371682
WM,1,1,15217.2415691494
WM,1,2,15225.7031058435
WM,1,3,15234.1954039494
DM,1,3,15242.9492347741
DM,1,3,15251.7030828741
WM,1,1,15260.4107716494
WM,1,4,15268.9799950741
WM,1,2,15277.3492168553
DM,1,2,15286.3569123118
DM,0,4,15294.903060687
DM,1,4,15304.7569077306
WM,1,4,15313.4184350682
DM,1,4,15321.7338110929
WM,1,3,15330.5030372929
WM,1,4,15339.0338063306
DM,1,3,15347.3030408306
WM,1,2,15892.2796818435
WM,1,2,15901.0026046812
WM,1,1,15909.6257768812
DM,1,2,15918.6027005812
DM,1,3,15927.3333735812
DM,1,4,15935.8334007812
WM,1,3,15944.4258070812
WM,1,4,15952.8411903435
WM,1,1,15961.5412035812
WM,1,4,15969.8332841812
DM,1,2,15978.1334725365
DM,1,1,15986.8257896494
WM,1,1,15995.3488532494
WM,1,4,16004.1334591365
DM,1,1,16012.6180780682
DM,1,3,16021.3488431059
WM,1,2,16029.9796188247
WM,1,3,16038.2026842494
DM,1,1,16046.5180681682
DM,1,3,16055.0026806682
WM,1,2,16063.5411274117
WM,1,3,16071.8795823117
WM,1,4,16080.3949790682
WM,1,4,16088.7103464494
WM,1,4,16096.9718788929
WM,1,2,16105.7565238247
WM,1,3,16114.5026435929
WM,1,2,16123.7180158306
DM,1,3,16132.0257060741
WM,1,2,16140.5333927494
DM,1,2,16149.1795419741
DM,1,1,16157.6718554682
WM,1,1,16166.2641519306
DM,1,1,16175.125684487
WM,1,2,16183.7180041117
WM,1,2,16191.9949228682
DM,1,3,16200.3410622682
WM,1,1,16209.0641372306
WM,1,1,16217.4025960306
WM,1,2,16225.7564306306
WM,1,1,16234.3795111682
WM,1,4,16242.6948924059
DM,1,2,16251.2564216871
DM,1,3,16260.0564217247
WM,1,1,16268.7948625929
WM,1,1,16277.0948642117
WM,1,4,16285.7179330306
WM,1,1,16294.2794817682
DM,1,2,16304.0256218871
WM,1,4,16312.4717771494
DM,1,4,16321.0486965494
DM,1,1,16330.1871475306
WM,1,1,16338.7486873682
WM,1,3,16347.1948385247
WM,1,2,16355.5948190117
WM,1,2,16364.2486733306
DM,1,4,16372.7486647494
WM,0,1,16381.5255878871
DM,1,2,16390.4101879494
WM,1,4,16398.8255838871
DM,1,2,16407.4178749494
WM,1,1,16416.0717271682
DM,1,4,16424.6024797741
WM,1,3,16433.0793992494
