task,correct,enc_freq,enc_onset
WM,1,2,23434.7743126487
WM,1,2,23444.0435258109
DM,0,1,23452.7127421811
DM,0,1,23461.1973467243
WM,1,1,23469.8665558865
DM,0,3,23478.4742238487
WM,1,3,23487.1126703811
DM,1,4,23495.4357467433
DM,0,4,23504.2049533865
DM,1,3,23512.7433930676
WM,1,2,23521.2433838676
WM,1,3,23529.966442092
DM,0,1,23538.4895052243
DM,1,2,23547.1279555622
WM,1,1,23555.5663891298
DM,1,2,23564.1202167811
WM,1,3,23572.474050992
DM,0,3,23581.0201913676
WM,1,4,23589.4201959811
DM,1,2,23597.7586183541
DM,1,2,23606.2047908622
WM,1,1,23614.5355243433
WM,1,4,23622.7970448243
WM,1,2,23631.0816503811
DM,0,2,23639.3354805054
WM,1,1,23647.758532992
WM,1,4,23656.2662015298
WM,1,2,23664.5892678298
WM,1,2,23673.2584848298
WM,1,1,23681.5661586298
DM,0,4,23689.8200080865
DM,0,3,23698.089201492
WM,1,4,23706.4122697676
DM,0,2,23714.6507455433
DM,0,4,23722.9045427811
DM,0,3,23731.0968562054
WM,1,2,23739.3045290433
DM,0,1,23747.5275503811
WM,1,2,23755.7197933811
WM,1,2,23764.0120711811
WM,1,3,23772.2198193811
WM,1,1,23780.6044438811
WM,1,2,23789.0044392054
WM,1,4,23797.3044028811
WM,1,2,23805.4196720811
DM,0,3,23813.4043066811
DM,0,2,23821.7582288433
WM,1,3,23829.804347692
WM,1,2,23837.9812656243
DM,0,2,23846.1197088243
WM,1,1,23854.4427742487
WM,1,2,23862.6504416811
WM,1,4,23870.8119827622
DM,0,1,23878.9888859054
WM,1,4,23887.4350135298
WM,1,3,23896.2350298433
DM,0,3,23904.6042138054
WM,1,2,23912.7811328676
WM,1,4,23920.7965031622
DM,0,1,23929.0349425243
WM,1,2,23937.1810843676
WM,1,3,23945.2579827109
DM,0,3,23953.4041350433
WM,1,2,23961.4349114622
WM,1,2,24494.8185301811
WM,1,3,24502.9877423865
DM,1,3,24511.1800294243
DM,0,4,24519.3261697054
WM,1,3,24527.7107695811
WM,1,1,24535.9338376487
WM,1,4,24544.156892892
WM,1,2,24552.3030587622
DM,1,1,24560.6491804865
WM,1,1,24568.8876164487
WM,1,4,24577.2722257622
DM,0,2,24585.2875913298
WM,1,3,24593.3567945109
WM,1,3,24601.5952412298
WM,1,3,24609.8644659298
WM,1,4,24618.0721450811
WM,1,1,24626.3490649811
WM,1,3,24634.5721055731
WM,1,3,24642.7490441811
WM,1,4,24650.9413360622
DM,0,1,24659.0336112243
DM,1,4,24667.1335842811
WM,1,1,24675.2412705487
WM,1,3,24683.6566412298
DM,0,4,24691.7718830811
WM,1,1,24699.7566121676
WM,1,1,24708.0104671865
WM,1,1,24716.1258014298
WM,1,1,24724.171938192
DM,0,4,24732.3181051865
WM,1,3,24740.4719229298
DM,0,3,24748.5872898054
DM,1,1,24756.5872949865
WM,1,1,24764.7026411487
WM,1,3,24772.7180100109
WM,1,3,24780.9257014054
WM,1,2,24789.0025990433
WM,1,4,24797.010273992
WM,1,4,24805.1025679298
WM,1,4,24813.164082192
DM,1,2,24821.2256150298
WM,1,1,24829.3563705487
DM,0,2,24837.487128173
WM,1,4,24845.6947959487
WM,1,1,24853.8870948487
WM,1,1,24861.9178496109
DM,0,2,24870.0947643865
WM,1,2,24878.1870449109
WM,1,3,24886.6177957731
WM,1,2,24894.617785692
DM,0,4,24902.687000792
WM,1,1,24910.7485307433
DM,0,4,24918.8408201109
WM,1,4,24926.8254243109
DM,0,1,24934.8946479676
DM,0,1,24943.0330686811
DM,0,1,24951.133065692
WM,1,4,24959.2099797243
DM,0,4,24967.3561157109
DM,1,4,24975.4637970676
WM,1,2,24983.6099627243
WM,0,2,24991.8637802622
WM,1,2,25000.6329855109
WM,1,3,25008.7637420811
DM,0,1,25572.8242524811
DM,0,3,25581.4165425054
WM,1,2,25589.7395124811
DM,1,4,25597.8165065243
WM,1,2,25605.8164878298
WM,1,4,25613.816464492
WM,1,4,25622.0933886487
WM,1,1,25630.1087465298
DM,0,3,25638.1702866054
WM,1,4,25646.331801092
DM,0,2,25654.4779333298
DM,0,4,25662.5086934676
WM,1,3,25670.5702218541
WM,1,1,25678.6394257487
WM,1,3,25686.6547968298
WM,1,3,25694.8470090811
WM,1,2,25702.7778367541
WM,1,4,25710.9855388811
DM,0,4,25718.9239756109
WM,1,3,25726.9547322243
WM,1,1,25735.0547377433
WM,1,1,25743.3239264298
WM,1,2,25751.2624018865
WM,1,1,25759.3085232622
WM,1,4,25767.3700444622
WM,1,4,25775.323874692
WM,1,3,25783.339230173
DM,1,1,25791.3699950109
DM,0,1,25799.5161280298
WM,1,4,25807.439195892
WM,1,3,25815.6622720622
WM,1,1,25823.800703892
WM,1,3,25831.7545443433
WM,1,3,25839.9929879054
DM,0,3,25848.062196573
WM,1,1,25856.0467996676
DM,0,2,25864.362164673
WM,1,3,25872.331384792
WM,1,4,25880.3775384811
WM,1,3,25888.3313614298
