task,correct,enc_freq,enc_onset
WM,1,2,72290.3277855352
DM,1,4,72299.7123643446
DM,1,4,72308.4662006093
DM,1,3,72317.358517987
WM,1,3,72326.6046198964
WM,1,3,72336.5892153964
WM,1,1,72345.5045846611
WM,1,1,72354.3045469093
WM,1,1,72363.0891449352
DM,0,1,72371.8045019835
DM,1,4,72380.7352420058
WM,1,3,72389.3121599611
WM,1,1,72397.7582965093
DM,0,3,72405.9505896223
DM,1,1,72414.7197911835
WM,1,2,72423.4736060705
DM,1,4,72433.1812785575
WM,1,3,72442.2735737964
DM,1,2,72450.5581632835
WM,1,1,72459.2504504835
DM,0,2,72467.6119694964
DM,0,1,72475.9965577575
WM,1,2,72484.2734661835
WM,1,3,72492.4119099705
DM,0,2,72500.927256087
DM,0,4,72509.019576087
WM,1,1,72517.2118501446
DM,0,3,72525.4195263741
,NaN,4,72533.4579630705
WM,1,3,72543.8502335316
WM,1,2,72553.7579056187
WM,1,2,72564.4963635964
DM,1,2,72573.4424859964
DM,1,3,72582.7039969834
WM,1,1,72591.9808911964
WM,1,2,72601.1347179835
DM,1,4,72609.7423976093
WM,1,4,72618.4808297964
WM,1,3,72627.6500487964
WM,1,2,72636.5577139705
WM,1,2,72645.8423075705
DM,1,3,72654.4961340964
WM,1,2,72663.5499617964
WM,1,1,72672.2576326964
WM,1,1,72681.9345334964
DM,1,1,72690.4345147741
WM,1,1,72699.2114160353
WM,1,3,72708.3344562835
DM,1,4,72716.4498306964
WM,1,1,72725.5805701964
WM,1,2,72734.434408387
DM,0,1,72743.1805400093
WM,1,1,72752.4651316223
WM,1,2,72760.7804803705
DM,0,3,72769.6804610964
WM,1,1,72779.3265988611
WM,1,1,72788.2573480835
WM,1,1,72798.1111641834
WM,1,1,72806.7649947093
DM,1,3,72815.8034314482
WM,1,3,72825.4264841705
DM,1,1,72834.1264688834
WM,1,2,72843.1341423964
WM,1,3,72852.095633687
WM,1,4,73420.0481152964
WM,1,3,73429.4711793964
WM,1,2,73438.4173061093
WM,1,3,73447.2480569834
DM,1,4,73455.8711025446
WM,1,2,73464.4480057705
WM,1,2,73474.0941428446
WM,1,3,73482.3325923964
WM,1,4,73491.2017895964
DM,1,4,73499.1325542223
WM,1,4,73508.3325136446
DM,1,2,73516.7632666705
WM,1,3,73526.2863225964
WM,1,3,73534.5247727964
WM,0,2,73542.8939689575
WM,0,1,73551.4093426223
WM,1,2,73560.0785555834
