task,correct,enc_freq,enc_onset
WM,1,4,275904.849891284
WM,1,1,275914.549852406
WM,1,4,275924.103690819
DM,0,3,275932.980517684
WM,1,2,275941.780563884
WM,1,2,275950.711301884
DM,1,4,275959.334347535
DM,1,3,275968.503553935
WM,1,2,275978.449678619
DM,1,3,275987.157370319
WM,1,2,275996.241936438
DM,0,4,276005.334208338
WM,1,2,276014.903414638
DM,1,1,276023.811082671
DM,1,3,276032.695678851
WM,1,1,276042.226430451
WM,1,3,276051.287929219
WM,1,3,276060.464835154
WM,1,3,276069.218654803
WM,1,2,276077.457092938
WM,1,1,276086.849371019
WM,1,1,276096.326271254
WM,1,1,276105.703176235
WM,1,3,276114.833918151
WM,1,4,276124.149271319
WM,1,1,276132.503081222
,NaN,1,276142.295349984
WM,1,4,276152.626117151
WM,1,4,276162.226086151
DM,1,2,276171.572206738
DM,1,4,276180.418342054
DM,1,2,276189.841393287
WM,1,3,276198.75673689
DM,1,2,276208.149026438
WM,1,1,276217.318246187
WM,1,1,276225.672043673
DM,1,1,276234.033582319
WM,1,2,276242.933544203
DM,1,4,276251.664296171
WM,1,2,276260.356570687
WM,1,4,276268.864248535
WM,1,4,276278.194992171
WM,1,1,276287.187278568
DM,1,2,276296.448776254
WM,1,3,276305.494914151
DM,1,4,276314.148681484
WM,1,4,276323.110237138
WM,1,4,276331.648678938
WM,1,3,276340.610195738
WM,1,3,276349.540945587
DM,1,3,276358.256303871
DM,1,1,276367.779351271
WM,1,1,276376.402398087
DM,1,4,276385.217765471
DM,1,1,276393.940790284
WM,1,2,276403.186935554
DM,1,4,276411.648460635
WM,1,4,276420.163809522
WM,1,3,276428.725332651
WM,1,1,276438.502233868
WM,1,4,276447.332966487
WM,1,2,276455.686794487
WM,1,3,276464.471407403
WM,1,3,276473.940590571
WM,1,1,277044.023602687
DM,1,2,277052.723577171
DM,1,3,277061.346619271
WM,1,1,277070.592749622
WM,1,2,277079.285046784
WM,1,3,277087.569625419
DM,0,1,277095.761901022
WM,1,3,277104.131102941
WM,1,1,277112.977243954
DM,1,2,277121.284901184
WM,1,4,277130.369505487
WM,1,4,277138.823330671
DM,1,2,277147.538692884
WM,1,1,277156.53096179
WM,1,2,277165.123257371
DM,1,1,277173.477070938
WM,1,1,277182.130899387
WM,1,1,277190.961643722
WM,1,2,277199.969308484
WM,1,4,277208.884660138
WM,1,1,277217.346181654
DM,1,3,277225.953853522
WM,1,2,277234.784605084
DM,1,1,277243.28456159
WM,1,4,277251.984552003
WM,1,2,277260.353751571
DM,1,1,277269.253729168
WM,1,4,277278.038320451
WM,1,1,277286.630606254
WM,1,1,277294.869041554
WM,1,2,277303.330558951
DM,1,4,277313.184397951
DM,1,4,277322.322801606
WM,1,2,277331.153552938
DM,1,3,277339.791998871
DM,1,3,277348.615039222
WM,1,3,277357.476560254
DM,0,2,277366.084227984
WM,0,2,277375.168816787
DM,1,1,277384.161100871
DM,1,4,277393.138002219
DM,1,1,277401.776428171
WM,1,4,277411.268716987
DM,1,1,277420.191764938
WM,1,3,277429.122502754
WM,1,4,277437.814805854
DM,1,2,277446.737849887
WM,1,3,277455.207053651
WM,1,3,277463.537790773
WM,1,4,277472.960839254
WM,1,4,277481.506968906
WM,1,4,277490.230041268
WM,1,4,277499.376162554
WM,1,3,277509.13765489
WM,0,1,277519.076106868
DM,1,1,277527.922236719
DM,1,2,277536.629900803
WM,1,4,277545.745255235
WM,1,3,277554.052923803
DM,1,3,277562.722137635
DM,1,3,277573.122105419
DM,1,3,277581.891305722
WM,0,4,277590.675909751
WM,1,1,277599.268176238
WM,1,3,278189.458832635
WM,1,4,278198.335714022
DM,1,2,278206.866471071
WM,1,2,278215.889521168
WM,1,4,278224.404885171
WM,1,1,278233.220248103
WM,1,2,278241.412538268
WM,1,2,278249.620197254
DM,1,1,278258.127859971
WM,1,1,278266.720141338
WM,1,4,278274.997044487
WM,1,2,278283.589342268
WM,1,3,278292.035464168
WM,1,1,278300.581577184
WM,1,3,278308.996981284
WM,1,2,278317.443082451
WM,1,3,278326.435375651
WM,1,1,278335.043034819
WM,1,2,278343.519934384
DM,0,1,278352.242990354
WM,0,3,278360.742957971
WM,1,2,278369.766018035
WM,1,1,278378.150604887
WM,1,1,278387.396732287
DM,1,4,278396.819773254
WM,1,2,278405.812065184
WM,1,3,278415.204343287
WM,1,2,278423.396620971
WM,1,3,278431.635064635
DM,0,2,278439.988883487
DM,1,1,278448.965788738
WM,1,3,278458.342682635
WM,1,2,278467.027271687
WM,1,1,278475.396488303
DM,1,3,278483.711841235
WM,0,4,278491.888733838
WM,1,3,278501.088716754
DM,1,2,278509.365611571
WM,1,4,278518.242519935
WM,1,4,278526.704023987
WM,1,4,278535.104015335
DM,1,3,278543.542443987
DM,1,4,278552.211648971
DM,0,2,278560.788550322
WM,1,3,278568.950056422
DM,1,2,278577.311576154
DM,1,1,278586.034638687
WM,1,2,278594.480759887
WM,1,2,278603.234584438
DM,0,4,278611.411483571
DM,1,4,278620.434526338
WM,1,2,278628.849895703
WM,1,4,278637.057565171
WM,1,2,278645.888314987
WM,1,1,278654.226756984
WM,1,3,278662.549800671
DM,1,3,278671.157466435
WM,1,3,278679.334373668
DM,1,4,278688.065117054
WM,1,1,278696.834336268
DM,1,3,278705.157378268
DM,1,2,278714.434261722
WM,1,3,278723.36499899
DM,1,4,278732.095757906
