task,correct,enc_freq,enc_onset
WM,1,2,24062.4088018752
WM,1,3,24071.0164878012
WM,1,3,24080.0395244019
DM,0,3,24088.7933677758
WM,1,1,24097.2548718019
WM,1,3,24105.9548480012
WM,1,1,24115.0625336255
WM,1,2,24123.8932632012
WM,1,1,24132.277844277
DM,1,4,24141.7547665752
WM,1,2,24150.7547429752
WM,1,2,24159.4008551764
DM,0,2,24167.8777570509
WM,1,3,24176.4085003522
DM,0,3,24184.7777110012
WM,1,3,24194.4546142509
WM,1,2,24203.5545856515
WM,1,2,24211.8468918006
,NaN,1,24221.4622265012
WM,1,1,24231.7776030752
WM,1,3,24239.9929257752
DM,0,3,24248.3774550752
WM,1,4,24256.6159956752
WM,1,4,24264.7543585752
DM,1,1,24273.2697274752
DM,0,1,24281.6080910752
DM,1,2,24289.9773597752
,NaN,3,24299.7004160752
WM,1,2,24310.1003857752
WM,1,1,24319.1389083752
DM,1,3,24327.5234826018
DM,0,4,24336.0850112752
WM,0,3,24344.4696015509
WM,1,2,24354.7926457006
WM,1,3,24363.1926280012
WM,1,2,24371.3695125764
WM,1,4,24379.6541049752
WM,1,2,24388.0694789261
WM,1,2,24396.2156099752
WM,1,3,24404.0540441267
WM,1,4,24412.1155586764
DM,1,1,24420.3616980764
WM,1,3,24429.3693560764
WM,1,4,24438.4847266006
DM,1,4,24446.7231707006
WM,1,2,24455.1231393261
DM,0,1,24463.7845321752
WM,1,4,24472.2308033752
WM,1,1,24480.5999858764
WM,1,3,24489.3153474012
WM,1,4,24499.0153160018
WM,1,3,24507.4153073764
WM,1,4,24517.6845309509
WM,1,1,24526.038321977
DM,1,4,24535.0306357503
,NaN,3,24543.9767372267
DM,1,4,24554.3151831261
WM,1,2,24563.0459201515
DM,0,3,24572.1997467764
WM,1,1,24580.8381789764
WM,1,4,24589.3535431261
WM,1,4,24597.7689080261
WM,1,1,24606.7227254261
WM,1,4,24615.6227016012
WM,1,1,25239.0594882018
WM,1,4,25248.4825362012
WM,1,1,25256.9055862515
WM,1,4,25265.1286403012
WM,1,4,25273.5747811764
WM,1,3,25281.7516928503
DM,1,2,25290.4055027006
DM,0,4,25298.6900879012
DM,1,4,25307.0131463515
WM,1,2,25315.8592823758
WM,0,3,25324.3900324261
DM,1,2,25333.9438450515
WM,1,4,25342.5361114752
WM,1,3,25350.7284206509
WM,1,2,25359.0283901018
WM,1,2,25367.3360870261
DM,0,3,25375.6822035758
WM,1,2,25384.7744706752
WM,1,2,25393.6513804012
DM,0,2,25402.2975041267
DM,0,2,25411.1590194764
WM,1,3,25419.5897714509
DM,1,1,25428.3897535503
DM,1,3,25437.3205185006
DM,1,4,25446.3435302752
DM,1,1,25455.3204515515
DM,1,2,25464.1358052515
DM,1,4,25472.8050121006
DM,1,1,25481.4972817752
WM,1,1,25491.4434091018
WM,1,4,25499.7664753255
WM,1,1,25508.1818377261
DM,1,3,25516.6587352006
WM,1,2,25525.3664005515
WM,1,1,25534.1817653515
DM,1,4,25543.4586648012
DM,1,2,25552.4817162515
WM,1,1,25561.0970306752
DM,1,2,25569.5124532006
WM,0,2,25578.5047326522
DM,1,1,25587.7200837509
WM,1,3,25596.1200675012
WM,1,1,25604.5046669503
WM,1,1,25613.2661679267
DM,0,1,25622.2584570752
DM,1,1,25630.5199849255
WM,1,4,25639.2891276752
WM,1,3,25648.4353004764
DM,1,2,25657.0583556758
DM,1,4,25665.7814253515
DM,1,2,25675.1890790261
DM,1,3,25684.4658982752
WM,0,3,25692.6274913261
WM,1,4,25702.5813062267
DM,1,4,25712.3582059261
DM,1,4,25721.2889537006
DM,0,4,25729.8274058006
WM,1,4,25738.2812233509
WM,1,4,25747.6350374267
WM,0,3,25756.2580881012
WM,1,4,25766.0196087012
WM,1,4,25775.3657271267
DM,0,3,25784.4041912255
WM,1,1,25794.9349246752
WM,1,2,26371.2410532012
WM,1,2,26380.0333565752
WM,1,1,26388.7102374261
WM,1,2,26396.9486730515
DM,1,1,26405.2871154758
WM,1,1,26414.1947782764
WM,1,2,26422.5178508255
WM,1,1,26431.1408921012
DM,1,3,26439.4947117012
WM,1,2,26448.5947091509
WM,1,2,26456.8561903752
DM,1,1,26466.402319177
WM,1,4,26475.2407706509
WM,1,1,26484.0407521261
WM,1,2,26492.1945693012
WM,1,2,26500.4022332019
WM,1,1,26509.1406837012
WM,1,4,26517.4098894012
WM,1,1,26526.0714003267
DM,1,2,26535.1713778261
WM,1,4,26543.7021205515
DM,1,2,26553.3944038764
WM,1,3,26561.7174704503
DM,1,4,26572.0020505261
WM,1,4,26581.0635619255
WM,1,1,26591.0789262261
DM,0,3,26599.3327371267
WM,1,3,26607.6558107752
WM,1,3,26615.9403800019
WM,1,3,26624.3865288261
WM,1,3,26632.7865002515
WM,1,2,26641.4326213764
WM,1,2,26649.4633679764
WM,0,1,26657.8095028764
DM,1,4,26666.6479489764
WM,0,1,26675.6710019764
WM,1,4,26685.3940406515
DM,1,3,26693.8325140255
WM,0,3,26702.5940014752
DM,1,3,26712.7093523764
WM,1,2,26721.7324170261
WM,1,4,26729.8477807261
DM,1,3,26739.1400588752
DM,1,1,26748.0246514509
WM,0,3,26756.840008977
WM,1,1,26765.5707452267
DM,0,2,26774.0861078018
WM,0,3,26782.2630144764
WM,1,2,26790.9937642012
DM,1,1,26799.7168109267
WM,1,1,26808.1167940764
DM,0,2,26816.2629222515
WM,0,3,26824.4552082764
WM,1,4,26833.3936660503
WM,0,1,26841.7474701012
WM,1,4,26852.1012905261
WM,1,3,26860.7858897012
WM,1,1,26869.2704824758
DM,0,3,26877.8319932764
DM,1,1,26886.0550475261
WM,1,4,26894.5011857758
DM,1,2,26903.0780785255
DM,1,1,26911.6857495509
WM,1,4,26920.3857274509
