task,correct,enc_freq,enc_onset
,NaN,2,15282.1283159489
,NaN,2,15292.5437018744
WM,1,4,15302.8897348744
DM,0,4,15313.2051703744
DM,1,3,15322.5667577233
WM,1,1,15332.0436178744
WM,1,4,15342.0434756744
WM,1,3,15352.4204098744
WM,1,2,15362.1665715744
DM,1,3,15372.0588237744
WM,1,2,15381.6050482744
WM,1,2,15390.9512277744
WM,1,2,15400.2974656744
WM,1,1,15409.5436360722
WM,1,2,15419.5128689978
WM,1,3,15428.8589693744
DM,1,3,15438.2282260744
WM,1,2,15448.5820614744
DM,1,2,15458.0050735744
DM,1,3,15467.4436116233
WM,1,1,15477.5897575955
,NaN,2,15487.6897561744
WM,1,3,15497.9435546744
WM,1,4,15506.7895829744
DM,1,2,15516.1359009233
WM,1,3,15525.1435828489
WM,1,1,15535.2435398744
WM,1,4,15544.8435774489
DM,1,1,15555.5743293444
WM,1,1,15565.0281381744
WM,1,4,15574.1358372744
WM,1,3,15583.70508537
WM,1,1,15592.9357869744
WM,1,1,15602.2666171978
DM,1,1,15611.3050710444
WM,1,3,15620.9972560744
DM,1,1,15630.9049998744
WM,1,1,15640.3434415744
WM,1,4,15650.5050641211
DM,1,2,15659.8665822744
WM,1,1,15669.6894281744
WM,1,1,15678.1819731955
DM,1,4,15688.4896468744
WM,1,4,15698.3742421744
DM,1,3,15708.5357709744
WM,1,2,15718.6127106744
WM,1,1,15728.5972899744
DM,1,1,15738.3126808744
DM,1,2,15747.1587675744
DM,1,1,15756.5357459744
WM,1,3,15766.07423457
DM,1,1,15775.4818691744
DM,1,4,15784.8434887744
DM,1,4,15795.0664875744
,NaN,1,15804.7896044744
WM,1,1,15815.1202897744
WM,1,3,15825.3972853955
DM,1,1,15835.4511265744
WM,1,2,15844.9203536444
WM,1,4,15853.8665072744
WM,1,4,15863.4511097933
WM,1,1,15873.7203353744
DM,1,3,15883.4664756744
,NaN,1,15893.4126456744
WM,1,1,16545.5815563444
WM,1,4,16555.4200271466
WM,1,1,16565.2430954489
WM,1,4,16574.6046255722
WM,1,3,16583.5276518744
WM,1,2,16593.4046160955
WM,1,3,16603.7353838444
WM,1,4,16612.5353796211
WM,1,2,16621.4969095211
WM,1,1,16630.1199885211
DM,1,2,16639.2122976978
WM,1,2,16649.1969054233
DM,1,2,16658.3276589189
DM,1,4,16668.3276644189
WM,1,4,16677.6738152466
WM,1,4,16687.2275880744
WM,1,4,16696.8891514744
WM,1,3,16705.1276199744
WM,1,1,16714.7122670744
DM,1,1,16723.3891231744
WM,1,2,16732.2661032978
DM,1,1,16741.4199332466
WM,1,4,16750.6353245489
DM,1,4,16760.0122483489
WM,1,1,16768.9045410233
DM,1,4,16778.6506909233
WM,1,1,16787.65836817
WM,1,1,16795.9429368744
WM,1,3,16804.2967636744
WM,1,4,16813.0199070211
DM,0,1,16821.2891001744
WM,1,2,16830.4429744955
WM,1,2,16839.4659796744
WM,1,3,16848.2967948744
WM,1,3,16857.6583376955
DM,1,3,16866.0121867955
WM,1,3,16876.1891062444
DM,1,1,16885.8044436744
DM,1,3,16894.6660246978
DM,1,4,16904.0737107722
DM,1,2,16913.1429349466
,NaN,2,16922.9198502444
WM,1,4,16933.2505638744
WM,1,2,16943.0967207744
DM,1,3,16951.8506133489
WM,1,3,16961.0966714744
DM,1,2,16969.4967538489
DM,1,2,16978.6813634233
WM,1,2,16987.8967559489
WM,1,2,16996.5043811744
,NaN,4,17005.1659621466
DM,1,4,17015.4967300489
DM,1,2,17025.0505719233
WM,1,1,17034.6966379744
WM,1,2,17045.4351795233
WM,1,4,17056.0582410189
WM,1,3,17064.5736212189
DM,1,3,17073.7197779744
DM,1,4,17082.9351492189
