task,correct,enc_freq,enc_onset
DM,0,4,18226.3745072363
WM,1,3,18235.8975487237
DM,1,4,18245.02060723
WM,1,4,18254.1359703725
WM,1,3,18264.2205590088
DM,0,2,18274.0128447937
WM,1,3,18283.589728145
WM,1,4,18293.1589511513
WM,1,3,18301.9127647787
DM,0,4,18310.8127717788
WM,1,3,18319.3819477512
WM,1,2,18328.2357615787
WM,1,2,18337.14343553
DM,1,4,18346.3741882512
WM,1,3,18354.9203193875
DM,0,3,18363.3510528787
WM,1,4,18371.3664302087
WM,1,2,18379.4971742088
DM,0,4,18389.2586822875
WM,1,3,18397.8971244513
WM,1,1,18406.4278649512
DM,1,1,18414.74322533
WM,1,4,18423.5585909087
WM,1,1,18432.6662614663
WM,1,4,18441.0354656663
WM,1,3,18449.2892932875
WM,1,3,18457.6431194512
WM,1,3,18465.896937915
WM,1,1,18474.02768253
DM,1,3,18482.4737198787
DM,0,3,18491.0045538787
WM,1,4,18499.2737769512
DM,0,3,18507.5736269787
DM,0,1,18515.658344145
WM,1,1,18523.9583297725
DM,1,1,18532.119836315
WM,1,1,18541.0351952938
DM,0,2,18549.3351811512
WM,1,4,18558.2351548087
WM,1,4,18566.34282623
DM,1,3,18574.6812531025
WM,1,2,18583.2735422087
WM,1,4,18591.2889034663
DM,0,2,18599.49658043
DM,0,1,18608.2350247787
WM,1,1,18617.2580939787
WM,1,1,18625.3349750088
WM,1,4,18633.627259815
WM,1,4,18642.4118523362
DM,1,4,18650.5195208512
DM,0,2,18658.565649515
DM,1,4,18667.0348572663
WM,1,3,18675.1809909725
WM,1,4,18684.0732762237
DM,0,1,18692.5194296575
DM,1,1,18701.3885965787
WM,1,4,18710.757817745
WM,1,1,18720.8270252512
WM,1,2,18729.3731589787
WM,1,3,18738.7962083088
DM,1,2,18748.2807937575
DM,1,4,18756.6807743087
WM,1,2,18766.7115126937
WM,1,3,18777.111485915
WM,1,2,19386.2790654088
DM,0,4,19395.7021483363
DM,1,4,19405.03287543
WM,1,2,19414.3636174513
WM,1,2,19422.4866638088
DM,0,2,19431.4943286663
WM,1,1,19439.8327739512
