task,correct,enc_freq,enc_onset
DM,1,4,21482.7612719792
,NaN,4,21493.445877817
DM,1,4,21503.7073901169
,NaN,2,21513.7535151547
DM,1,3,21523.9919521547
DM,1,4,21534.4072473792
DM,1,1,21544.2610523792
,NaN,3,21554.0224702792
DM,1,4,21564.3071916792
WM,1,1,21574.0841228585
DM,1,2,21584.1839788792
DM,1,1,21593.8147037792
DM,1,3,21603.1455214792
DM,1,1,21612.2146639792
WM,1,4,21621.3685794792
DM,1,1,21631.5608202792
WM,1,1,21641.0915582792
WM,1,4,21650.1837497792
WM,1,2,21660.3452851632
WM,1,3,21669.4761392792
WM,1,2,21678.8992200962
WM,1,1,21687.9222813508
WM,1,3,21697.5760889131
DM,1,3,21706.8837700131
WM,1,1,21716.8529475093
WM,1,3,21725.6683201377
DM,1,3,21735.2067597585
WM,1,4,21744.2913405924
WM,1,3,21753.1913148716
WM,1,2,21762.5836012339
DM,1,2,21772.2297466585
WM,1,3,21782.2604758924
DM,1,3,21791.3373642716
WM,1,4,21801.2373440131
WM,1,2,21810.7603909131
WM,1,4,21819.7680669131
WM,1,2,21828.9141856716
DM,1,3,21837.8911011792
WM,1,4,21847.6833745924
WM,1,4,21856.9987141792
WM,1,3,21866.2756355169
WM,1,1,21875.1909867924
WM,1,4,21884.2601905924
WM,1,3,21893.1601642509
WM,1,3,21902.2909085301
WM,1,1,21911.7678123131
DM,1,4,21920.6447156547
DM,1,1,21930.1677483792
WM,1,3,21939.8754272716
WM,1,3,21949.0754005508
WM,1,4,21958.3753816547
DM,1,2,21967.8291962924
WM,1,3,21976.8676410924
WM,1,1,21985.9906924339
WM,1,3,21995.2675888754
WM,1,4,22004.4521761924
DM,1,3,22013.4444774754
WM,1,4,22023.2521347547
WM,1,2,22032.7751679924
WM,1,3,22042.5520687131
WM,1,3,22051.6674356131
WM,1,2,22061.1904890339
WM,1,1,22070.5366275924
DM,1,1,22079.9904326131
WM,1,4,22931.2573533377
WM,1,2,22941.1880918754
WM,1,4,22950.2111523377
WM,1,1,22959.3495894377
DM,1,2,22968.3572438339
WM,1,2,22978.2649120339
WM,1,1,22988.0033503339
WM,1,3,22997.3186945301
WM,1,2,23006.2956078547
DM,1,1,23015.4417445754
DM,1,3,23024.8340221792
DM,1,2,23033.8263013339
WM,1,2,23043.3801189339
WM,1,3,23052.6647121547
WM,1,4,23061.6339110547
DM,1,1,23071.0646613754
DM,1,2,23080.3569349131
WM,1,4,23089.2569235547
WM,1,3,23099.0107349547
WM,1,2,23108.1184186792
WM,1,1,23117.7183703792
WM,1,2,23126.9645150754
WM,1,3,23135.9567874131
DM,1,1,23145.3952175131
WM,1,3,23155.1259720585
DM,1,4,23164.2490225962
WM,1,4,23174.1489843792
WM,1,1,23183.3489584093
WM,1,1,23192.3873950301
DM,1,2,23201.5719969339
,NaN,1,23211.3796654339
WM,1,4,23221.6950153924
WM,1,3,23231.0488422339
WM,1,2,23240.3872700339
WM,1,4,23249.7026366131
DM,1,4,23258.6641441716
DM,1,2,23268.8179699547
WM,1,2,23278.3564004547
WM,1,2,23287.5410062585
DM,1,2,23296.8025101339
DM,1,1,23306.8024714924
DM,1,4,23316.7255312131
DM,1,1,23325.4101202339
WM,1,4,23335.4947068547
WM,1,2,23344.6792973716
DM,1,3,23353.8254249508
WM,1,1,23363.2023247301
WM,1,1,23372.6946156585
WM,1,2,23381.8945858792
WM,1,4,23392.1791736792
WM,1,2,23401.3022385585
DM,1,3,23410.8406557339
WM,1,2,23420.5021790585
WM,1,1,23429.4329165547
DM,1,3,23438.4405761339
WM,1,1,23447.6021055169
DM,1,4,23456.6789894716
DM,1,1,23466.2635807754
WM,1,4,23475.5404776339
WM,1,2,23484.5173748508
DM,1,2,23493.8942703339
WM,1,4,23503.2250124792
WM,1,2,23512.4173070339
WM,1,1,23521.0634270924
WM,1,2,24182.7616403962
WM,1,1,24192.0693153585
DM,1,1,24201.2538967169
DM,1,3,24210.4538768377
DM,1,1,24219.9230657301
WM,1,4,24229.1230346716
WM,1,3,24238.1614844547
WM,1,4,24247.4922364585
WM,1,3,24256.6460463716
WM,1,1,24265.6075618754
WM,1,4,24274.7075240508
WM,1,3,24284.1459648339
WM,1,1,24293.4921015716
WM,1,2,24302.4228499754
DM,1,2,24311.5920584754
DM,1,2,24321.5535641754
WM,1,1,24331.6997169792
WM,1,1,24340.6612028547
DM,1,4,24350.6919399547
WM,1,4,24359.7457703377
DM,1,3,24368.9149607716
WM,1,2,24379.5226484339
WM,1,3,24388.7226078924
DM,1,2,24397.9072085754
DM,1,4,24407.6840927792
DM,1,3,24417.8609917169
DM,1,4,24427.4917624792
DM,1,1,24436.0532475547
WM,1,1,24445.6070786585
WM,1,3,24455.4762834585
WM,1,4,24464.6762683169
WM,1,3,24474.3070089377
WM,1,2,24483.8454301377
WM,1,1,24492.8684819924
WM,1,1,24501.7992307585
DM,1,4,24511.1069033585
DM,1,2,24520.0684090924
WM,1,3,24530.0991540169
WM,1,4,24540.0068154924
WM,1,1,24550.5990957754
WM,1,3,24559.5759862339
WM,1,4,24568.7221165547
WM,1,2,24577.6067091339
WM,1,3,24587.1374456924
WM,1,2,24596.1835855547
WM,1,3,24605.0912459924
WM,1,2,24614.7758344339
DM,0,2,24624.1142779585
DM,1,2,24633.0757801924
WM,1,1,24643.7834543339
DM,1,4,24652.4680529547
WM,1,4,24662.0526396585
WM,1,2,24671.2679972547
WM,1,2,24679.6679701792
DM,1,3,24688.1448797585
DM,1,4,24697.5602271547
WM,1,1,24707.1063667377
DM,1,3,24716.2909417131
WM,1,1,24726.7755337131
WM,1,3,24736.5678143924
WM,1,1,24745.5601000585
WM,1,4,24754.5293058754
WM,1,1,24763.6677323508
WM,1,4,24772.8523502169
