task,correct,enc_freq,enc_onset
WM,1,2,16185.7331235947
WM,1,2,16194.6638493947
DM,1,3,16203.4176751895
WM,1,3,16212.5484196368
DM,1,1,16221.5253151631
WM,1,3,16230.5022121211
WM,1,1,16239.8790998105
DM,1,4,16248.3560043368
WM,1,3,16257.2098317684
WM,1,2,16265.6867348684
WM,1,2,16274.1867121947
WM,1,4,16282.6943628631
WM,1,1,16291.9404918105
WM,1,4,16300.7943165368
WM,1,2,16309.5558385737
WM,1,4,16318.0711989737
WM,1,1,16327.9403954105
WM,1,4,16336.8403601842
DM,0,2,16345.5403565737
DM,1,2,16354.0557214211
WM,1,4,16363.0326088684
DM,1,1,16372.0556656211
DM,1,4,16380.8556190737
DM,1,3,16389.5402124842
WM,1,4,16398.2325106421
DM,1,3,16407.4017308895
DM,1,2,16416.5632258632
WM,1,1,16425.0323942737
WM,1,1,16433.8631676105
WM,1,2,16442.3246836632
WM,1,2,16451.1246691737
WM,1,3,16459.3708048474
WM,1,3,16468.0092398895
WM,1,1,16476.7938318421
WM,1,3,16484.9861040895
DM,1,2,16493.2860885632
DM,1,4,16502.0860574158
WM,1,2,16510.6937397105
DM,1,4,16519.2860106895
WM,1,4,16528.4244586947
WM,1,1,16536.8551921632
DM,1,1,16545.6090072895
WM,1,3,16554.2782107368
WM,1,1,16562.6782020158
WM,1,1,16571.6704789158
WM,1,4,16580.1319875158
DM,1,3,16588.8704608474
WM,1,1,16597.8627128158
DM,0,3,16607.3165274105
DM,1,1,16616.0395872895
DM,1,4,16624.5703353158
WM,1,4,16633.0933819895
WM,1,2,16642.5856640368
WM,1,2,16651.2394782368
WM,1,3,16659.9086945895
DM,1,3,16668.4240690947
WM,1,2,16677.4163100737
WM,1,4,16685.9393882684
DM,1,4,16694.7624457737
WM,1,1,16703.5085654632
WM,1,1,16711.831644221
WM,1,3,16720.1469886421
WM,1,2,16728.8085036211
DM,1,4,16737.046936221
DM,1,2,17413.2758049895
WM,1,3,17422.0834666684
DM,0,4,17431.0295891105
WM,1,4,17439.5064958947
DM,1,2,17448.6141686158
WM,1,4,17457.4602795579
DM,1,3,17466.3602562105
WM,1,3,17475.0294730737
WM,1,3,17483.2986715895
DM,1,1,17491.6371125895
WM,1,1,17500.2447905947
WM,1,2,17509.0293668632
WM,1,2,17517.4447371895
WM,1,4,17526.7139400158
DM,1,1,17535.8754466105
WM,1,3,17544.1215687316
DM,1,1,17552.5984765579
DM,1,3,17561.5446129158
DM,1,3,17570.1984449211
DM,1,3,17578.921494221
DM,1,2,17588.0522325895
WM,1,3,17597.2214284368
WM,1,2,17606.3906417158
WM,1,3,17614.9521464368
WM,1,1,17623.6213611158
WM,1,3,17632.3290251421
WM,1,4,17640.8673344737
WM,1,3,17649.6828165579
DM,1,1,17658.4827939842
WM,1,3,17667.5289131737
WM,1,4,17675.8135190368
DM,1,1,17684.4519489368
WM,1,2,17693.6211751737
WM,1,1,17702.2134428368
WM,1,2,17710.5980340105
WM,1,4,17719.1287770158
WM,1,4,17727.6364505631
WM,1,4,17735.8748984211
DM,1,2,17744.5517920947
DM,1,2,17753.5902484737
WM,1,3,17762.2132804632
DM,1,4,17771.5747942895
DM,1,1,17780.1362999368
WM,1,3,17788.9670598474
DM,1,2,17798.1516347895
WM,1,3,17807.3515991579
WM,1,1,17815.9284979105
WM,1,4,17825.3669497947
WM,1,3,17833.8284404526
WM,1,1,17842.6592114421
WM,1,3,17851.4745648368
WM,1,3,17860.6129980684
DM,1,2,17868.9668172105
WM,1,2,17878.3744844105
WM,1,2,17887.0744007737
WM,1,2,17895.7359656842
WM,1,4,17904.5821053947
WM,1,4,17913.0436196368
WM,1,1,17922.0051414947
WM,1,3,17930.7589618421
WM,1,4,17939.2051010895
WM,1,1,17947.4127575421
WM,1,4,17955.9588816368
DM,1,3,17964.6280983158
WM,1,1,18550.3418302684
WM,1,1,18558.7879499158
WM,1,2,18567.5263969947
DM,1,2,18576.2648251368
DM,1,4,18585.3032579632
DM,1,1,18594.1493791316
WM,1,2,18603.0955368842
WM,1,1,18611.8108802105
WM,1,1,18620.4877743579
WM,1,2,18629.1416224632
WM,1,3,18638.1954281474
WM,0,2,18646.6646269632
DM,1,3,18656.3876798158
WM,0,4,18665.6876792737
DM,1,3,18674.3722443158
DM,1,1,18683.3645281684
WM,1,1,18692.5029613421
WM,0,1,18701.633704921
WM,1,2,18711.656760221
WM,1,4,18720.7721157737
DM,1,2,18729.2720828158
WM,1,2,18738.072066821
DM,1,4,18746.5336043211
WM,1,4,18755.5873885632
DM,1,2,18764.2258378421
WM,1,2,18773.3642664421
WM,1,3,18782.3719563684
DM,1,4,18790.9488277105
DM,0,2,18800.0411299474
DM,1,4,18809.1718739684
WM,1,4,18817.9872345158
WM,1,4,18826.9948964947
WM,1,1,18835.4794683842
WM,1,2,18845.3640717895
WM,1,1,18854.1025045895
DM,1,4,18863.0255549158
DM,1,4,18872.4024436632
DM,1,2,18881.525508221
WM,1,1,18890.8024149211
DM,1,3,18899.9562173368
DM,1,3,18908.5331215632
DM,1,1,18917.7484681842
WM,1,3,18927.1715490474
WM,0,4,18935.4945796158
WM,1,4,18945.0945485158
WM,1,1,18953.9099272211
WM,1,2,18962.8560501684
WM,1,2,18971.448331621
WM,1,2,18980.2329135895
WM,1,4,18989.6252047947
WM,1,4,18998.4405541895
WM,1,2,19006.6636017368
WM,1,3,19014.9328065579
DM,1,1,19024.3404986737
WM,1,1,19033.3943076895
WM,1,3,19042.3250553421
WM,1,3,19051.0788722632
DM,1,1,19059.2711679947
WM,1,1,19068.3403924474
DM,1,3,19076.7864948947
WM,1,1,19085.9095364105
DM,1,4,19095.6018372947
DM,1,1,19104.1017899105
WM,1,3,19112.7248428105
