task,correct,enc_freq,enc_onset
DM,1,2,12835.4674132789
,NaN,4,12845.2597220679
WM,1,4,12855.5981805578
WM,1,3,12866.0058511367
WM,1,4,12875.7827704367
WM,1,4,12886.105800289
WM,1,3,12896.4903982679
WM,1,1,12906.3442364734
WM,1,2,12916.0903680101
WM,1,2,12925.3826752679
WM,1,3,12934.582636189
WM,1,1,12944.1518825578
DM,1,3,12953.5441631312
WM,1,1,12963.4595150523
WM,1,2,12972.7441380789
WM,1,3,12983.0133282734
DM,1,1,12993.2902540789
DM,1,2,13002.8748394578
DM,1,4,13012.1978470789
WM,1,1,13021.544018689
WM,1,2,13032.3439980258
WM,1,1,13041.8440127578
WM,1,1,13052.1670428312
WM,1,4,13061.8131792312
WM,1,1,13071.2208511101
WM,1,4,13080.6669926523
DM,0,1,13090.5669787789
WM,1,3,13100.4746533578
WM,1,1,13110.2669352367
WM,1,3,13120.4361620789
WM,1,4,13129.8130738578
DM,0,3,13139.4438139312
WM,1,3,13149.5437948789
WM,1,1,13159.0976111312
DM,0,2,13168.4899226789
WM,1,2,13177.6360395101
WM,1,4,13187.1283316523
WM,1,4,13197.0975435312
WM,1,3,13206.5052138468
WM,1,4,13215.9128955312
DM,1,4,13225.0436790367
WM,1,3,13235.0820875101
WM,1,1,13244.9820712679
DM,1,2,13254.4051409312
DM,1,2,13263.7666560523
WM,1,1,13272.9820220312
DM,0,1,13283.1743042468
DM,1,3,13292.6665951679
DM,1,1,13302.9973574734
WM,1,3,13312.5511799523
WM,1,3,13322.6434750156
DM,1,3,13332.404985289
DM,1,4,13342.1203861789
DM,1,4,13352.2280302679
DM,1,4,13362.6664698523
,NaN,2,13372.2664622523
WM,1,1,13382.5356833945
DM,0,4,13391.497191589
DM,1,4,13402.0740903101
WM,1,2,13411.766388489
WM,1,2,13422.2663729258
WM,1,2,13431.6355789734
DM,1,3,13440.9355668156
DM,1,1,13450.5047796367
WM,1,3,14083.0805495523
WM,1,2,14092.618981989
WM,1,2,14101.9112657789
WM,1,2,14111.1881793258
WM,1,3,14120.8420254156
DM,1,4,14129.8804527679
WM,1,4,14139.4650530258
WM,1,4,14149.9111933101
DM,1,1,14159.2111830789
WM,1,2,14168.5342233101
WM,1,3,14177.8803690679
WM,0,1,14187.3034180679
DM,1,1,14196.5649477679
DM,1,3,14206.0880073945
WM,1,1,14215.4187641156
WM,1,4,14224.8110603156
WM,1,2,14233.9725710258
DM,1,2,14243.3648807156
WM,1,2,14252.8879270312
WM,1,1,14262.2033015156
WM,1,4,14271.5263493156
WM,1,4,14280.6648069578
DM,1,1,14289.6416939679
WM,1,3,14299.7339862679
DM,1,4,14308.3570508945
WM,1,3,14317.5416578945
DM,1,3,14328.0416405578
WM,1,3,14337.4185349258
WM,1,3,14347.1569652789
WM,1,2,14356.9646557468
WM,1,3,14365.6261776523
DM,1,4,14374.2337419789
DM,1,2,14383.1261422101
WM,1,4,14392.7569076367
DM,1,4,14402.0414957945
DM,1,2,14411.4953349367
WM,1,1,14420.6799356367
DM,1,1,14429.8491319679
WM,1,2,14439.495272689
DM,1,2,14449.1721832679
WM,1,4,14459.2875533367
WM,1,3,14467.5720280789
DM,1,3,14476.7721256101
WM,1,2,14486.295191889
DM,1,3,14494.9490283578
WM,1,1,14504.3413211469
DM,1,4,14513.3643727156
DM,1,1,14522.9335772312
WM,1,4,14532.618177289
,NaN,3,14542.1643475367
WM,1,3,14552.4566103523
WM,1,4,14560.648895789
WM,1,2,14569.3335098789
DM,1,2,14578.6950125312
DM,1,3,14587.433463689
DM,1,1,14597.1257466101
WM,1,1,14606.2795831469
DM,1,2,14616.0564875101
WM,1,4,14625.6257086523
WM,1,1,14634.2333856734
WM,1,4,14644.6487461101
WM,1,1,14654.8871801679
WM,1,2,14663.3871761101
WM,1,3,14672.756387489
WM,1,3,15302.0552290789
WM,1,3,15311.7013819367
WM,1,2,15320.9552026367
DM,1,2,15330.309029989
WM,1,2,15339.6090246156
WM,1,1,15349.1782328734
WM,1,1,15357.8628177468
WM,1,2,15366.9397311734
WM,1,4,15376.2474028047
DM,1,3,15385.5935447101
WM,1,2,15395.1781453312
WM,1,1,15404.5012057312
,NaN,3,15415.0626977789
WM,1,4,15425.3780800258
DM,1,4,15434.2319214312
WM,1,2,15443.4472958578
WM,1,3,15452.5395683101
DM,1,2,15461.6703365945
DM,1,3,15471.5626190101
WM,1,4,15480.9549058945
WM,1,2,15489.6241374312
WM,1,2,15499.0318043312
WM,1,1,15508.1702413789
WM,1,4,15517.1471549367
WM,1,1,15526.2471415945
DM,1,4,15535.3548078578
WM,1,2,15544.9548053789
WM,1,4,15554.3778584156
DM,1,4,15562.7624575945
DM,1,2,15572.2932089367
DM,1,1,15581.5316340258
WM,1,4,15591.0470200523
WM,1,2,15599.4162251312
DM,1,1,15609.0315981469
WM,1,1,15618.5392936367
WM,1,3,15627.8161801312
WM,1,3,15637.1084620101
WM,1,2,15646.1392232523
WM,1,1,15654.4084284101
DM,1,2,15663.685338489
WM,1,1,15673.2083774789
DM,1,1,15682.616081189
DM,1,2,15693.4006618258
DM,1,1,15702.6929757578
WM,1,3,15712.1390982367
DM,0,3,15722.439073789
WM,1,1,15730.8082885679
WM,1,4,15739.015971389
DM,1,3,15747.4928768312
WM,1,1,15756.9236417523
WM,1,4,15765.1774629734
WM,1,2,15774.2928296523
DM,0,1,15782.4081904468
WM,1,3,15791.1466531101
WM,1,1,15800.9235509101
WM,1,2,15810.0696843836
WM,0,1,15818.2773561789
DM,1,3,15828.5542660523
DM,1,3,15838.1850225789
WM,1,4,15847.515788389
WM,0,4,15856.5695963101
WM,1,3,15865.769590889
DM,1,4,15875.1464974734
WM,1,4,15884.8541685523
