task,correct,enc_freq,enc_onset
WM,1,1,11421.7619308388
DM,1,1,11431.9311434388
DM,1,1,11442.7618654634
WM,1,1,11453.0695271552
WM,1,2,11462.9848905552
WM,1,3,11473.3848551858
DM,1,4,11483.1771603082
WM,1,3,11492.8771033023
WM,1,2,11502.9386250164
WM,1,4,11513.8001390388
WM,1,2,11523.2924021246
WM,1,2,11532.7615493694
DM,1,3,11543.0308177858
WM,1,1,11553.7692410858
WM,1,2,11563.5615247328
WM,1,4,11573.515346294
WM,1,4,11583.6922576694
WM,1,1,11593.5306775858
WM,1,3,11603.0998662634
DM,1,3,11613.2075513776
WM,1,1,11623.4844302634
,NaN,3,11633.4536425082
WM,1,1,11643.8536153694
WM,1,2,11653.6766825388
WM,1,3,11662.8920154694
WM,1,4,11672.1381264694
WM,1,1,11682.0227227694
WM,1,3,11691.338080894
DM,0,4,11700.5534554776
WM,1,1,11710.1995719164
DM,1,4,11719.7226270634
WM,1,3,11729.3379901858
WM,1,2,11739.5610394082
WM,1,4,11748.8610104246
DM,1,3,11758.6994396388
DM,1,1,11767.9916803694
WM,1,3,11777.3532366246
DM,1,2,11787.4993604164
DM,1,2,11797.7839418634
WM,1,1,11807.9608422552
,NaN,4,11817.706963647
WM,1,1,11827.9915470246
WM,1,2,11838.2145907023
DM,1,3,11847.3376575694
DM,1,1,11857.3530171082
WM,1,4,11866.8606664246
WM,1,3,11876.3452537552
DM,1,1,11886.314488447
DM,1,2,11895.7836825388
WM,1,1,11905.0144231388
WM,1,4,11914.8220771164
WM,1,4,11924.2374621388
WM,1,1,11934.568172847
WM,1,4,11943.9758284694
WM,1,2,11952.9373477858
WM,1,1,11962.1373291858
WM,1,2,11971.8373031082
WM,1,3,11980.9680316634
WM,1,3,11990.1680208082
WM,1,3,11999.7526029329
DM,1,3,12009.7218071776
WM,1,1,12019.3371718776
DM,1,4,12028.8909765634
DM,1,1,12039.1601847328
WM,1,2,12704.0043906694
WM,1,3,12714.2967453246
DM,1,4,12723.9967263164
,NaN,1,12734.665909794
DM,1,2,12745.0043391329
WM,1,3,12754.2350816694
WM,1,2,12763.8350670858
WM,1,3,12773.6427314329
WM,1,2,12783.3888850388
DM,1,2,12793.365757047
WM,1,4,12803.765723594
WM,1,4,12813.4195452246
DM,1,3,12822.9887445776
DM,1,3,12832.442559894
DM,1,1,12842.1656262388
WM,1,1,12852.134813894
WM,1,1,12862.3578591246
WM,1,1,12872.2347629858
DM,1,1,12881.734735594
WM,1,4,12891.6423924858
WM,1,1,12900.7269952858
WM,0,4,12910.857718194
WM,1,2,12920.6807799164
DM,1,2,12931.3038235164
WM,1,4,12940.7576393552
DM,1,2,12950.5037757858
WM,1,1,12960.8575847329
WM,1,1,12970.3806321246
,NaN,2,12980.295991594
WM,1,4,12990.6728781246
WM,1,1,13000.857475994
,NaN,1,13010.2036051082
DM,1,4,13020.442034194
WM,1,3,13029.7035409023
DM,1,2,13039.2419738634
,NaN,4,13049.2265684858
WM,1,1,13059.5880805082
WM,1,1,13068.9342131776
DM,1,3,13078.7264846858
WM,1,2,13088.1341752552
WM,1,3,13097.2418253858
WM,1,2,13106.603325094
DM,1,1,13116.4725339634
WM,1,2,13126.1725100552
WM,1,1,13136.0877503694
DM,1,4,13145.718602594
WM,1,2,13155.6108746246
DM,0,2,13166.4108542023
DM,1,4,13176.2800689082
,NaN,4,13185.5261890694
WM,1,3,13195.818455294
DM,1,2,13204.7645920776
WM,1,3,13214.2799499552
DM,1,1,13222.6953048717
WM,1,2,13231.8337530858
DM,1,2,13241.464486294
DM,1,3,13250.8413869552
DM,1,3,13260.6029112634
,NaN,3,13269.802872494
WM,1,2,13280.1028372858
DM,1,4,13289.5104991694
WM,0,2,13299.195096894
DM,1,3,13309.1489135246
DM,1,3,13319.287341994
WM,1,3,13924.6317915858
DM,1,2,13934.8856182776
WM,1,3,13944.9394567694
WM,1,4,13954.8240099246
WM,1,1,13964.5009262388
WM,1,4,13974.1239666858
DM,1,1,13983.6547031634
,NaN,1,13993.0008437694
WM,1,1,14003.2854075246
DM,1,4,14012.423868647
DM,1,3,14022.1853703776
WM,1,2,14031.816103694
,NaN,4,14042.5853084776
DM,1,4,14052.946821147
WM,0,3,14062.6621721246
DM,1,4,14073.1621334246
WM,1,2,14082.4544320776
DM,1,2,14091.8313111634
WM,1,4,14100.9236104388
WM,1,1,14109.9620293246
WM,1,2,14119.2850904552
WM,1,2,14128.5850409694
WM,1,2,14137.9927221246
WM,1,2,14147.4157862858
DM,1,3,14156.9695868023
,NaN,2,14166.5388073694
WM,1,4,14176.8926189552
DM,1,1,14186.2772170328
,NaN,4,14196.1079554388
WM,1,4,14206.3848576694
DM,0,4,14215.7540522246
WM,1,3,14225.2078566023
DM,1,4,14234.4693791246
WM,1,3,14243.9462779552
WM,1,3,14253.446245494
WM,0,3,14262.8539134552
DM,1,4,14271.7846535858
WM,1,2,14281.0615570246
DM,1,2,14290.2999955388
WM,1,3,14299.8461309388
DM,0,3,14309.4307182082
DM,1,1,14317.8153053694
WM,1,4,14327.0152704246
WM,1,4,14336.7460156552
WM,1,4,14345.9921494164
DM,1,2,14355.1459582634
WM,1,3,14364.2459385858
WM,1,4,14373.0459183164
WM,0,2,14381.9305161164
WM,1,1,14392.2458637552
WM,1,3,14402.2150568246
WM,1,3,14412.8688736694
DM,1,1,14422.3457676694
,NaN,4,14431.8457461329
DM,1,1,14442.1380258634
WM,1,4,14451.4994242694
WM,1,3,14460.7917916694
