task,correct,enc_freq,enc_onset
WM,1,1,18498.8451924693
WM,1,4,18507.6067238078
WM,1,3,18516.0528736156
DM,1,1,18524.4990246078
WM,1,4,18532.660546177
WM,1,4,18541.0297834078
DM,0,1,18549.2990123231
DM,1,4,18558.3528427156
WM,1,4,18566.8220559156
WM,1,4,18574.9297535463
WM,1,3,18583.0297645539
DM,0,1,18591.798974777
DM,0,4,18600.2451134156
WM,1,2,18608.3682003924
WM,1,2,18616.752795677
WM,1,3,18625.345103777
WM,0,3,18633.6220229617
WM,1,1,18643.891250777
WM,1,4,18652.4681560617
WM,1,4,18660.8373276846
DM,1,1,18669.6220046924
WM,1,3,18678.0219974693
DM,0,2,18686.0681521539
WM,1,2,18694.4835221924
DM,0,1,18702.8835076617
WM,1,1,18711.2219731924
WM,1,4,18719.4604165617
WM,1,4,18727.729646077
WM,1,2,18736.2758004617
WM,1,1,18744.4988830846
WM,1,2,18752.6911729231
WM,1,3,18760.9142513231
DM,1,1,18769.2219381693
WM,0,1,18777.4604003693
WM,1,3,18786.6294446846
WM,1,3,18795.2218397846
WM,1,3,18803.5216607846
DM,1,2,18812.0678458846
DM,0,4,18820.8372298846
DM,0,2,18829.1063474846
WM,1,1,18837.3988179846
WM,1,4,18846.1680249078
WM,1,1,18854.5294612846
WM,1,3,18862.9293332846
DM,0,2,18871.8910190846
WM,1,1,18880.4372416846
DM,1,4,18888.5987622309
DM,1,2,18896.8832991846
WM,1,2,18905.506449877
,NaN,2,18914.0064436309
DM,0,4,18924.4064283617
DM,0,1,18933.2064299463
WM,1,4,18941.5602717924
WM,1,3,18950.6756617539
WM,0,1,18959.4756537231
WM,1,4,18969.9217799309
WM,1,4,18978.1525638617
,NaN,3,18986.3217873385
WM,1,1,18996.6756129617
DM,0,1,19004.9294524002
DM,0,3,19013.537143377
WM,1,4,19022.514065477
WM,1,3,19031.0755925309
WM,1,4,19039.7832703617
DM,0,2,19607.4598067463
WM,1,2,19617.8290345463
WM,1,3,19626.4521108617
WM,1,4,19634.7751893846
DM,1,3,19643.1597819002
WM,1,4,19651.6213162617
DM,0,3,19659.9751643924
WM,1,1,19668.521312777
DM,0,4,19677.6212998002
WM,1,3,19686.067441577
DM,0,2,19694.2289729617
DM,0,1,19702.4828302078
WM,1,2,19710.7289685309
DM,0,2,19719.0443551231
WM,1,1,19728.0058811463
DM,0,1,19736.790497377
WM,1,2,19745.2058630924
DM,0,2,19753.8750939078
DM,0,4,19762.5366224924
WM,1,2,19771.4750832309
DM,1,3,19779.828927877
DM,0,2,19788.1212195463
WM,1,3,19796.4057953846
DM,1,4,19804.8519970078
DM,0,2,19813.8289174385
DM,0,1,19822.4058142617
WM,1,3,19830.4981226231
WM,1,2,19839.3519628078
WM,1,2,19848.5211736309
WM,1,1,19857.6827188539
WM,1,2,19867.4288575309
