task,correct,enc_freq,enc_onset
DM,1,4,16186.3139099113
DM,1,3,16195.4908386113
DM,1,2,16204.6523217704
WM,1,1,16213.7138633409
DM,1,1,16222.9907498704
WM,1,2,16231.9214872748
WM,1,2,16241.8599279748
DM,1,1,16251.9982307704
DM,1,2,16262.1598911817
WM,1,3,16271.4598550817
WM,1,3,16281.644444293
WM,1,3,16290.5751865043
DM,1,3,16300.7828392704
DM,1,4,16310.5443672704
DM,1,3,16319.9212702635
WM,0,2,16328.9443492704
WM,1,1,16338.9750637043
WM,1,2,16348.2749949704
DM,1,2,16357.8365476339
WM,1,4,16367.5519409409
WM,1,3,16377.1672871704
WM,1,2,16387.3287933635
WM,1,2,16395.9980017043
WM,1,4,16404.5902914113
WM,1,4,16413.2287097704
DM,1,3,16422.8287065113
DM,1,3,16431.9056076704
WM,1,3,16441.1825107704
DM,1,4,16450.674781693
DM,1,2,16459.6516772704
WM,1,4,16468.3978092339
DM,1,4,16477.0593414522
DM,1,3,16486.9131444748
WM,1,4,16496.3515894339
WM,1,3,16506.3669540113
WM,1,4,16515.2669318339
WM,1,1,16524.1284703409
DM,1,4,16532.6361170043
DM,1,1,16541.136101293
WM,1,2,16549.8899274704
WM,1,4,16558.3975850748
WM,0,1,16566.8975792113
WM,0,2,16576.6744652339
DM,1,1,16587.2513621339
WM,1,4,16596.9436369156
WM,1,1,16605.4436427409
DM,1,2,16614.2589826748
WM,1,3,16623.5666550156
WM,1,3,16632.8281744704
DM,1,1,16641.5050686522
DM,1,1,16650.9588936113
WM,1,3,16660.143491293
WM,1,2,16668.6203910043
WM,0,2,16677.820367893
WM,1,4,16688.1587944339
WM,1,4,16696.4818599704
WM,1,4,16704.9279840635
DM,1,1,16713.7587373113
WM,1,1,16722.9894801748
WM,1,4,16731.4048465043
DM,1,3,16739.9202169409
DM,1,1,16749.2278686748
DM,1,3,16758.2893849156
WM,1,3,16767.1970562635
WM,1,2,17384.464743093
WM,1,3,17393.7108588861
DM,1,2,17402.2416216409
DM,1,2,17411.0108211748
WM,1,3,17420.6723361452
WM,1,3,17430.2107907409
WM,1,1,17439.3415105704
WM,1,1,17448.2722638861
DM,1,3,17456.8491760043
WM,1,1,17466.7337640704
WM,1,4,17475.4875826748
WM,1,3,17484.0491119817
WM,1,3,17492.7336300704
WM,1,2,17501.179824293
WM,1,1,17509.649037493
DM,1,4,17518.3336238339
WM,1,4,17528.1566848409
WM,1,1,17536.8643403704
WM,1,2,17545.2950943156
WM,1,1,17553.6335429113
WM,1,1,17562.1104488817
DM,1,4,17570.4027314522
WM,1,4,17578.9257917635
DM,1,1,17587.5642308339
WM,1,4,17596.9565137704
