task,correct,enc_freq,enc_onset
WM,1,4,5427.03274812998
WM,1,1,5437.34039685997
WM,1,4,5447.19420305494
DM,1,2,5456.4865130825
DM,1,3,5466.29414257747
WM,1,3,5475.75563962496
DM,1,1,5485.16329350745
DM,1,1,5494.27865552998
DM,1,1,5503.57862032998
,NaN,2,5512.88626474246
WM,1,3,5523.26315802496
WM,1,3,5532.21699656499
WM,1,3,5541.47848242998
WM,1,1,5551.09382304246
WM,1,1,5560.45532344749
WM,1,4,5569.06300502998
WM,1,1,5578.36294027245
WM,1,1,5587.22448486499
WM,1,1,5596.03981224246
WM,1,2,5604.98593704749
WM,1,2,5614.47050472998
WM,1,1,5623.4166122825
WM,1,2,5632.24738982998
WM,1,2,5641.00118472998
DM,1,3,5649.53191675997
WM,1,3,5658.74726695997
WM,1,2,5668.07030900745
DM,0,2,5678.20103122496
WM,1,4,5686.52408775997
DM,1,3,5695.28558210745
WM,1,1,5704.18555967747
DM,1,3,5712.92397632496
DM,1,3,5721.94703866499
WM,1,4,5730.71623122998
WM,1,1,5739.4931287825
WM,1,4,5748.18538174246
WM,1,1,5756.83920202496
DM,1,2,5765.68531428995
DM,1,1,5775.59298231248
WM,1,3,5784.31602468995
WM,1,1,5794.29291812998
WM,1,4,5803.20825804749
WM,1,4,5811.6851081825
WM,1,1,5820.16972662496
DM,1,3,5828.90817264749
WM,1,2,5838.33120405997
WM,1,3,5847.06194337747
WM,1,3,5855.83114739498
WM,1,4,5865.17724748995
DM,1,2,5873.9156823825
WM,1,2,5882.8078650825
WM,1,3,5891.54640334749
DM,1,2,5900.05405161248
WM,1,2,5908.73096337747
WM,1,2,5917.47705915997
DM,1,2,5926.16934219498
WM,1,4,5934.77701576499
WM,1,3,5943.40004222998
WM,1,1,5951.8768990825
WM,1,1,5960.55382692998
DM,1,1,5969.14609900745
WM,1,2,5977.62298722496
DM,1,3,5986.03833620745
WM,1,2,5994.64599924246
WM,1,1,6590.05915498995
WM,1,4,6599.58989127747
DM,1,4,6608.38987754749
WM,1,1,6617.25904380745
WM,1,2,6626.55132131248
WM,1,3,6635.95897498995
WM,1,4,6644.48972244246
WM,1,2,6652.80506722496
WM,1,3,6661.06657335997
WM,1,3,6669.30500450745
DM,1,3,6677.55882562998
DM,1,4,6686.1972375825
WM,1,4,6694.78952890745
DM,1,1,6703.11257494246
WM,1,2,6711.75100182496
DM,1,1,6720.24328926499
WM,1,4,6728.92016108995
DM,1,3,6737.42782050745
WM,1,1,6746.32778965997
WM,1,3,6754.75854247747
DM,1,4,6763.3661417825
WM,1,3,6772.0197468825
WM,1,3,6780.7892123825
DM,1,4,6789.2737257825
DM,1,4,6797.9121421825
WM,1,2,6806.65064470745
WM,1,2,6815.1121220825
DM,1,2,6823.46598062496
WM,1,1,6831.81209225997
DM,1,1,6840.43513941248
WM,1,1,6848.99665204749
WM,1,2,6857.20430214246
WM,1,1,6865.68889044246
WM,1,3,6874.00423450745
WM,1,3,6882.34267454246
WM,1,2,6890.66571932998
WM,1,3,6898.87337192496
WM,1,1,6906.9964250825
WM,1,1,6915.48101282496
DM,1,4,6923.89635008995
DM,1,4,6932.71171957747
WM,1,1,6941.3808707825
WM,1,2,6949.8655070825
WM,1,4,6958.28085396499
WM,1,4,6966.59619679498
DM,1,4,6974.87311266499
WM,1,2,6983.44998234246
WM,1,2,6991.88072131248
DM,1,1,7000.21146162496
WM,1,3,7008.90373461248
WM,1,2,7017.3036848825
WM,1,3,7025.54213584246
DM,1,1,7033.8343923825
WM,1,4,7042.31130829498
WM,1,1,7050.99588005997
WM,1,3,7059.44970546499
WM,1,4,7067.65735442496
DM,1,2,7077.04963594749
DM,1,4,7085.97267055997
DM,1,2,7094.72649027747
DM,1,2,7103.31876834246
DM,1,4,7113.03411157747
WM,1,1,7121.68793801248
DM,1,2,7129.94173492496
WM,1,2,7675.6396695825
DM,1,1,7684.3858327825
WM,1,2,7692.9009196825
DM,1,2,7701.2086954825
DM,1,4,7709.8009659825
WM,1,3,7718.3702386825
DM,1,4,7726.7086374825
DM,1,3,7735.2240996825
WM,1,4,7743.8315451825
WM,1,3,7752.2007336825
WM,1,4,7760.75476330745
WM,1,3,7768.94706616499
DM,1,3,7777.3777559825
WM,1,4,7786.00850402496
DM,1,3,7794.4545757825
WM,1,4,7803.00074305494
DM,1,3,7811.97765047747
DM,1,2,7820.42376959498
DM,1,1,7828.94681007747
DM,1,4,7837.80062681248
DM,1,2,7846.26213164246
WM,1,4,7854.85440164246
WM,1,1,7863.34670004749
WM,1,4,7871.68511347245
WM,1,2,7880.30816796499
WM,1,3,7888.60043049498
WM,1,4,7896.7234733825
WM,1,3,7904.93114707747
WM,1,1,7913.17725495494
DM,0,2,7921.53876714246
WM,1,4,7930.0541240825
DM,1,3,7938.3925586825
DM,0,2,7946.8079255825
DM,1,1,7955.30017574246
WM,1,1,7963.70016051248
DM,1,4,7972.67704852998
WM,1,2,7981.23855882998
WM,1,4,7989.47696837245
WM,1,4,7997.6384875825
DM,1,1,8006.14614134246
WM,1,4,8014.8384108825
DM,1,3,8023.13839364246
WM,1,2,8031.79988921993
WM,1,2,8040.1691167825
WM,1,3,8048.51524476499
DM,1,3,8056.83826915997
WM,1,3,8065.44591680745
WM,1,2,8073.93820452998
WM,1,3,8083.01511784749
WM,1,1,8091.33044337747
DM,1,4,8099.92272002496
WM,1,2,8108.40730704246
WM,1,2,8116.73804321248
WM,1,4,8125.03031387747
WM,1,1,8133.44567560745
WM,1,3,8141.78409744246
DM,1,1,8150.00715441248
DM,1,1,8159.0455152825
DM,1,4,8168.09938604246
WM,1,1,8176.80704252496
WM,1,4,8185.3453334825
WM,1,3,8193.66852601248
WM,1,1,8201.89155904246
WM,1,4,8210.27615162496
