task,correct,enc_freq,enc_onset
,NaN,4,8955.36017608504
WM,1,3,8965.66785019308
DM,0,2,8974.68324626205
,NaN,2,8984.14478163103
WM,1,1,8994.48322458504
WM,1,4,9003.37552819308
DM,0,4,9012.86014054709
WM,1,4,9022.71399113103
WM,1,2,9032.39859287008
WM,1,1,9041.66011911607
DM,0,3,9050.59088914709
WM,1,2,9060.92165469308
DM,0,3,9069.79090266205
WM,1,4,9078.97549386205
,NaN,3,9087.59856177008
DM,0,2,9097.85241318504
WM,1,1,9107.80623380111
DM,0,3,9117.36005047701
WM,1,2,9125.67547370803
DM,1,3,9135.99856105402
WM,1,3,9146.42930099308
WM,1,4,9155.92930566205
WM,1,2,9164.17545073906
WM,1,2,9172.60620617008
DM,0,1,9181.11390209308
WM,0,2,9189.42158506205
WM,1,2,9198.75235298504
DM,1,4,9207.1523430241
DM,1,3,9217.62926846205
DM,1,3,9227.43696328504
,NaN,3,9237.66002409308
DM,0,1,9247.89079119308
WM,1,2,9256.33694117008
WM,1,4,9265.49846611607
DM,1,4,9273.69077211607
WM,1,4,9281.99846446205
WM,0,3,9290.28307243906
DM,0,1,9299.62922146205
DM,1,4,9308.10615637701
WM,1,4,9317.19844017008
DM,1,2,9325.82154053906
DM,0,1,9335.88304497008
WM,0,3,9344.35227624709
DM,1,4,9353.35996101607
DM,1,4,9363.70613251607
WM,1,1,9373.69072544709
WM,1,2,9382.12918569308
WM,1,3,9390.71378579308
DM,0,1,9400.35224444709
DM,1,3,9408.17531944709
WM,1,1,9417.53685327008
WM,1,2,9426.17530724709
WM,1,3,9435.70607750803
WM,1,1,9445.40606551607
,NaN,2,9454.05991839308
WM,1,3,9464.47529019308
WM,1,4,9472.47528219308
WM,0,2,9480.92913123906
WM,1,1,9490.09066939308
WM,1,1,9498.55988708504
WM,0,2,9506.55220537701
DM,1,4,9515.74448930111
WM,1,3,9524.15989898504
WM,0,1,9533.18296687701
,NaN,3,10318.9287008471
DM,1,4,10329.2825365931
WM,0,3,10337.2979232241
WM,1,2,10345.613328931
DM,1,2,10353.9363803391
DM,0,3,10362.9902107391
WM,1,4,10371.8209738241
WM,1,3,10379.9209726931
DM,0,1,10388.2055924161
DM,1,2,10396.251761685
WM,0,2,10404.636344577
WM,1,1,10413.8748073931
DM,0,3,10422.0132620391
WM,1,2,10430.174801962
WM,0,1,10438.128637085
WM,1,2,10446.8978674161
DM,0,1,10455.5209358701
WM,1,3,10464.1286139241
WM,1,2,10472.3209224161
WM,0,2,10480.3978390931
WM,1,4,10489.0747582931
DM,0,4,10498.3209162391
WM,0,1,10506.6209045701
WM,1,2,10515.4362899391
WM,1,3,10523.6824334931
WM,0,1,10531.5670599391
WM,0,1,10540.2516677931
WM,1,1,10549.4055022391
WM,0,4,10557.4054997701
DM,0,1,10565.4900988011
WM,1,3,10573.3593359471
WM,1,3,10581.3747159471
WM,1,2,10590.028561962
DM,0,1,10598.0131667471
WM,1,1,10606.3054800161
WM,1,3,10614.7208467241
WM,0,4,10622.7977754391
WM,0,4,10631.5516225161
WM,1,2,10639.5977609931
WM,1,1,10647.5977635931
DM,0,2,10656.6516041241
WM,1,3,10664.8131342701
WM,1,3,10673.5516018161
WM,1,2,10681.5208222471
WM,1,2,10689.628510685
WM,0,4,10697.7592682471
DM,0,1,10707.213120085
WM,1,3,10716.3361838391
DM,1,4,10724.4284935931
WM,0,2,10734.4284831241
DM,0,2,10744.3515502701
WM,1,4,10752.8823279161
WM,1,3,10761.5977048701
WM,1,3,10769.5977005161
WM,1,1,10777.6207652701
WM,1,3,10785.5361526701
DM,0,3,10796.1746061011
DM,1,2,10805.0745974931
WM,1,1,10813.2822813241
WM,0,1,10821.5361284161
WM,1,4,10829.8207440701
WM,1,1,10837.8899739161
WM,0,3,10846.8976533701
WM,1,4,10855.3130356471
WM,1,3,11473.5896331011
WM,1,4,11483.0896399161
WM,1,1,11491.3280934391
WM,1,3,11499.4434792161
WM,1,2,11507.4896235471
WM,1,4,11516.1434727621
WM,1,1,11524.2588510701
DM,0,2,11532.2742241241
DM,0,4,11541.028081077
WM,0,1,11549.1049868931
WM,1,3,11558.1434399161
WM,1,4,11566.081904662
DM,0,3,11575.9203682391
DM,1,2,11584.7665130701
WM,1,3,11592.735744554
DM,1,4,11600.9588015241
WM,1,1,11608.8895742471
DM,0,2,11617.1203349161
WM,0,4,11625.1203407931
WM,1,4,11634.928023062
WM,0,1,11643.343417562
WM,1,4,11651.666478985
DM,0,1,11660.1895508391
WM,1,1,11669.7587794931
WM,0,2,11677.843396754
WM,1,3,11685.9356894161
WM,1,2,11694.3203011701
DM,0,1,11702.3664486161
DM,1,2,11710.7664442161
WM,1,2,11718.804901162
DM,0,4,11726.8818184931
DM,0,4,11734.7818151701
WM,0,3,11742.9433488471
WM,1,1,11751.6971887931
WM,1,1,11759.9202562781
DM,0,3,11768.0971880931
WM,0,3,11776.0048790391
WM,0,4,11784.1894796931
WM,1,4,11792.0663920241
WM,1,2,11800.0971587471
DM,0,1,11808.2279334621
WM,1,1,11816.320244931
WM,0,4,11825.1817764931
WM,1,1,11836.0510020931
WM,1,2,11844.497151131
WM,1,3,11852.497150285
DM,0,3,11860.7048277621
DM,0,4,11868.658675631
DM,1,2,11876.5355903931
WM,0,2,11884.5432745471
DM,0,1,11893.9355844701
DM,0,3,11901.9663428471
DM,0,4,11909.8432653241
DM,0,3,11917.8124840471
WM,1,4,11925.6894045471
DM,0,1,11934.6586443011
DM,0,2,11942.6893971931
WM,0,4,11950.750949108
WM,1,4,11958.912473808
DM,0,2,11968.2893934161
WM,1,4,11977.0893850391
DM,0,1,11985.0739940471
WM,1,4,11993.743229231
WM,1,1,12001.7124563391
