task,correct,enc_freq,enc_onset
WM,1,2,13750.6815063701
WM,1,1,13760.0584146516
WM,1,3,13768.8891714774
WM,1,3,13778.1122569443
DM,0,4,13786.5891719773
DM,0,3,13795.6737827516
WM,1,2,13804.0583947701
WM,1,4,13813.1968430887
WM,1,2,13821.7891336588
DM,1,4,13830.9891313588
DM,1,1,13840.0122063959
WM,1,2,13848.8275778814
WM,1,2,13857.9813027814
WM,1,2,13867.2737384629
WM,1,3,13875.9658797814
WM,1,1,13884.6965606814
WM,1,3,13893.5505394814
WM,1,3,13902.3504894814
DM,1,2,13910.6349733814
WM,1,3,13919.4043284814
DM,1,3,13928.0119729814
WM,1,2,13937.0198157814
WM,1,2,13945.4352287443
WM,1,2,13954.0582967629
WM,1,2,13962.4890620814
DM,1,2,13970.9889978814
WM,1,4,13979.4813422516
DM,1,2,13988.0274900701
WM,1,4,13996.4967224516
WM,1,1,14004.9274849145
WM,1,2,14013.1043867588
WM,1,4,14022.558236233
WM,1,4,14031.1043774145
WM,1,1,14039.2120682959
WM,1,3,14047.435140933
WM,1,1,14056.0734945814
WM,1,1,14064.3966800887
DM,1,3,14072.6043571145
WM,1,3,14081.5658853701
WM,1,1,14090.2658981629
DM,1,3,14099.258183333
DM,1,1,14107.935099433
WM,1,2,14116.542785133
DM,1,2,14124.7350915516
DM,1,4,14133.3427760701
WM,1,3,14141.8043167887
WM,1,4,14150.5889164145
DM,1,4,14160.665837333
WM,1,3,14169.6581353516
WM,1,3,14178.0812177072
WM,1,4,14186.5273628701
WM,1,1,14195.0888849701
WM,1,2,14203.9042546588
DM,1,2,14212.2196409588
WM,1,3,14221.2427161145
DM,1,4,14229.296552133
WM,1,1,14238.1273233701
WM,1,3,14246.3811596072
WM,0,3,14255.4196475629
WM,1,1,14263.6580939629
WM,1,4,14272.2349892701
DM,1,3,14280.5426848443
WM,1,1,14289.0349845516
WM,1,4,14297.8042065516
DM,1,2,14812.7884602516
WM,1,4,14821.9346059588
WM,1,2,14830.5730690701
WM,1,3,14838.7346074072
WM,1,1,14847.019220733
DM,0,1,14855.226897233
DM,1,3,14863.2499628072
DM,1,2,14871.8345801145
DM,1,2,14880.5730285516
WM,1,3,14889.1191748145
WM,1,4,14897.5191784516
DM,0,1,14905.6807134887
WM,1,1,14913.6268515516
WM,1,4,14922.3191575258
DM,0,2,14930.5268335959
WM,1,4,14938.6345311887
WM,1,4,14947.4576264258
