task,correct,enc_freq,enc_onset
WM,1,2,67418.7242117061
WM,1,4,67428.7703252255
WM,1,1,67438.0780047792
WM,1,1,67447.4855669866
WM,1,4,67457.1548499866
WM,1,1,67466.0933207597
WM,1,3,67475.2162651866
WM,1,1,67485.8084724866
WM,1,1,67495.2622735866
DM,0,4,67504.6701604866
WM,1,3,67514.0777079866
WM,1,2,67524.4931829926
WM,1,2,67535.2930817866
DM,0,4,67545.3777523597
DM,1,1,67556.0777238866
WM,1,2,67565.4699992732
DM,1,2,67574.8468949926
,NaN,1,67584.2545636658
WM,1,3,67594.5853135792
DM,0,2,67603.885290639
WM,1,4,67612.8468124926
,NaN,1,67622.1083143658
WM,1,4,67632.4159922329
WM,1,3,67642.0775079061
WM,1,3,67651.4851805061
WM,1,1,67660.6543794926
DM,0,2,67670.6851208792
DM,1,2,67680.2235613524
WM,1,2,67690.5927638389
WM,1,1,67700.4465989926
WM,1,3,67710.9773354195
WM,1,1,67719.7926990061
WM,1,2,67730.5311530792
WM,1,4,67740.2849626658
WM,0,1,67751.0695510792
DM,0,4,67760.4156813524
WM,1,3,67769.9233404524
WM,1,2,67778.8771674792
WM,1,4,67789.1694495658
,NaN,1,67798.1155931061
WM,1,3,67808.4155616524
WM,1,4,67817.3463304658
DM,0,3,67826.7693719061
DM,0,2,67836.8770273061
WM,1,1,67845.8693192926
WM,1,3,67856.0769878792
,NaN,3,67866.5769628792
WM,1,1,67876.8384685926
WM,1,1,67885.9076852926
WM,1,4,67895.7614941255
WM,1,2,67905.6307067792
DM,0,1,67914.1768520926
DM,0,1,67924.1152734389
WM,1,4,67934.3844917061
DM,1,1,67943.6767746524
WM,1,4,67952.5459780061
WM,1,2,67961.5075008792
WM,1,2,67971.3459435926
DM,1,3,67980.4997703061
DM,0,2,67990.4305117061
WM,1,2,67999.8689397658
DM,0,1,68009.2766091792
WM,1,3,68018.5765995866
DM,1,1,68027.9073412524
WM,1,2,68729.2210361329
DM,0,2,68738.7517774792
DM,0,1,68747.9671398329
WM,1,3,68757.6671001389
WM,1,3,68766.6901639195
DM,0,3,68775.6824510926
DM,0,4,68784.2901138524
DM,1,1,68793.9516392658
DM,0,2,68803.1823811195
,NaN,1,68813.4208241061
,NaN,3,68823.8515723926
WM,1,4,68834.1669153866
DM,0,3,68843.2822863926
WM,1,4,68853.5053416195
DM,1,3,68862.7053103926
WM,1,4,68872.4668319658
WM,1,3,68881.5206532792
DM,0,4,68890.9129371658
WM,1,1,68900.3821724866
DM,0,2,68909.8205807792
DM,0,1,68918.6205677061
DM,0,3,68928.7974631658
WM,1,3,68938.4666757792
,NaN,2,68948.5435723926
WM,1,4,68958.7896938792
DM,0,2,68967.6973755061
WM,1,4,68977.5050484329
WM,1,1,68987.2280865524
DM,1,4,68996.1895993658
,NaN,4,69005.6280460195
WM,1,2,69015.9357155926
WM,1,1,69025.4587623658
DM,0,1,69034.3202774658
,NaN,4,69044.2356386255
DM,0,1,69054.6048572926
DM,0,1,69062.9125297792
WM,1,4,69071.6509679792
DM,0,4,69081.5970893195
WM,1,2,69090.8970676061
DM,0,2,69100.4355078926
WM,1,3,69109.6277924926
DM,0,3,69118.2046988658
WM,1,1,69127.8046820926
WM,1,2,69136.8508011926
WM,1,4,69146.2738554524
WM,0,3,69155.1661535463
WM,1,2,69165.4199784463
WM,1,1,69174.7199543463
DM,0,4,69183.9045381463
WM,1,1,69192.9122060329
DM,0,1,69203.2121888061
WM,1,2,69212.2736979658
DM,0,1,69222.2198211389
WM,1,3,69231.2813383524
DM,0,3,69240.7659486463
WM,1,3,69249.6966743987
DM,0,3,69258.4351298792
DM,1,1,69267.4427918926
WM,0,3,69277.1197005658
DM,1,3,69287.5350562658
WM,1,2,69297.6119445524
WM,1,2,69307.5657723658
WM,1,2,69317.3272938926
WM,1,3,69326.8349607792
WM,1,1,70030.8024976329
WM,1,4,70040.3178406792
DM,0,2,70049.0409034658
DM,0,2,70058.3024213926
WM,1,3,70067.0101005329
WM,1,4,70076.8485347195
WM,1,3,70085.6792747389
WM,1,4,70094.6561743524
,NaN,4,70103.8561549524
WM,1,3,70114.1022879463
DM,1,4,70123.7945663061
WM,1,4,70132.8022456792
WM,1,3,70142.032998439
WM,1,2,70151.2022200926
,NaN,4,70160.2560138792
WM,1,1,70170.6252324061
WM,1,2,70179.6175104061
WM,1,1,70188.6867161524
WM,1,4,70197.6020761926
WM,1,4,70207.0559078524
DM,0,3,70216.2251108792
DM,0,3,70226.1096998524
WM,1,1,70235.3404574658
,NaN,3,70244.2250470061
WM,1,3,70254.4865628926
WM,1,2,70263.3096224061
WM,1,3,70272.2711252658
WM,1,2,70281.7403362061
WM,1,3,70290.7172355524
DM,0,3,70299.3787638658
DM,1,4,70308.6402706792
WM,1,4,70317.5017996926
DM,0,3,70326.5556262195
WM,1,2,70335.8863529524
DM,1,2,70345.2940260792
,NaN,4,70355.4401552926
WM,1,2,70365.8555143524
WM,1,4,70374.9939698195
,NaN,1,70384.1247044389
WM,1,1,70394.4400738195
WM,1,4,70403.5323604061
WM,1,1,70412.4169502061
DM,0,4,70421.8246227926
WM,1,1,70430.6553539121
WM,1,2,70441.1322577255
WM,1,3,70450.1399272061
DM,0,2,70460.2091432195
DM,1,3,70469.6322200195
WM,1,4,70478.6244740061
WM,1,4,70488.2552205658
WM,1,4,70498.0321248524
DM,0,1,70507.1013448866
WM,1,2,70517.2782260792
DM,0,2,70527.3782095792
WM,1,1,70537.5858780792
WM,1,2,70547.0858597061
WM,1,1,70556.5781365061
WM,1,3,70566.8627262255
DM,1,4,70575.7934768658
WM,1,4,70585.6011383792
WM,1,2,70594.4934207524
DM,0,4,70604.6549624732
WM,1,2,70613.5703054195
WM,1,3,70622.5241324524
